Nome,Marca,Unidade,Preço,Preço anterior,Preço por unidade
Aceite La Masía coco virgen extra ecológico 430 ml,,,"5,95 €",,"13,84 €/Litro"
Aceite Abrilsol girasol 1 l,,,"2,30 €",,"2,30 €/Litro"
Aceite Abrilsol girasol 5 l,,,"11,45 €",,"2,29 €/Litro"
Aceite Donsol girasol 1 l,,,"2,67 €",,"2,67 €/Litro"
Aceite Froiz-sol girasol 1 l,,,"2,40 €",,"2,40 €/Litro"
Aceite Froiz-sol girasol premier 5 l,,,"11,75 €",,"2,35 €/Litro"
Aceite Koipesol girasol 1 l,,,"2,49 €","2,99 €","2,49 €/Litro"
Aceite La Masía Masiasol girasol 1 l,,,"2,39 €",,"2,39 €/Litro"
Aceite Ucasol girasol 1 l,,,"2,85 €",,"2,85 €/Litro"
Aceite Ucasol girasol 5 l,,,"13,99 €",,"2,80 €/Litro"
Aceite Koipesol Asua maíz 1 l,,,"2,99 €",,"2,99 €/Litro"
Aceite Abril oliva intenso 1 l,,,"4,65 €",,"4,65 €/Litro"
Aceite Abril oliva suave 1 l,,,"4,65 €",,"4,65 €/Litro"
Aceite Abril oliva virgen extra 1 l,,,"4,85 €",,"4,85 €/Litro"
Aceite Abril oliva virgen extra ecológico 75 cl,,,"5,25 €",,"7,00 €/Litro"
Aceite Abril oliva virgen extra spray 200 ml,,,"2,10 €",,"10,50 €/Litro"
Aceite Carbonell oliva spray plancha 200 ml,,,"2,79 €",,"13,95 €/Litro"
Aceite Carbonell oliva suave 1 l,,,"4,75 €","5,25 €","4,75 €/Litro"
Aceite Carbonell oliva suave lata 5 l,,,"27,10 €",,"5,42 €/Litro"
Aceite Carbonell oliva virgen extra 1 l,,,"4,79 €","5,45 €","4,79 €/Litro"
Aceite Carbonell oliva virgen extra 75 cl,,,"5,45 €",,"7,27 €/Litro"
Aceite Cazorliva oliva virgen extra variedad Arbequina 75 cl,,,"4,75 €",,"6,33 €/Litro"
Aceite Coosur oliva intenso 1 l,,,"5,09 €",,"5,09 €/Litro"
Aceite Coosur oliva suave 1 l,,,"5,09 €",,"5,09 €/Litro"
Aceite Coosur oliva virgen extra 1 l,,,"5,45 €",,"5,45 €/Litro"
Aceite Dintel Toledo oliva intenso 1 l,,,"4,45 €",,"4,45 €/Litro"
Aceite Dintel Toledo oliva intenso 5 l,,,"22,00 €",,"4,40 €/Litro"
Aceite Dintel Toledo oliva suave 1 l,,,"4,45 €",,"4,45 €/Litro"
Aceite Dintel Toledo oliva suave 5 l,,,"22,00 €",,"4,40 €/Litro"
Aceite Flor de Olivo oliva virgen extra 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite Froiz oliva intenso 1 l,,,"4,79 €",,"4,79 €/Litro"
Aceite Froiz oliva suave 1 l,,,"4,79 €",,"4,79 €/Litro"
Aceite Froiz oliva virgen extra 1 l,,,"5,09 €",,"5,09 €/Litro"
Aceite Froiz oliva virgen extra 75 cl,,,"4,50 €",,"6,00 €/Litro"
Aceite Froiz orujo 1 l,,,"3,75 €",,"3,75 €/Litro"
Aceite Hojiblanca oliva virgen extra 3 l,,,"16,89 €",,"5,63 €/Litro"
Aceite Iznaoliva oliva virgen extra 75 cl,,,"4,85 €",,"6,47 €/Litro"
Aceite Koipe oliva sabor 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite La Masía oliva 0.4 suave 3 l,,,"14,95 €",,"4,98 €/Litro"
Aceite La Masía oliva clásico 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite La Masía oliva sumum 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite La Masía oliva sumum 3 l,,,"14,95 €",,"4,98 €/Litro"
Aceite La Masía oliva virgen extra 1 l,,,"5,69 €",,"5,69 €/Litro"
Aceite La Masía oliva virgen extra 3 l,,,"17,07 €",,"5,69 €/Litro"
Aceite La Masia sésamo ecológico 250 ml,,,"3,49 €",,"13,96 €/Litro"
Aceite Oro de Génave oliva virgen extra ecológico 50 cl,,,"4,89 €",,"9,78 €/Litro"
Aceite Ybarra oliva intenso 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite Ybarra oliva suave 1 l,,,"4,99 €",,"4,99 €/Litro"
Aceite Ybarra oliva suave 3 l,,,"14,95 €",,"4,98 €/Litro"
Aceite Ybarra oliva suave lata 5 l,,,"26,99 €",,"5,40 €/Litro"
Aceite Ybarra oliva virgen extra 1 l,,,"5,69 €",,"5,69 €/Litro"
Aceite Ybarra oliva virgen extra 250 ml,,,"2,45 €",,"9,80 €/Litro"
"Bolsa Aliño Ybarra aceite de oliva (5x10 ml), vinagre (5x10 ml) y sal (5x1 g)",,,"1,65 €",,"1,65 €/Unidad"
Aceite de semillas Abrilsem 5 l,,,"14,25 €",,"2,85 €/Litro"
Crema de vinagre Ybarra balsámica frambuesa 280 g,,,"2,39 €",,"8,54 €/Kilogramo"
Crema Froiz vinagre balsámico módena 280 g,,,"1,79 €",,"6,39 €/Kilogramo"
Crema Vinagre Pedro Ximénez Ybarra balsámico 560 g,,,"3,99 €",,"7,13 €/Kilogramo"
Reducción Vinagre de Módena Ponti 250 g,,,"2,99 €",,"11,96 €/Kilogramo"
Vinagre balsámico Módena Ponti 250 ml,,,"2,19 €",,"8,76 €/Litro"
Vinagre Borges balsámico bianco 250 ml,,,"1,99 €",,"7,96 €/Litro"
Vinagre Borges balsámico de módena 250 ml,,,"1,99 €",,"7,96 €/Litro"
Vinagre Carbonell 1 l,,,"0,89 €",,"0,89 €/Litro"
Vinagre Carbonell Procer vino 50 cl,,,"0,69 €",,"1,38 €/Litro"
Vinagre Froiz de vino 1 l,,,"0,55 €",,"0,55 €/Litro"
Vinagre Froiz manzana 1 l,,,"0,62 €",,"0,62 €/Litro"
Vinagre Froiz Módena 500 ml,,,"1,95 €",,"3,90 €/Litro"
Vinagre Froiz selection Jerez reserva 500 ml,,,"2,25 €",,"4,50 €/Litro"
Vinagre Froiz Sidra manzana 500 ml,,,"0,85 €",,"1,70 €/Litro"
Vinagre Froiz vino tinto 1 l,,,"0,65 €",,"0,65 €/Litro"
Vinagre Louit manzana ecológica 250 ml,,,"1,84 €",,"7,36 €/Litro"
