Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA Cacau Solúvel 500 g,"2,49 €",,"4,98 €/Kg",
DIA GALLETECA Bolachas Maria 800 g,"2,04 €",,"2,55 €/Kg",
OREO Bolachas Cobertas com Chocolate Branco 246 g,"2,99 €",,"12,15 €/Kg",
ROYAL Caramelo Líquido 400 g,"2,69 €",,"6,73 €/Kg",
DELTA Café Torrado Lote Chavena Grão 250 g,"3,29 €",,"13,16 €/Kg",
PENSAL Bebida de Cereais 200 g,"2,59 €",,"12,95 €/Kg",
BOCA DOCE Pudim de Chocolate 22 g,"0,59 €",,"26,82 €/Kg",
BRASA Bebida de Cererais Cevada Chicória e Centeio 200 g,"2,79 €",,"13,95 €/Kg",
DELTA Mistura Peninsular 250 g,"1,64 €",,"6,56 €/Kg",
AFTER EIGHT Chocolate Nestlé 200 g,"2,34 €",,"11,70 €/Kg",
DELTA Café Torrado Moagem Máquina 250 g,"3,29 €",,"13,16 €/Kg",
BOCA DOCE Pudim Baunilha 22 g,"0,59 €",,"26,82 €/Kg",
DIA GALLETECA Jaffa Cake Laranja 300 g,"1,53 €",,"5,10 €/Kg",
DIA Rebuçados Mel 300 g,"1,19 €",,"3,97 €/Kg",
DIA Rebuçados Limão 300 g,"1,19 €",,"3,97 €/Kg",
"CHICLETS Pastilhas Elásticas Fire Canela 16,5 g","0,99 €",,"0,99 €/ud",
SICAL Café Torrado 5 estrelas Lote Clássico em Grão 250 g,"2,74 €","3,59 €","10,96 €/Kg","14,36 €/Kg"
SICAL Café Torrado 5 estrelas Lote Clássico Moagem Grossa 250 g,"2,74 €","3,59 €","10,96 €/Kg","14,36 €/Kg"
GULLÓN Zero Sem Açúcares Wafer Baunilha 180 g,"2,19 €",,"12,17 €/Kg",
CHOCO KRISPIES Cereais de Chocolate Kellogg´s 375 g,"3,89 €",,"10,37 €/Kg",
FITNESS Cereais de Trigo Integral Nestlé 375 g,"3,59 €",,"9,57 €/Kg",
SPECIAL K Cereais Clássico 750 g,"3,74 €",,"4,99 €/Kg",
SMINT Rebuçados Menta 8 g,"1,39 €",,"173,75 €/Kg",
SIDUL Açúcar Em Pó 500 g,"1,67 €",,"3,34 €/Kg",
KELLOGG'S Corn Flakes 500 g,"3,99 €",,"7,98 €/Kg",
DIA SONHOS Cocktail de Frutas 840 g,"2,20 €",,"2,62 €/Kg",
DIA GRANJOY Corn Flakes Sem Adição de Açúcares 375 g,"1,84 €",,"4,91 €/Kg",
DIA CAFETARIA Café Torrado Moagem Máquina Expresso 250 g,"2,05 €",,"8,20 €/Kg",
DIA CAFETARIA Café Torrado Grão 250 g,"1,75 €",,"7,00 €/Kg",
DIA CAFETARIA Café Descafeinado 250 g,"1,74 €",,"6,96 €/Kg",
"TRIDENT Pastilhas Elásticas Fruit Morango 14,5 g","0,89 €",,"61,38 €/Kg",
CASA DE MATEUS Doce de Morango 345 g,"2,99 €",,"8,67 €/Kg",
SNICKERS Chocolate 50 g,"1,05 €",,"21,00 €/Kg",
DIA Doce de Framboesa Extra 390 g,"1,85 €",,"4,74 €/Kg",
CHIPS AHOY! Bolachas Mini 160 g,"1,99 €",,"12,44 €/Kg",
QUAKER Cereais Cruesli Amêndoas E Avelãs 375 g,"4,09 €",,"10,91 €/Kg",
MENTOS Caramelos de Menta 38 g,"0,74 €",,"19,47 €/Kg",
SMINT Caramelos Frutos Silvestres 8 g,"1,39 €",,"173,75 €/Kg",
MARS Mini Snacks Chocolate e Caramelo 170 g,"2,14 €","2,89 €","12,59 €/Kg","17,00 €/Kg"
DIA Bolacha Crackers 3x100 g,"1,75 €",,"5,83 €/Kg",
DIA GALLETECA Bolachas Tarteletes De Morango 150 g,"1,15 €",,"7,67 €/Kg",
DIA Barrita de Nougat Chocolate E Caramelo 5x40 g,"1,79 €",,"8,95 €/Kg",
TUC Bolachas Crackers Bacon 100 g,"1,19 €",,"11,90 €/Kg",
OREO Bolacha Mini 4x40 g,"1,99 €",,"12,44 €/Kg",
KINDER BUENO Chocolate 43 g,"1,09 €",,"25,35 €/Kg",
KINDER SURPRESA Ovo de Chocolate 20 g,"1,39 €",,"69,50 €/Kg",
DIA GRANJOY Cereais Fruta&Fibre 500 g,"2,39 €",,"4,78 €/Kg",
CEM PORCENTO Chá Emagrecimento 13 g,"0,99 €",,"76,15 €/Kg",
CEM PORCENTO Chá Prisão Ventre 13 g,"0,99 €",,"76,15 €/Kg",
SPECIAL K Cereais de Frutos Vermelhos 300 g,"2,59 €",,"8,63 €/Kg",
BUTTER COOKIES Bolachas de Manteiga 500 g,"4,37 €",,"8,74 €/Kg",
WERTHER'S Caramelos Clássicos 135 g,"2,99 €",,"22,15 €/Kg",
SALUTEM Flocos de Cevada Integrais Tostados 250 g,"1,52 €","1,79 €","6,08 €/Kg","7,16 €/Kg"
SALUTEM Muesli Integral com Frutos Tropicais 375 g,"2,28 €","2,69 €","6,08 €/Kg","7,17 €/Kg"
CUÉTARA Bolachas Choco Flakes 425 g,"3,39 €",,"7,98 €/Kg",
"TRIDENT Pastilhas Elásticas Frutos Silvestres 14,5 g","0,89 €",,"61,38 €/Kg",
TULICREME Sabor a Chocolate 200 g,"1,49 €",,"7,45 €/Kg",
CHOCO KRISPIES Barras de Cereais Kellogg's 6x20 g,"2,79 €",,"23,25 €/Kg",
MILKA Chocolate de Leite 270 g,"3,19 €","3,99 €","11,81 €/Kg","14,78 €/Kg"
ROYAL Pudim Caseiro Laranja 200 g,"1,99 €",,"9,95 €/Kg",
DIA Chá Preto 20 Un,"0,80 €",,"0,80 €/ud",
DIA HORA + DOCE Pudim Flan 80 g,"0,55 €",,"6,88 €/Kg",
LIPTON Chá Digestão Fácil 20 un,"2,99 €",,"0,15 €/ud",
KELLOG'S Barras Cereais Chocolate 129 g,"2,24 €",,"17,36 €/Kg",
"SPECIAL K Barras de Cereais com Frutos Vermelhos 6x21,5 g","2,24 €",,"17,36 €/Kg",
SUGUS Morango 45 g,"1,09 €",,"24,22 €/Kg",
LIPTON Chá Verde Pure 20 Un,"2,15 €",,"0,11 €/ud",
TWIX Snack Chocolate 50 g,"1,05 €",,"21,00 €/Kg",
CADBURY Chocolate Dairy Milk 45 g,"0,99 €",,"22,00 €/Kg",
DIA TEMPTATION Creme de Barrar com Avelã 750 g,"3,84 €",,"5,12 €/Kg",
NESCAFÉ Cappuccino Café Solúvel 125 g,"3,19 €",,"25,52 €/Kg",
DIA HORA + DOCE Pudim Caramelo 90 g,"0,46 €",,"5,11 €/Kg",
SNICKERS Chocolate 170 g,"2,14 €","2,89 €","12,59 €/Kg","17,00 €/Kg"
TOFINA Bebida de Cereais Cevada Chicória e Café 200 g,"3,49 €",,"17,45 €/Kg",
NESCAFÉ GOLD Café Solúvel 100 g,"5,69 €",,"56,90 €/Kg",
BICENTURY Tortitas de Arroz com Choco Negro 130 g,"2,39 €",,"18,38 €/Kg",
GOLDEN GRAHAMS Barras de Cereais de Trigo Integral com Leite Nestlé 150 g,"3,29 €",,"21,93 €/Kg",
"MALTESERS Drageias de Chocolate 148,5","3,69 €",,"24,85 €/Kg",
GULLÓN Zero Sem Açúcares Fibra 170 g,"2,84 €",,"16,71 €/Kg",
COOKIE CRISP Cereais com Pepitas de Chocolate Nestlé 375 g,"2,52 €",,"6,72 €/Kg",
LIPTON Chá Marocco 20 un,"2,99 €",,"0,15 €/ud",
CHOCAPIC Cereais de Chocolate Nestlé 625 g,"4,69 €",,"7,50 €/Kg",
DIA GALLETECA Bolachas Digestivas 2x400 g,"2,04 €",,"2,55 €/Kg",
BOLERO Bebida de Cereais e Fibra 200 g,"2,99 €",,"14,95 €/Kg",
CASA DE MATEUS Doce de Tomate 345 g,"2,99 €",,"8,67 €/Kg",
NESQUIK Barras de Cereais de Chocolate com Leite Nestlé 150 g,"3,29 €",,"21,93 €/Kg",
MENTOS Pastilhas Elásticas Gum Pocket Frutos Silvestres 30 g,"1,60 €",,"53,33 €/Kg",
GULLÓN Bolachas Digestivas de Aveia e Chocolate 425 g,"2,94 €",,"6,92 €/Kg",
MILKA Chocolate Toffee 300 g,"3,19 €","3,99 €","10,63 €/Kg","13,30 €/Kg"
GULLÓN Bolachas Digestivas Muesli 365 g,"2,94 €",,"8,05 €/Kg",
DELTA Café Torrado Grão 1 kg,"12,99 €",,"12,99 €/Kg",
DIA Infusão Maçã Canela 20 Un,"1,29 €",,"0,06 €/ud",
DIA Doce de Tomate Extra  390 g,"1,39 €",,"3,56 €/Kg",
