Nome,Preço,Preço/Kg
Romã (1 un = 310 g aprox),"1,08 €","3,49 €/Kg"
Tomate Rama (1 un = 175 g aprox),"0,52 €","2,99 €/Kg"
Chuchu (1 un = 375 g aprox),"0,93 €","2,49 €/Kg"
DIA SABOR CHARCUTEIRO Fiambre Da Perna Extra 180 g,"1,69 €","9,39 €/Kg"
Cebola (1 un = 265 g aprox),"0,37 €","1,39 €/Kg"
Fisális Embalado 100 g,"1,69 €","16,90 €/Kg"
Manga (1 un = 540 g aprox),"1,56 €","2,69 €/Kg"
DIA SABOR CHARCUTEIRO Chouriço Carne Extra 250 g,"1,85 €","7,40 €/Kg"
DIA SABOR CHARCUTEIRO Farinheira do Fundão 250 g,"2,35 €","9,40 €/Kg"
Maçã Golden Embalada 1 kg,"1,29 €","1,29 €/Kg"
DIA SABOR CHARCUTEIRO Cubos de Presunto Curado 2x75 g,"1,85 €","12,33 €/Kg"
CORTE DO DIA Bifinhos do Lombo de Porco Embalados (1 un = 510 g aprox),"4,38 €","8,59 €/Kg"
Beterraba Cozida Embalada 500 g,"0,75 €","1,50 €/Kg"
HUERCASA Maçaroca de Milho Doce Embalada 400 g,"1,49 €","3,73 €/Kg"
Cebolinha Embalada 500 g,"0,89 €","1,78 €/Kg"
Maçã Gala Embalada 1 kg,"1,39 €","1,39 €/Kg"
Tomate Chucha (1 un = 155 g aprox),"0,46 €","2,99 €/Kg"
Pêra Rocha Embalada 1 kg,"1,59 €","1,59 €/Kg"
Maçã Granny,"0,58 €","2,59 €/Kg"
Ameixa Vermelha (1 un = 100 g aprox),"0,25 €","2,49 €/Kg"
Alho Francês com Rama (1 un = 335 g aprox),"0,83 €","2,49 €/Kg"
HORTA DO DIA Batata Para Fritar Embalada 3 kg,"3,38 €","1,13 €/Kg"
HORTA DO DIA Batatas Para Assar 1 kg,"1,19 €","1,19 €/Kg"
Limas (1 un = 95 g aprox),"0,38 €","3,99 €/Kg"
Mamão (1 un = 1250 g aprox),"5,74 €","4,59 €/Kg"
Mandioca (1 un = 625 g aprox),"2,49 €","3,99 €/Kg"
Uva Branca (1 un = 640 g aprox),"2,87 €","4,49 €/Kg"
Abacate  (1 un = 285 g aprox),"1,42 €","4,99 €/Kg"
Endivias Embaladas 400 g,"2,29 €","5,73 €/Kg"
Gengibre (1 un = 215 g aprox),"1,01 €","4,69 €/Kg"
Couve Coração Boi (1 un = 1170 g aprox),"1,98 €","1,69 €/Kg"
DIA (A) MAR À VISTA Migas de Paloco 400 g,"3,69 €","9,23 €/Kg"
CORTE DO DIA Pernas de Frango Embaladas (1 un = 655 g aprox),"3,14 €","4,79 €/Kg"
HORTA DO DIA Salada Gourmet Embalada 175 g,"1,19 €","6,80 €/Kg"
HORTA DO DIA Cenoura Ralada Embalada 150 g,"0,48 €","3,20 €/Kg"
HORTA DO DIA Salsa Embalada 40 g,"1,09 €","27,25 €/Kg"
HORTA DO DIA Sopa de Juliana Embalada 350 g,"0,78 €","2,23 €/Kg"
HORTA DO DIA Coentros Embalados 40 g,"1,09 €","27,25 €/Kg"
Canjinha de Galinha Embalada (1 un = 660 g aprox),"2,30 €","3,49 €/Kg"
CORTE DO DIA Entremeadas de Porco Fatiadas Embaladas (1 un = 595 g aprox),"4,69 €","7,89 €/Kg"
Beringela (1 un = 440 g aprox),"1,32 €","2,99 €/Kg"
HORTA DO DIA Sopa de Legumes Embalada 350 g,"0,78 €","2,23 €/Kg"
Abóbora (1 un = 615 g aprox),"0,85 €","1,39 €/Kg"
CORTE DO DIA Rojões de Porco Embalados (1 un = 725 g aprox),"5,00 €","6,89 €/Kg"
CORTE DO DIA Perninhas de Frango Embaladas (1 un = 605 g aprox),"3,50 €","5,79 €/Kg"
ELPOZO Salsicha de Porco 325 g,"2,29 €","7,05 €/Kg"
HORTA DO DIA Salada Aromática Embalada 150 g,"1,29 €","8,60 €/Kg"
DIA SABOR CHARCUTEIRO Chrouriço Carne Picante 250 g,"1,85 €","7,40 €/Kg"
DIA SABOR CHARCUTEIRO Mortadela com Azeitonas 200 g,"1,09 €","5,45 €/Kg"
DIA SABOR CHARCUTEIRO Chouriço Preto de Seia 250 g,"2,49 €","9,96 €/Kg"
DIA SABOR CHARCUTEIRO Paio Tradicional de Seia 350 g,"4,75 €","13,57 €/Kg"
DIA SABOR CHARCUTEIRO Peito de Frango Fatiado 200 g,"2,69 €","13,45 €/Kg"
Cenoura (1 un = 195 g aprox),"0,19 €","0,95 €/Kg"
Batata Vermelha (1 un = 335 g aprox),"0,40 €","1,19 €/Kg"
RIBERALVES Caldeirada de Bacalhau 400 g,"2,99 €","7,48 €/Kg"
Alho (1 un = 65 g aprox),"0,36 €","5,49 €/Kg"
DIA SABOR CHARCUTEIRO Mortadela 900 g,"3,09 €","3,43 €/Kg"
DIA NA GRELHA Salsichas Churrasco Finas Ervas Embaladas 200 g,"1,99 €","9,95 €/Kg"
FRUTOS SECOS DO DIA Pevides com Casca 200 g,"2,74 €","13,70 €/Kg"
Pêra Rocha do Oeste (1 un = 195 g aprox),"0,49 €","2,49 €/Kg"
ASSADOS DA QUINTA Leitão Assado 500 g,"7,69 €","15,38 €/Kg"
CAMPOFRIO Fiambre de Peru Fatias Clássicas 90 g,"1,30 €","14,44 €/Kg"
NOBRE Fiambre da Perna Extra Fatias Finíssimas 120 g,"2,69 €","22,42 €/Kg"
NOBRE Fiambre da Perna Extra Fatias Clássicas 120 g,"2,69 €","22,42 €/Kg"
CAMPOFRIO Forno de Lenha Peito de Frango Fatias Clássicas 120 g,"2,69 €","22,42 €/Kg"
Bifes de Frango Panados Embalados 400 g,"4,99 €","12,48 €/Kg"
HORTA DO DIA Alface Frisada Embalada 125 g,"1,08 €","8,64 €/Kg"
HORTA DO DIA Salada Alface Iceberg Embalada 200 g,"0,79 €","3,95 €/Kg"
DIA NATULEV Pevides de Abóbora 150 g,"1,98 €","13,20 €/Kg"
CEM PORCENTO Sementes de Chia 150 g,"1,65 €","11,00 €/Kg"
