Nome,Marca,Unidade,Preço Primário,Preço Secundário
Bombons de Chocolate com Recheio de Creme e Avelã,Ferrero Rocher,emb. 200 gr,"€4,09/un","€20,45/kg"
Cápsulas de Café Buondi,Buondi,emb. 4 x 10 un,"€10,99/un","€0,27/un"
Arroz Basmati,Caçarola,"emb. 2,5 kg","€5,69/un","€2,28/kg"
Atum Posta em Óleo,Bom Petisco,emb. 200 gr (peso escorrido 130 gr),"€2,75/un","€21,15/kg"
Óleo de Girassol Puro,Fula,emb. 1 lt,"€2,64/un","€2,64/lt"
Massa Esparguete,Milaneza,emb. 500 gr,"€0,94/un","€1,88/kg"
Cereais Lion Caramelo e Chocolate,Lion,emb. 400 gr,"€3,89/un","€9,73/kg"
Sal Marinho Tradicional,Marnoto,emb. 1 kg,"€0,89/un","€0,89/kg"
Azeite Virgem Extra,Herdade do Esporão,emb. 75 cl,"€6,07/un","€8,09/lt"
Polpa de Tomate,Compal da Horta,emb. 3 x 210 gr,"€1,69/un","€2,68/kg"
Arroz Agulha,Cigala,emb. 1 kg,"€1,49/un","€1,49/kg"
Barras de Cereais Chocapic,Chocapic,emb. 12 x 25 gr,"€4,39/un","€21,95/kg"
Bolo de Leite,Manhãzitos,emb. 280 gr (8 un),"€3,99/un","€14,25/kg"
Cápsulas de Café Buondi Int 8,Dolce Gusto,emb. 64 un,"€17,99/un","€0,28/un"
Arroz Basmati,Continente,emb. 1 kg,"€2,29/un","€2,29/kg"
Atum Posta ao Natural,Continente Equilíbrio,emb. 120 gr (peso escorrido 85 gr),"€0,85/un","€10,00/kg"
Atum Posta em Azeite,Bom Petisco,emb. 120 gr (peso escorrido 78 gr),"€1,89/un","€24,23/kg"
Açúcar Branco,Continente,emb. 1 kg,"€1,49/un","€1,49/kg"
Cápsulas de Café Qalidus Int 10,Delta Q,emb. 80 un,"€21,99/un","€0,27/un"
Atum Filetes em Azeite,Tenorio,emb. 120 gr (peso escorrido 78 gr),"€2,69/un","€34,49/kg"
Azeite Virgem Extra Sublime,Gallo,emb. 75 cl,"€4,49/un","€5,99/lt"
Infusão Nº19 Camomila Saquetas,Raízes da Natureza,emb. 10 un,"€0,74/un","€0,07/un"
Cápsulas de Café Sical Intensidade 7,Dolce Gusto,emb. 64 un,"€17,99/un","€0,28/un"
Cápsulas de Café Original Int 8,Buondi,emb. 10 un,"€4,09/un","€0,41/un"
Massa Esparguete,Continente,emb. 500 gr,"€0,80/un","€1,60/kg"
Óleo Alimentar,Continente,emb. 1 lt,"€2,59/un","€2,59/lt"
Atum ao Natural,Tritão,emb. 110 gr (peso escorrido 77 gr),"€0,75/un","€9,74/kg"
Azeite Virgem Extra Selecionado Pet,Oliveira da Serra,emb. 75 cl,"€4,29/un","€5,72/lt"
Batata Frita Gourmet Lisa Corte Fino,Lay's Gourmet,emb. 150 gr,"€2,29/un","€15,27/kg"
Azeite Virgem Extra,Continente,emb. 75 cl,"€3,29/un","€4,39/lt"
Salsichas Frankfurt Lata 10 un Pack Poupança,Continente,emb. 380 gr (peso escorrido 250 gr),"€0,94/un","€3,76/kg"
"Doses Fruta Maçã, Banana, Laranja e Ananás Kids +3A",Compal Essencial,emb. 3 x 11 cl,"€2,29/un","€6,94/lt"
Miolo de Caju Cru,Continente,emb. 200 gr,"€2,99/un","€14,95/kg"
Bolachas Maria,Continente,emb. 800 gr (4 un),"€1,49/un","€1,86/kg"
Atum Posta ao Natural,Bom Petisco,emb. 120 gr (peso escorrido 84 gr),"€1,39/un","€16,55/kg"
Máquina de Café Manual KBECM4842,Kubo,emb. 1 un,"€79,99/un","€79,99/un"
Atum Posta em Óleo de Girassol,Bolina,emb. 385 gr (peso escorrido 250 gr),"€3,49/un","€13,96/kg"
Cápsulas de Café Ardenza Int 11,Dolce Gusto,emb. 64 un,"€17,99/un","€0,28/un"
Cogumelos Laminados,Continente,emb. 355 gr (peso escorrido 185 gr),"€0,99/un","€5,35/kg"
Miolo de Noz Metades,Continente,emb. 200 gr,"€2,69/un","€13,45/kg"
Atum Posta em Óleo,Bom Petisco,emb. 120 gr (peso escorrido 78 gr),"€1,69/un","€21,67/kg"
Óleo Alimentar,Fula,emb. 3 lt,"€7,89/un","€2,63/lt"
Cereais Chocapic Chocolate,Chocapic,emb. 625 gr,"€3,24/un","€5,18/kg"
Caju Torrado sem Sal,Continente,emb. 200 gr,"€3,59/un","€17,95/kg"
Cápsulas de Café Qharacter Int 9,Delta Q,emb. 60 un,"€17,99/un","€0,30/un"
Azeite Virgem Extra Cooperativa,Continente,emb. 3 lt,"€12,49/un","€4,16/lt"
Arroz Agulha Europa,Continente,emb. 1 kg,"€1,09/un","€1,09/kg"
Massa Esparguete Pack Poupança,Continente,emb. 1 kg,"€1,39/un","€1,39/kg"
Tomate em Pedaços,Continente,emb. 390 gr,"€0,69/un","€1,77/kg"
Batata Frita Palha Pack Poupança,Continente,emb. 400 gr,"€1,59/un","€3,98/kg"
Cápsulas de Café Ristretto Int 11,L'Or,emb. 40 un,"€12,69/un","€0,32/un"
Tablete de Chocolate Negro com Caramelo 70%,Jubileu,emb. 100 gr,"€1,99/un","€19,90/kg"
Batata Frita Palha Caseira,Pála-Pála,emb. 500 gr,"€2,99/un","€5,98/kg"
Cápsulas de Café Qalidus Int 10,Delta Q,emb. 2 x 80 un,"€38,99/un","€0,24/un"
Azeite Pet,Oliveira da Serra,emb. 75 cl,"€3,99/un","€5,32/lt"
Miolo de Amêndoa Torrada,Continente,emb. 200 gr,"€3,99/un","€19,95/kg"
Salsichas Frankfurt Originais Lata 10 un,Nobre,emb. 380 gr (peso escorrido 250 gr),"€1,34/un","€5,36/kg"
