Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
H&S Shampoo Reconstrutor para Couro Cabeludo Muito Seco embalagem 300 ml,H&S,,"4,94 €","(16,47 € / Litro)",
Galbani Queijo Mascarpone embalagem 500 g,Galbani,,"7,69 €","(15,38 € / Kg)",
Ultra Suave Condicionador Camomila e Mel de Flores para Cabelos Louros embalagem 400 ml,Ultra Suave,,"5,59 €","(13,98 € / Litro)",
Moura Azeite Virgem Extra DOP garrafa 500 ml,Moura,,"3,39 €","(6,78 € / Litro)",
A Vaca Que Ri Queijo Fundido 8 Porções embalagem 140 g,A Vaca Que Ri,,"2,23 €","(15,93 € / Kg)",
Provamel Bebida de Soja Adoçada com Maçã Biológica embalagem 1 L,Provamel,,"2,25 €","(2,25 € / Litro)",
Bom Sucesso Arroz Carolino Extra Longo embalagem 1 kg,Bom Sucesso,,"1,44 €","(1,44 € / Kg)",
Billingtons Açúcar Demerara embalagem 500 g,Billingtons,,"2,79 €","(5,58 € / Kg)",
Macieira Brandy Cream garrafa 70 cl,Macieira,,"15,99 €","(22,84 € / Litro)",
El Corte Inglés Massa Fresca Tortellini 4 Queijos embalagem 250 g,El Corte Inglés,,"2,09 €","(8,36 € / Kg)",
Special Line El Corte Inglés Chá Vermelho Pu-Erh embalagem 25 unidades,Special Line El Corte Inglés,,"2,37 €","(94,80 € / Kg)",
Lyle's Xarope Ácer garrafa 454 g,Lyle's,,"4,85 €","(10,68 € / Kg)",
Messias Vinho do Porto Ruby garrafa 75 cl,Messias,,"6,85 €","(9,13 € / Litro)",
Comfort Amaciador Intensificador de Perfume Frescura embalagem 760 ml,Comfort,,"5,99 €","(7,88 € / Litro)",
Denim Original Creme de Barbear embalagem 100 ml,Denim Original,,"2,59 €","(25,90 € / Litro)",
El Corte Inglés Salada Variada embalagem 200 g,El Corte Inglés,,"1,45 €","(7,25 € / Kg)",
Sonatural Sumo de Manga embalagem 750 ml,Sonatural,,"4,49 €","(5,99 € / Litro)",
Dom Diogo Vinho Verde Arinto Branco garrafa 75 cl,Dom Diogo,,"4,95 €","(6,60 € / Litro)",
Cem Porcento Infusão para Pernas Cansadas embalagem 13 g,Cem Porcento,,"0,85 €","(65,38 € / Kg)",
El Corte Inglés Amaciador para a Roupa Violeta e Âmbar Concentrado embalagem 30 doses,El Corte Inglés,,"1,95 €","(0,06 € / Dose)",
Goshua Iogurte com Pêssego frasco 145 g,Goshua,,"1,85 €","(12,76 € / Kg)",
Presunto 100% Ibérico Bolota Fatiado Mão unidade 50 g,,,"13,99 €","(279,80 € / Kg)",
King C. Gillette Máquina de Barbear Lâmina Dupla + 5 Recargas embalagem 6 unidades,King C. Gillette,,"19,99 €","(19,99 € / Unidade)",
Bolo do Caco unidade 100 g,,,"1,10 €","(0,01 € / Unidade)",
Palette Coloração Nº 5 Castanho Claro embalagem 1 unidade,Palette,,"5,99 €","(5,99 € / Unidade)",
