Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
OIKOS CAFE 110G X4,OIKOS,Emb. 0.44 KG,"2,39€","5,43€ / KG",
Azeite Virgem Delicado,GALLO,Emb. 0.75 LT,"4,69€","6,25€ / LT",
Cápsulas Café Ristretto Barista,DOLCE GUSTO,Emb. 30 CAPS.,"10,49€","0,35€ / CAPS.",
Tablete de Chocolate Creme de Cacau,MILKA,Emb. 0.1 KG,"1,69€","16,90€ / KG",
Alimento Seco P/ Cão Júnior,PURINA FRISKIES,Emb. 3 KG,"11,69€","3,90€ / KG",
Cerveja C/ Álcool 6x25cl,CARLSBERG,Emb. 1.5 LT,"3,59€","2,39€ / LT",
Cereais Golden Grahams,NESTLÉ,Emb. 0.375 KG,"2,53€","6,75€ / KG",
Vinho Regional Alentejo Tinto,MARQUÊS DE BORBA,Garrafa 0.75 LT,"5,49€","7,32€ / LT",
Alimento P/ Húmido Gato Seleção de Mousses,FRISKIES,Emb. 0.68 KG,"5,85€","8,60€ / KG",
Chá Verde e Limão,PLENO,Garrafa 1.5 LT,"1,49€","0,99€ / LT",
Ice Tea Manga Ananás,NESTEA,Emb. 1.5 LT,"1,00€","0,67€ / LT",
Refrigerante C/ Gás Uva,FANTA,Garrafa 1.5 LT,"1,00€","0,67€ / LT",
Alimento Seco Gato Atum Legumes,PURINA FRISKIES,Emb. 0.4 KG,"2,19€","5,48€ / KG",
Douradinho de Vegetais 10 Unid. Ultracongelados,IGLO,Emb. 0.284 KG,"3,29€","11,58€ / KG",
Cera Depilatória a base de Açúcar,VEET,Emb. 0.025 LT,"5,94€","237,60€ / LT",
Desodorizante Roll On Invisible Black White 48H,REXONA,Emb. 0.05 LT,"2,39€","47,80€ / LT",
Amaciador Cabelo Frágeis Garnier Tesouros de Mel,ULTRA SUAVE,Emb. 0.2 LT,"3,59€","17,95€ / LT",
Anis Estrelado,MARGÃO,Emb. 0.025 KG,"3,29€","131,60€ / KG",
Alimento Húmido P/ Gato C/ Carne de Vaca e Frango,GOURMET GOLD,Emb. 0.085 KG,"0,75€","8,82€ / KG",
Alimento Seco P/ Gato C/ Carne de Vaca,PURINA,Emb. 0.8 KG,"6,99€","8,74€ / KG",
Maionese com Alho Top Down,CALVÉ,Emb. 0.25 KG,"2,69€","10,76€ / KG",
