Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Alimento Húmido P/ Gato Salmão Atum Legumes,PURINA FRISKIES,Emb. 0.4 KG,"1,18€","2,95€ / KG",
Café Pastilhas Platinium,DELTA,Emb. 16 UNID.,"3,85€","0,24€ / UNID.",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Esfregona de Algodão,,Emb. 1 UNID.,"0,99€","0,99€ / UNID.",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
Batatas Fritas York'eso,RUFFLES,Emb. 0.15 KG,"1,78€","11,87€ / KG",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
Pastéis de Bacalhau,,Emb. 12 KG,"2,49€","0,21€ / KG",
Escova Extra Interdental,AQUAFRESH,Emb. 2 UNID.,"3,16€","1,58€ / UNID.",
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Espumante Reserva Meio Seco,RAPOSEIRA,Garrafa 0.75 LT,"7,99€","10,65€ / LT",
Fraldas Recém Nascido T1 Ultra Confort 2/5Kg,MOTS D'ENFANTS,Emb. 23 UNID.,"2,75€","0,12€ / UNID.",
Gel De Banho Suave 500 Ml + 250 Ml Grátis,CORINE DE FARME,Emb. 0.75 LT,"4,84€","6,45€ / LT",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Cápsulas Café Espresso Intenso Intensidade 7,DOLCE GUSTO,Emb. 30 CAPS.,"10,49€","0,35€ / CAPS.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
PIZZA MOZZARELLA MERVEILLOSA,TURINI,Emb. 0.335 KG,"1,79€","5,34€ / KG",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
CHOCOLATE PRETO COM FLOR DE SAL,EQUADOR,Emb. 0.1 KG,"1,19€","11,90€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Iogurte Líquido Tutti Frutti 4x155g,DANONE,Emb. 0.62 KG,"1,39€","2,24€ / KG",
Gliss Reparação Total Condicionador Express em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
Whisky The Famous Grouse,FAMOUS GROUSE,Garrafa 0.7 LT,"17,49€","24,99€ / LT",
Toalhitas Limpa Pó Electrostáticas,,Emb. 40 UNID.,"2,25€","0,06€ / UNID.",
Fraldas Bebé T6 Doucer +16 Kg,MOTS D'ENFANTS,Emb. 58 UNID.,"9,65€","0,17€ / UNID.",
Iogurte Natural,MIMOSA,Emb. 0.48 KG,"1,09€","2,27€ / KG",
"MAQUINA CAFE FILTRO 1,25L 1000W",ELSAY,Emb. 1 UNID.,"21,90€","21,90€ / UNID.",
Conserva de Feijão Frade,COMPAL,Lata 0.845 KG,"1,59€","1,88€ / KG",
Refrigerante S/ Gás Laranja 0 Açúcares,AQUARIUS,Emb. 1.5 LT,"1,94€","1,29€ / LT",
