Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
PATE RICO CARNE/PEIXE C/LEGUMES P/ GATO 4X100G 4X100G LYCAT,LYCAT,Emb. 4 UNID.,"1,67€","0,42€ / UNID.",
PENSOS INCONTINENCIA,CHORYS,Emb. 24 UNID.,"5,49€","0,23€ / UNID.",
Pimenta Branca Moída,RUSTICA,Frasco 0.04 KG,"1,50€","37,50€ / KG",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Esfregona de Algodão,,Emb. 1 UNID.,"0,99€","0,99€ / UNID.",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
AGRAFADOR Nº10 + 400AGRAFOS,ESQUISSE,Emb. 1 UNID.,"2,49€","2,49€ / UNID.",
"ALIMENT BEBE: PURE CENOURAS, ARROZ E ABOBORA BIO +6M 2X200G",BIO VILLAGE BEBE,Emb. 0.4 KG,"2,55€","6,38€ / KG",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
Mortadela com Azeitonas,ELPOZO,1 Unid. = 0.1 KG (aprox.),"5,99€/kg","0,60€ / Unid.",
Bombay Dry Gin Original,BOMBAY,Garrafa 0.7 LT,"15,99€","22,84€ / LT",
Vinho de Mesa Tinto,CASAL DA EIRA,Emb. 0.25 LT,"0,68€","2,72€ / LT",
Bife chã de Fora de Novilho,,1 Unid. = 0.5 KG (aprox.),"9,99€/kg","5,00€ / Unid.",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Salsichas C/ Feijão,CÔTÉ TABLE,Emb. 0.84 KG,"2,63€","3,13€ / KG",
CARIL DE CAMARAO,CÔTÉ TABLE,Emb. 0.3 KG,"3,89€","12,97€ / KG",
Alimento Húmido Gato Completo Delícias do Mar 3x400 g,TOUS MES AMIS,Emb. 3 KG,"3,19€","1,06€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Café Solúvel Alta Rica Intenso,NESCAFÉ,Emb. 0.1 KG,"6,38€","63,80€ / KG",
Wafers Enroladas Cobertas Chocolate de Leite,P'TIT DÉLI,Emb. 0.125 KG,"1,33€","10,64€ / KG",
Aerossol Air Japan Tatami,AMBIPUR,Emb. 0.3 LT,"3,98€","13,27€ / LT",
GEL ANTI-CALCARIO 750ML,TEXIL,Emb. 0.75 KG,"2,43€","3,24€ / KG",
Gelado Bomboniera Pack 6,MAGNUM,Emb. 0.07 LT,"1,98€","28,29€ / LT",
Mini Gelados Double Caramelo Pack 6,MAGNUM,Emb. 0.36 LT,"5,98€","16,61€ / LT",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
Alimento Seco P/ Gatos Esterilizados Salmão,PURINA FRISKIES,Emb. 1.5 KG,"6,98€","4,65€ / KG",
MARCADORES P/QUADRO BRANCO 4UN,ESQUISSE,Emb. 1 UNID.,"2,29€","2,29€ / UNID.",
CERA CREME PRETA 75ML,LA VACHETTE,Emb. 0.075 LT,"2,03€","27,07€ / LT",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Luvas Domésticas Duplex Tamanho M,RENOVA LUVAS,Emb. 1 UNID.,"1,08€","1,08€ / UNID.",
SALSICHAO SECO FATIAS,ST AZAY,Emb. 0.15 KG,"1,88€","12,53€ / KG",
Pantene Purifica & Reconstrói Máscara 160 ml,,Emb. 0.16 LT,"5,98€","37,38€ / LT",
Fiambre Peito de Peru em Forno de Lenha,CAMPOFRIO,1 Unid. = 0.11 KG (aprox.),"14,99€/kg","1,65€ / Unid.",
Queijo Mozzarella Ralado Valformoso,VALFORMOSO,Emb. 0.15 KG,"1,49€","9,93€ / KG",
SALSICHA CHURRASCO PICANTE,CAMPO FINO,Emb. 0.2 KG,"2,02€","10,10€ / KG",
CHOCOLATE PRETO COM FLOR DE SAL,EQUADOR,Emb. 0.1 KG,"1,19€","11,90€ / KG",
Bolachas com Cobertura Chocolate e Avelãs,P'TIT DÉLI,Emb. 0.12 KG,"1,14€","9,50€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Alimento Seco para Gato Carne e Cereais,ECO+,Emb. 2 KG,"3,39€","1,70€ / KG",
Rebuçados sem Açúcar Sabor Morango 4x32g,HALLS,Emb. 0.128 KG,"2,98€","23,28€ / KG",
Chá de Ervas Digestão Fácil,LIPTON,Emb. 20 SAQ.,"1,94€","0,10€ / SAQ.",
Verniz de Unhas 60 Segundos 500,RIMMEL,Emb. 1 UNID.,"5,58€","5,58€ / UNID.",
Gliss Reparação Total Condicionador Express em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
Bolachas Cookies Pepitas de Chocolate,CHIPS AHOY,Emb. 0.128 KG,"1,88€","14,69€ / KG",
DENTIFRICO COCO/ALOE VERA BIO,BIONAÏA,Emb. 0.075 LT,"1,78€","23,73€ / LT",
Espumante Reserva Meio Seco,MURGANHEIRA,Garrafa 0.75 LT,"11,78€","15,71€ / LT",
