Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Faca de Cozinha 21cm,PRADEL,1 UNID.,"6,99€","6,99€ / UNID.",
QUEIJO FLAMENGO FATIADO,QUEIJO NA TÁBUA,Emb. 0.275 KG,"2,19€","7,96€ / KG",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
COPPA ITALIANA FATIAS,ST AZAY,,"2,59€",/ Unid.,
PIMENTO VERM./VERDE,NOTRE JARDIN,Emb. 0.6 KG,"1,19€","1,98€ / KG",
Esfregão Glitzi Power Inox,VILEDA,Emb. 2 UNID.,"2,58€","1,29€ / UNID.",
Creme Flamengo,PRÉSIDENT,Emb. 0.125 KG,"2,44€","19,52€ / KG",
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
COUVE FLOR,RUSTICA,Emb. 0.36 KG,"1,04€","2,89€ / KG",
PIMENTAO DOCE SAQUETA,RUSTICA,Emb. 0.1 KG,"1,00€","10,00€ / KG",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
MULTIPACK CALIPPO SUPERMIX 5X105ML,CALIPPO,Emb. 5 UNID.,"3,98€","0,80€ / UNID.",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
COLORACAO CASTANHO 4.45 S/AMONIACO 1UN VITANOVE,VITANOVE,Emb. 1 UNID.,"4,07€","4,07€ / UNID.",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Ervilhas Ultracongelado,PESCANOVA,Emb. 1 KG,"1,99€","1,99€ / KG",
BOLACHAS DIGESTIVE DIGESTIVE NATURE GULLON 400G,GULLÓN,Emb. 0.4 KG,"2,78€","6,95€ / KG",
Café Solúvel Alta Rica Intenso,NESCAFÉ,Emb. 0.1 KG,"6,38€","63,80€ / KG",
GUYLIAN CHOCOLATE LEITE 100g,,,"2,68€",/ Unid.,
Aerossol Air Japan Tatami,AMBIPUR,Emb. 0.3 LT,"3,98€","13,27€ / LT",
Prato 27cm Cinzento,SCANDINAVE,1 UNID.,"2,99€","2,99€ / UNID.",
BOLACHAS C/TABLETE CHOCO PRETO,ECO+,Emb. 0.15 KG,"1,28€","8,53€ / KG",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
QUEIJO BRILLAT SAVARIN,NOS RÉGIONS ONT DU TALENT,Emb. 0.2 KG,"2,99€","14,95€ / KG",
Chipicao Mini Croissant Baunilha,CHIPICAO,Emb. 0.08 KG,"1,14€","14,25€ / KG",
Medidor Vidro 50cl,ARDENCE,1 UNID.,"2,50€","2,50€ / UNID.",
Rum Spice Gold,CAPTAIN MORGAN,Garrafa 0.7 LT,"14,98€","21,40€ / LT",
Creme Smooth Milk Pele Seca,NIVEA,Emb. 0.25 LT,"4,98€","19,92€ / LT",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
Vinho Regional Península de Setúbal Tinto,JOSE MARIA FONSECA,Garrafa 0.75,"2,98€","3,97€ /",
Toalhitas Anti-Transferência de cor,VANISH,Emb. 1 UNID.,"6,49€","6,49€ / UNID.",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Pensos Higiénicos Cottonlike Normal Alas,EVAX,Emb. 1 P,"2,58€","2,58€ / P",
Balde de Lixo 44L Prateado,,1 UNID.,"16,99€","16,99€ / UNID.",
Queijo Tartiflette,LES CROISÉS,Emb. 0.5 KG,"4,71€","9,42€ / KG",
Pantene Purifica & Reconstrói Máscara 160 ml,,Emb. 0.16 LT,"5,98€","37,38€ / LT",
Vinho Regional Alentejano Tinto,GALITOS,Garrafa 0.75 LT,"1,89€","2,52€ / LT",
Vinho Branco Adamado,FAISÃO,Garrafa 1 LT,"2,18€","2,18€ / LT",
Snack Batata Frita Sabor Bacon,TOKAPI,Emb. 0.17 KG,"2,05€","12,06€ / KG",
GEL LIMPEZA PURIFICANTE P/ ROSTO,INELL,Emb. 0.15 LT,"1,56€","10,40€ / LT",
Champanhe Bruto,POL CARSON,Garrafa 0.375 LT,"10,38€","27,68€ / LT",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
LULAS CALDEIRADA  120 Gr. P.liq.  Ramirez,RAMIREZ,,"1,49€",/ Unid.,
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Cuecas Incontinência Boutique M,AUSONIA,Emb. 9 UNID.,"8,99€","1,00€ / UNID.",
Fruta 100% 7 Frutos 4 Unid.,NESTLÉ,Emb. 0.4 KG,"2,82€","7,05€ / KG",
Iogurte Líquido Tutti Frutti 4x155g,DANONE,Emb. 0.62 KG,"1,39€","2,24€ / KG",
Chá de Ervas Digestão Fácil,LIPTON,Emb. 20 SAQ.,"1,94€","0,10€ / SAQ.",
Gliss Reparação Total Condicionador Express em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
BACALHAU P/ CALDEIRADA,PÊCHE OCÉAN,Emb. 0.8,"3,99€","4,99€ /",
Água Tónica Mist,NORDIC,Lata 0.25 LT,"0,74€","2,96€ / LT",
Atum em Posta,BOM PETISCO,Emb. 0.385 KG,"5,48€","14,23€ / KG",
Espumante Reserva Meio Seco,MURGANHEIRA,Garrafa 0.75 LT,"11,78€","15,71€ / LT",
Miolo Camarão Grande Cozido 40/60 Ultracongelado,PESCANOVA,Emb. 0.2 KG,"8,98€","44,90€ / KG",
Vinho Rosé,FAISÃO,Emb. 1 LT,"2,18€","2,18€ / LT",
"SMICY TUB - SORTIDO GELADOS DE AGUA SABOR LIMAO, LARANJA, MORANGO E COLA",SMICY,Emb. 8 UNID.,"3,39€","0,42€ / UNID.",
Creme Hidratante com Água Floral de Rosa,GARNIER,Emb. 0.05 LT,"5,98€","119,60€ / LT",
Descascador Éplucheur,ARDENCE,1 UNID.,"2,49€","2,49€ / UNID.",
Couscous sem Glúten,CHAQUE JOUR,Emb. 0.375 KG,"3,68€","9,81€ / KG",
Bolachas Integrais de Goji,DIESE,Emb. 0.2 KG,"2,38€","11,90€ / KG",
QUICHE LORRAINE 8UN,CÔTÉ TABLE,Emb. 0.8 KG,"4,89€","6,11€ / KG",
Pensos Higiénicos Respirare Normal,CAREFREE,Emb. 44 UNID.,"2,78€","0,06€ / UNID.",
Medalhões Pescada,PÊCHE OCÉAN,Emb. 0.4 KG,"3,29€","8,23€ / KG",
Miolo de Caju C/ Sal,MARQUE REPERE,Emb. 0.15 KG,"3,29€","21,93€ / KG",
Barras de Cereais 6 Unid.,FITNESS,Emb. 0.141 KG,"2,33€","16,52€ / KG",
TIRA NODOAS EM PO MULTIUSOS ECOLOGICO,UNÍ VERT,Emb. 0.5 KG,"3,14€","6,28€ / KG",
Pêssego em Calda,ECO+,Emb. 0.85 KG,"1,80€","2,12€ / KG",
Sumo de Laranja e Maracujá,JOI,Garrafa 1.5 LT,"1,89€","1,26€ / LT",
Galetes de 4 Cereais Biológicas,,Emb. 0.13 KG,"1,14€","8,77€ / KG",
Pensos Higiénicos Normal sem Alas,EVAX,Emb. 12 UNID.,"2,98€","0,25€ / UNID.",
Vinho Regional Península de Setúbal Tinto,FONTANARIO,Garrafa 0.75 LT,"2,73€","3,64€ / LT",
Sabonete Liquido Recarga Leite e Mel,PALMOLIVE,Emb. 0.3 LT,"2,24€","7,47€ / LT",
Batatas Fritas no Forno,LAY'S,Emb. 0.15 KG,"2,18€","14,53€ / KG",
Iogurte Aroma Morango/Banana 8x125g,CLESA,Emb. 1 KG,"1,49€","1,49€ / KG",
Taboulé C/ Frango Assado,MENU FRAÎCHEUR,Emb. 0.3 KG,"1,59€","5,30€ / KG",
Torta de Morango,P'TIT DÉLI,Emb. 0.3 KG,"1,29€","4,30€ / KG",
Alimento Seco para Gato Carne e Cereais,ECO+,Emb. 2 KG,"3,59€","1,80€ / KG",
Perna para Assar de Porco,,1 Unid. = 1 KG (aprox.),"4,19€/kg","4,19€ / Unid.",
Vinho Regional Douro Tinto Reserva,ADEGA DE VILA REAL,Garrafa 0.75 LT,"3,14€","4,19€ / LT",
SPRAY LIMPA VIDROS 1 L 1L TECH9,TECH9,Emb. 1 LT,"2,99€","2,99€ / LT",
Macedonia de 4 Legumes,,Emb. 0.4 KG,"0,60€","1,50€ / KG",
Sacos do Lixo 50 Litros,ELEMBAL,Emb. 15 UNID.,"2,19€","0,15€ / UNID.",
