Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Ameixa Amarela Cal. 45/55,,1 Unid. = 0.09 KG (aprox.),"2,99€/kg","0,27€ / Unid.",
Água com Gás 6x25cl,VIMEIRO,Emb. 1.5 LT,"2,64€","1,76€ / LT",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Bebida de Soja 0%,SHOYCE,Emb. 1 LT,"1,69€","1,69€ / LT",
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
Pensos Higiénicos Normal Sem Alas Fina e Segura,EVAX,Emb. 24 UNID.,"2,79€","0,12€ / UNID.",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
DETERGENTE CAPSULAS 3 EM 1 FLORES P/ROUPA,EPSIL,,"4,99€",/ Unid.,
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Água Natural,SERRA DA ESTRELA,Emb. 9 LT,"3,24€","0,36€ / LT",
Fraldas Recém Nascido T1 Ultra Confort 2/5Kg,MOTS D'ENFANTS,Emb. 23 UNID.,"2,75€","0,12€ / UNID.",
Batatas Fritas Doritos Pizza,DORITOS,Emb. 0.14 KG,"1,66€","11,86€ / KG",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
MARCADORES P/QUADRO BRANCO 4UN,ESQUISSE,Emb. 1 UNID.,"2,29€","2,29€ / UNID.",
