Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Vinho Tinto,ADEGA DE MURÇA,Garrafa 0.75 LT,"1,99€","2,65€ / LT",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
DESODORIZANTE SPRAY SEDUCTION MEN 100ML COMPACT,CARRÉ HOMME,Emb. 0.1 LT,"1,29€","12,90€ / LT",
BOLACHA MY COOKIES AVEIA,NACIONAL,Emb. 0.15 KG,"1,71€","11,40€ / KG",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
MINI CANETA CORRETORA 3UN,ESQUISSE,Emb. 3 UNID.,"1,39€","0,46€ / UNID.",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
Bife chã de Fora de Novilho,,1 Unid. = 0.5 KG (aprox.),"9,99€/kg","5,00€ / Unid.",
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Pensos Higiénicos Super C/ Abas Eco,UNÍ VERT,Emb. 12 UNID.,"1,49€","0,12€ / UNID.",
Frango do Campo Inteiro,,1 Unid. = 2.8 KG (aprox.),"3,69€/kg","10,33€ / Unid.",
Café Solúvel Alta Rica Intenso,NESCAFÉ,Emb. 0.1 KG,"6,38€","63,80€ / KG",
VASSOURA,SILLAGE,Emb. 1 UNID.,"1,89€","1,89€ / UNID.",
Bolachas Digestivas Aveia Oats Choc,GULLÓN,Emb. 0.425 KG,"2,73€","6,42€ / KG",
Fraldas Recém Nascido T1 Ultra Confort 2/5Kg,MOTS D'ENFANTS,Emb. 23 UNID.,"2,75€","0,12€ / UNID.",
Gelado Bomboniera Pack 6,MAGNUM,Emb. 0.07 LT,"1,98€","28,29€ / LT",
Gel De Banho Suave 500 Ml + 250 Ml Grátis,CORINE DE FARME,Emb. 0.75 LT,"4,84€","6,45€ / LT",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
Alimento Seco P/ Gatos Esterilizados Salmão,PURINA FRISKIES,Emb. 1.5 KG,"6,98€","4,65€ / KG",
CERA CREME PRETA 75ML,LA VACHETTE,Emb. 0.075 LT,"2,03€","27,07€ / LT",
ANDOUILLETTE COM ERVAS 3UN,TRADILÈGE,Emb. 0.42 KG,"4,55€","10,83€ / KG",
Rum Spice Gold,CAPTAIN MORGAN,Garrafa 0.7 LT,"14,98€","21,40€ / LT",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Melão Verde,,1 Unid. = 2.8 KG (aprox.),"1,19€/kg","3,33€ / Unid.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
PIZZA MOZZARELLA MERVEILLOSA,TURINI,Emb. 0.335 KG,"1,79€","5,34€ / KG",
Corvina à Posta,,1 Unid. = 0.205 KG (aprox.),"9,29€/kg","1,90€ / Unid.",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Luvas Domésticas Duplex Tamanho M,RENOVA LUVAS,Emb. 1 UNID.,"1,08€","1,08€ / UNID.",
Pantene Purifica & Reconstrói Máscara 160 ml,,Emb. 0.16 LT,"5,98€","37,38€ / LT",
Alimento Seco Cão Active Completo,PURINA FRISKIES,Emb. 4 KG,"12,78€","3,20€ / KG",
CHOCOLATE PRETO COM FLOR DE SAL,EQUADOR,Emb. 0.1 KG,"1,19€","11,90€ / KG",
Ervilhas Muito Finas,NOTRE JARDIN,Emb. 0.4 KG,"0,99€","2,48€ / KG",
Salteado de Frango C/ Legumes,CÔTÉ TABLE,Emb. 0.9 KG,"3,99€","4,43€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Iogurte Líquido Tutti Frutti 4x155g,DANONE,Emb. 0.62 KG,"1,39€","2,24€ / KG",
Detergente Loiça Manual Recarga Espuma Ativa,FAIRY,Emb. 0.375 LT,"3,58€","9,55€ / LT",
