Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Pimenta Branca Moída,MARGÃO,Emb. 0.04 KG,"2,39€","59,75€ / KG",
PIMENTO VERM./VERDE,NOTRE JARDIN,Emb. 0.6 KG,"1,19€","1,98€ / KG",
Mini Bolos com Pepitas de Chocolate,P'TIT DÉLI,Emb. 0.15 KG,"1,03€","6,87€ / KG",
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
Fiambre da Perna Extra Finíssimos,NOBRE,Emb. 0.12 KG,"2,69€","22,42€ / KG",
Pensos Higiénicos Normal Sem Alas Fina e Segura,EVAX,Emb. 24 UNID.,"2,79€","0,12€ / UNID.",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
"AZEITE CLASSICO,OL.SERRA,5L",OLIVEIRA DA SERRA,,"29,31€",/ Unid.,
Mortadela com Azeitonas,ELPOZO,1 Unid. = 0.1 KG (aprox.),"7,99€/kg","0,80€ / Unid.",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Ervilhas Ultracongelado,PESCANOVA,Emb. 1 KG,"1,99€","1,99€ / KG",
Wafers Enroladas Cobertas Chocolate de Leite,P'TIT DÉLI,Emb. 0.125 KG,"1,33€","10,64€ / KG",
Pato Inteiro,,1 Unid. = 2.15 KG (aprox.),"2,00€/kg","10,73€ / Unid.",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
QUEIJO BRILLAT SAVARIN,NOS RÉGIONS ONT DU TALENT,Emb. 0.2 KG,"2,99€","14,95€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
PIZZA MOZZARELLA MERVEILLOSA,TURINI,Emb. 0.335 KG,"1,79€","5,34€ / KG",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
MOUSSE MAGRO 0%MG MORANGO / PESSEGO,DÉLISSE,Emb. 0.46 KG,"1,49€","3,24€ / KG",
Soro Fisiológico 60ml,HIDRO,Emb. 0.06 LT,"0,49€","8,17€ / LT",
