Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Couve Brócolo,,1 Unid. = 0.27 KG (aprox.),"2,19€/kg","0,59€ / Unid.",
Vinho Tinto,ADEGA DE MURÇA,Garrafa 0.75 LT,"1,99€","2,65€ / LT",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Pimenta Branca Moída,MARGÃO,Emb. 0.04 KG,"2,39€","59,75€ / KG",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Massa Bago,MILANEZA,Emb. 0.25 KG,"0,85€","3,40€ / KG",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
Fiambre da Perna Extra Finíssimos,NOBRE,Emb. 0.12 KG,"2,69€","22,42€ / KG",
Pensos Higiénicos Normal Sem Alas Fina e Segura,EVAX,Emb. 24 UNID.,"2,79€","0,12€ / UNID.",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
ENVELOPE ALMOFADADO 250X350MM,ESQUISSE,Emb. 5 UNID.,"2,59€","0,52€ / UNID.",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
DETERGENTE CAPSULAS 3 EM 1 FLORES P/ROUPA,EPSIL,,"4,99€",/ Unid.,
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Fraldas Recém Nascido T1 Ultra Confort 2/5Kg,MOTS D'ENFANTS,Emb. 23 UNID.,"2,75€","0,12€ / UNID.",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
