Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Ketchup 100% Natural,HELLMANN'S,Emb. 0.486 KG,"3,27€","6,73€ / KG",
Nata para Culinária,PARMALAT,Emb. 0.2 KG,"0,98€","4,90€ / KG",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
DESODORIZANTE SPRAY SEDUCTION MEN 100ML COMPACT,CARRÉ HOMME,Emb. 0.1 LT,"1,29€","12,90€ / LT",
RIMMEL BL_  BATON LASTING FINISH KATE MOSS 005,,Emb. 1 UNID.,"6,74€","6,74€ / UNID.",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Alface Lisa,,1 Unid. = 0.4 KG (aprox.),"2,49€/kg","1,00€ / Unid.",
Preservativo Sensitive,HARMONY,Emb. 6 UNID.,"4,49€","0,75€ / UNID.",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
Bombay Dry Gin Original,BOMBAY,Garrafa 0.7 LT,"15,99€","22,84€ / LT",
Whisky The Famous Grouse,FAMOUS GROUSE,Garrafa 0.7 LT,"16,99€","24,27€ / LT",
DETERGENTE CAPSULAS 3 EM 1 FLORES P/ROUPA,EPSIL,,"4,99€",/ Unid.,
Escova Extra Interdental,AQUAFRESH,Emb. 2 UNID.,"3,16€","1,58€ / UNID.",
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Verniz de Unhas 60 Segundos 430,RIMMEL,Emb. 1 UNID.,"4,99€","4,99€ / UNID.",
Fraldas Recém Nascido T1 Ultra Confort 2/5Kg,MOTS D'ENFANTS,Emb. 23 UNID.,"2,75€","0,12€ / UNID.",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Cápsulas Café Verona P/ Nespresso,STARBUCKS,Emb. 10 CAPS.,"3,79€","0,38€ / CAPS.",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
MARCADORES P/QUADRO BRANCO 4UN,ESQUISSE,Emb. 1 UNID.,"2,29€","2,29€ / UNID.",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
PIZZA MOZZARELLA MERVEILLOSA,TURINI,Emb. 0.335 KG,"1,79€","5,34€ / KG",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Pizza Barbecue,CAMPOFRIO,Emb. 0.41 KG,"3,29€","8,02€ / KG",
Pimento Amarelo,,1 Unid. = 0.21 KG (aprox.),"2,99€/kg","0,63€ / Unid.",
Queijo Mozzarella Ralado Valformoso,VALFORMOSO,Emb. 0.15 KG,"1,49€","9,93€ / KG",
Palhinhas Cartão,HOMESIDE,Emb. 25 UNID.,"1,79€","0,07€ / UNID.",
CHOCOLATE PRETO COM FLOR DE SAL,EQUADOR,Emb. 0.1 KG,"1,19€","11,90€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Chá de Ervas Digestão Fácil,LIPTON,Emb. 20 SAQ.,"1,94€","0,10€ / SAQ.",
Gliss Reparação Total Condicionador Express em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
BACALHAU P/ CALDEIRADA,PÊCHE OCÉAN,Emb. 0.8,"3,99€","4,99€ /",
Cápsulas Café Cappuccino,DOLCE GUSTO,Emb. 16 CAPS.,"5,75€","0,36€ / CAPS.",
Água Tónica Mist,NORDIC,Lata 0.25 LT,"0,74€","2,96€ / LT",
Fraldas Bebé T6 Doucer +16 Kg,MOTS D'ENFANTS,Emb. 58 UNID.,"9,65€","0,17€ / UNID.",
Iogurte Natural,MIMOSA,Emb. 0.48 KG,"1,09€","2,27€ / KG",
Espinafres Ultracongelados,BONDUELLE,Emb. 0.4 KG,"1,69€","4,23€ / KG",
Iogurte Mix-in Nesquik 84% Leite Cereais 2 Unid.,NESTLÉ,Emb. 0.232 KG,"2,09€","9,01€ / KG",
Conserva de Feijão Frade,COMPAL,Lata 0.845 KG,"1,59€","1,88€ / KG",
Ambientador  4 em 1 White Bouquet,AIR WICK,Emb. 0.24 LT,"1,79€","7,46€ / LT",
Refrigerante S/ Gás Laranja 0 Açúcares,AQUARIUS,Emb. 1.5 LT,"1,94€","1,29€ / LT",
Alimento Seco Gato Atum Legumes,PURINA FRISKIES,Emb. 0.4 KG,"1,99€","4,98€ / KG",
Fermento em Pó,ROYAL,Emb. 0.113 KG,"1,81€","16,02€ / KG",
Ovos Solo M,SNR,Emb. 12 UNID.,"2,19€","0,18€ / UNID.",
Bebida de Soja com Baunilha Biológica,,Emb. 1 LT,"1,39€","1,39€ / LT",
Queijo Para Barrar Noz,LES CROISÉS,Emb. 0.125 KG,"1,09€","8,72€ / KG",
Vinho Regional Bairrada Branco,MARQUES DE MARIALVA,Garrafa 0.75 LT,"3,99€","5,32€ / LT",
AUSONIA ORG COTTON SUPER ABAS,AUSONIA,Emb. 10 UNID.,"2,54€","0,25€ / UNID.",
Aroma de Morango Líquido,CONDI,Emb. 0.025 LT,"1,49€","59,60€ / LT",
Bebida Energética Rehab,MONSTER ENERGY,Lata 0.5 LT,"1,20€","2,40€ / LT",
Medalhões Pescada,PÊCHE OCÉAN,Emb. 0.4 KG,"3,29€","8,23€ / KG",
Água sem Gás,MONCHIQUE,Emb. 1.5 LT,"3,29€","2,19€ / LT",
IOGURTE MORANGO/PESSEGO BISNAGA 6UN,DÉLISSE,Emb. 0.54,"2,45€","4,54€ /",
Vitelão para Assar,,1 Unid. = 0.87 KG (aprox.),"7,99€/kg","6,95€ / Unid.",
Barras de Cereais 6 Unid.,FITNESS,Emb. 0.141 KG,"2,33€","16,52€ / KG",
Refeição Legumes Com Vitela,BLÉDINA,Frasco 0.2 KG,"1,99€","9,95€ / KG",
CRAVINHO GRAO SAQUETA,RUSTICA,Emb. 0.03 KG,"1,15€","38,33€ / KG",
Feijão Encarnado Seco,NOTRE JARDIN,Emb. 0.5 KG,"0,99€","1,98€ / KG",
Fraldas Bebé T4+ ACTIV+ 9/20 Kg,MOTS D'ENFANTS,Emb. 37 UNID.,"7,89€","0,21€ / UNID.",
Papa Infantil Bolacha Maria,CERELAC,Emb. 0.25 KG,"1,79€","7,16€ / KG",
Esfregão Regular,BRAVO,Emb. 1 P,"0,94€","0,94€ / P",
Cappuccino Mocha,NESCAFÉ,Emb. 8 SAQ.,"3,09€","0,39€ / SAQ.",
Torta de Morango,P'TIT DÉLI,Emb. 0.3 KG,"1,29€","4,30€ / KG",
Chipicao Mini Croissant Baunilha,CHIPICAO,Emb. 0.08 KG,"1,05€","13,13€ / KG",
Espumante Reserva Doce,FITA AZUL,Garrafa 0.75 LT,"5,69€","7,59€ / LT",
Champô 2em1 Leite Amêndoa Extra Suave,MANAVA,Emb. 0.5 LT,"2,29€","4,58€ / LT",
QUEIJO EMMENTAL RALADO 28%MG,LES CROISÉS,Emb. 0.2 KG,"1,69€","8,45€ / KG",
FITA ADESIVA ISOLANTE ELECTRICOS 5M,ECO+,Emb. 10 UNID.,"2,99€","0,30€ / UNID.",
Cápsulas Café Latte Macchiato P/ Dolce Gusto,STARBUCKS,Emb. 12 CAPS.,"4,64€","0,39€ / CAPS.",
Pensos Higiénicos Fina e Segura Normal,EVAX,Emb. 1 P,"1,89€","1,89€ / P",
CHAMPO SECO TILIA/MACA 150ML,NATEIS,Emb. 0.15,"2,29€","15,27€ /",
SPRAY LIMPA VIDROS 1 L 1L TECH9,TECH9,Emb. 1 LT,"2,99€","2,99€ / LT",
Bolachas Maria Doces,VIEIRA,Emb. 0.3 KG,"2,38€","7,93€ / KG",
Leite Hidratante Apaziguante Aveia,ULTRA SUAVE,Emb. 0.4 LT,"5,20€","13,00€ / LT",
MISTURA PARA PASSAROS,ECO+,Emb. 3 KG,"3,99€","1,33€ / KG",
Leite Condensado Cozido,DÉLISSE,Emb. 0.397 KG,"1,39€","3,50€ / KG",
Sacos do Lixo 50 Litros,ELEMBAL,Emb. 15 UNID.,"2,19€","0,15€ / UNID.",
Filetes de Sardinha com Tomate e Legumes,PÊCHE OCÉAN,Emb. 0.1 KG,"1,39€","13,90€ / KG",
Champô Anti-Caspa Cool Sport Mentol para Todos os Tipos de Cabelo,LINIC,Emb. 0.36 LT,"4,94€","13,72€ / LT",
Barras Hero Muesly De Cereais Chocolate Negro 6x23g,HERO,Emb. 0.138,"1,79€","12,97€ /",
Bloco Sanitário Power 5 Blue Water Ocean,DOMESTOS,Emb. 0.106 KG,"2,74€","25,85€ / KG",
Queijo Le Brie,PRÉSIDENT,Emb. 0.2 KG,"3,69€","18,45€ / KG",
Bloco Sanitário Água Turquesa Activa de Limão,DOMESTOS,Emb. 0.053 KG,"2,09€","39,43€ / KG",
Manteiga sem Sal,LES CROISÉS,Emb. 0.25 KG,"2,35€","9,40€ / KG",
Pantene Frizz Control & Luminosidade Champô 250 ml,PANTENE PV,Emb. 0.25 LT,"4,29€","17,16€ / LT",
Creme Depilatório Silk & Fresh,VEET,Emb. 0.2 LT,"6,64€","33,20€ / LT",
Bebida Solúvel de Cereais C/ Café,MOKAMBO,Emb. 0.2 KG,"4,31€","21,55€ / KG",
Champô 2em1 P/ Cabelos Muito Secas Extra Suave,MANAVA,Emb. 0.5 LT,"2,29€","4,58€ / LT",
Sumo Ananás abc 6 Unid.,JAFADEN,Emb. 1.2 LT,"1,49€","1,24€ / LT",
Dentífrico Anti-Tártaro +Blanqueador,COLGATE,Emb. 0.075 LT,"2,19€","29,20€ / LT",
Snack Húmido P/ Gato Party Mix Cheezy Mix,FELIX,Emb. 0.06 KG,"1,75€","29,17€ / KG",
Leite Bem Especial Crescimento a partir de 3 anos,MIMOSA,Emb. 1 LT,"1,69€","1,69€ / LT",
Ambientador Difusor Essential Mist Lavanda,AIR WICK,Emb. 1 UNID.,"13,19€","13,19€ / UNID.",
Pães com Recheio a Chocolate,EPI D'OR,Emb. 1 P,"1,99€","1,99€ / P",
Pão sem Côdea Especial Torradas,PANRICO,Emb. 0.51 KG,"2,58€","5,06€ / KG",
Café Torrado África Ásia e Brasil Moagem Grão,SICAL,Emb. 0.25 KG,"2,39€","9,56€ / KG",
Paté para cão de Frango e Carne,TOUS MES AMIS,Emb. 0.3 KG,"0,79€","2,63€ / KG",
Fraldas Incontinência Máxima G,LINDOR,Emb. 46 UNID.,"25,69€","0,56€ / UNID.",
Pizza Carbonara,CAMPOFRIO,Emb. 0.36 KG,"3,29€","9,14€ / KG",
Iogurte Líquido de Manga e Papaia 4 Unid.,ACTIVIA,Emb. 0.62 KG,"1,99€","3,21€ / KG",
RIMMEL BL_  BATON LASTING FINISH KATE MOSS 008,,Emb. 1 UNID.,"6,99€","6,99€ / UNID.",
Lixívia Tradicional 4 L,NEOBLANC,Emb. 4 LT,"2,84€","0,71€ / LT",
Xau Limpa Máquinas Limão 250ml,XAU,Emb. 0.25 LT,"3,99€","15,96€ / LT",
Bolachas Barquettes com Recheio de Morango,P'TIT DÉLI,Emb. 0.12 KG,"1,08€","9,00€ / KG",
Sobremesa Creme Chocolate Mix 'n Croc,DÉLISSE,Emb. 0.468 KG,"1,95€","4,17€ / KG",
Sumo de Romã 100% Bio,,Emb. 1 LT,"3,99€","3,99€ / LT",
ESPUMA CABELO EFEITO VOLUME 200ML,VITANOVE,Emb. 0.2 LT,"1,09€","5,45€ / LT",
LAVA TUDO FLORAL,CLAIR,Emb. 2 UNID.,"0,89€","0,45€ / UNID.",
Vinho Tinto Regional Alentejano,COMP DO VINHO,Emb. 3 LT,"6,49€","2,16€ / LT",
Conserva Cogumelos Laminados,NOTRE JARDIN,Lata 0.185 KG,"0,65€","3,51€ / KG",
CREME VEGETAL P/ CULINARIA,,Emb. 0.25 KG,"0,79€","3,16€ / KG",
Água com Gás Pet 6x33 cl,PEDRAS SALGADAS,Emb. 1.98 LT,"2,77€","1,40€ / LT",
TIRAS FRANGO PANADO,CÔTÉ CROC,Emb. 0.6 KG,"6,99€","11,65€ / KG",
PIRIPIRI VAGEM,RUSTICA,Emb. 0.015 KG,"0,59€","39,33€ / KG",
Néctar Essencial Frutos Vermelhos 3x110ml,COMPAL,Emb. 0.33 LT,"1,79€","5,42€ / LT",
Bolachas Digestivas,MCVITIES,Emb. 0.4 KG,"1,89€","4,73€ / KG",
Vinho Regional Alentejo Branco,REAL LAVRADOR,Garrafa 0.75 LT,"2,25€","3,00€ / LT",
Arroz Agulha,,Emb. 1 KG,"1,09€","1,09€ / KG",
Arroz Carolino,SALUDÃES,Emb. 1 KG,"1,13€","1,13€ / KG",
BACON EXTRA FATIADO,CAMPO FINO,Emb. 0.15 KG,"1,34€","8,93€ / KG",
Pimenta Branca Moída,MARGÃO,Emb. 0.04 KG,"2,29€","57,25€ / KG",
Tostas de Trigo 36Unid.,EPI D'OR,Emb. 0.3 KG,"1,29€","4,30€ / KG",
Café Torrado Moído Intensidade 10,BUONDI,Emb. 0.22 KG,"3,49€","15,86€ / KG",
MOLHO CARIL DE LEGUMES C/LEITE COCO,RUSTICA,Emb. 0.4 KG,"1,25€","3,13€ / KG",
Ambientador recarga cool mist zen lavanda,GLADE,Emb. 0.017 LT,"4,79€","281,76€ / LT",
SACOS LIXO ENTULHO 50L 5UN,ELEMBAL,Emb. 5 UNID.,"1,99€","0,40€ / UNID.",
Caldo de Carne,KNORR,Emb. 24 CUBOS,"2,39€","0,10€ / CUBOS",
COBERTURA TABUA DE ENGOMAR 122x45,ECO+,Emb. 1 UNID.,"2,94€","2,94€ / UNID.",
Queijo Fundido Palitos 4x140g,A VACA QUE RI,Emb. 0.14 KG,"2,25€","16,07€ / KG",
ESPINAFRE PICADO 1/2,NOTRE JARDIN,Emb. 0.4 KG,"0,99€","2,48€ / KG",
Vinho Verde Tinto,MONÇÃO,Garrafa 0.75 LT,"1,99€","2,65€ / LT",
