Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Bebida de Soja 0%,SHOYCE,Emb. 1 LT,"1,69€","1,69€ / LT",
Creme Flamengo,PRÉSIDENT,Emb. 0.125 KG,"2,44€","19,52€ / KG",
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
Snack Fruut Maça Vermelha Doce Sem Açúcar 60g,,Emb. 0.06 KG,"1,48€","24,67€ / KG",
Pão Integral,,1 Unid. = 0.4 KG,"3,99€","9,98€ / KG",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Vinho Rosé Lancers,LANCERS,Garrafa 0.75 LT,"2,69€","3,59€ / LT",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
Mortadela com Azeitonas,ELPOZO,1 Unid. = 0.1 KG (aprox.),"5,99€/kg","0,60€ / Unid.",
Vinho de Mesa Tinto,CASAL DA EIRA,Emb. 0.25 LT,"0,68€","2,72€ / LT",
Vinho Regional Alentejo Tinto,PORTAS DA HERDADE,Garrafa 0.75 LT,"3,38€","4,51€ / LT",
Caixa Hermética Quadrada 23cm,,1 UNID.,"4,99€","4,99€ / UNID.",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Ervilhas Ultracongelado,PESCANOVA,Emb. 1 KG,"1,99€","1,99€ / KG",
Café Solúvel Alta Rica Intenso,NESCAFÉ,Emb. 0.1 KG,"6,38€","63,80€ / KG",
Aerossol Air Japan Tatami,AMBIPUR,Emb. 0.3 LT,"3,98€","13,27€ / LT",
Mini Gelados Double Caramelo Pack 6,MAGNUM,Emb. 0.36 LT,"5,98€","16,61€ / LT",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Chipicao Mini Croissant Baunilha,CHIPICAO,Emb. 0.08 KG,"1,14€","14,25€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
Alimento Seco P/ Gatos Esterilizados Salmão,PURINA FRISKIES,Emb. 1.5 KG,"6,98€","4,65€ / KG",
Rum Spice Gold,CAPTAIN MORGAN,Garrafa 0.7 LT,"14,98€","21,40€ / LT",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Melão Verde,,1 Unid. = 2.8 KG (aprox.),"1,19€/kg","3,33€ / Unid.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Luvas Domésticas Duplex Tamanho M,RENOVA LUVAS,Emb. 1 UNID.,"1,08€","1,08€ / UNID.",
Balde de Lixo 44L Prateado,,1 UNID.,"16,99€","16,99€ / UNID.",
Pantene Purifica & Reconstrói Máscara 160 ml,,Emb. 0.16 LT,"5,98€","37,38€ / LT",
Pimento Amarelo,,1 Unid. = 0.21 KG (aprox.),"2,99€/kg","0,63€ / Unid.",
Vinho Branco Adamado,FAISÃO,Garrafa 1 LT,"2,18€","2,18€ / LT",
Copo de Pé 24cl,EQUIP HOME,1 UNID.,"1,10€","1,10€ / UNID.",
Queijo Mozzarella Ralado Valformoso,VALFORMOSO,Emb. 0.15 KG,"1,49€","9,93€ / KG",
CHOCOLATE PRETO COM FLOR DE SAL,EQUADOR,Emb. 0.1 KG,"1,19€","11,90€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Rebuçados sem Açúcar Sabor Morango 4x32g,HALLS,Emb. 0.128 KG,"2,98€","23,28€ / KG",
Iogurte Líquido Tutti Frutti 4x155g,DANONE,Emb. 0.62 KG,"1,39€","2,24€ / KG",
Chá de Ervas Digestão Fácil,LIPTON,Emb. 20 SAQ.,"1,94€","0,10€ / SAQ.",
Gliss Reparação Total Condicionador Express em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
Conjunto 6 Mini Taças Redondas 8cl,ARDENCE,1 UNID.,"2,99€","2,99€ / UNID.",
Água Tónica Mist,NORDIC,Lata 0.25 LT,"0,74€","2,96€ / LT",
Toalhitas Limpa Pó Electrostáticas,,Emb. 40 UNID.,"2,25€","0,06€ / UNID.",
Recarga para Difusor Elétrico Japan Tatami,AMBIPUR,Emb. 1 UNID.,"4,99€","4,99€ / UNID.",
Bolachas Cookies Pepitas de Chocolate,CHIPS AHOY,Emb. 0.128 KG,"1,88€","14,69€ / KG",
Iogurte Natural,MIMOSA,Emb. 0.48 KG,"1,09€","2,27€ / KG",
Espumante Reserva Meio Seco,MURGANHEIRA,Garrafa 0.75 LT,"11,78€","15,71€ / LT",
Miolo Camarão Grande Cozido 40/60 Ultracongelado,PESCANOVA,Emb. 0.2 KG,"8,98€","44,90€ / KG",
Iogurte Mix-in Nesquik 84% Leite Cereais 2 Unid.,NESTLÉ,Emb. 0.232 KG,"2,09€","9,01€ / KG",
Pano Microfibra,VILEDA,Emb. 2 UNID.,"3,98€","1,99€ / UNID.",
Conserva de Feijão Frade,COMPAL,Lata 0.845 KG,"1,59€","1,88€ / KG",
Vinho Rosé,FAISÃO,Emb. 1 LT,"2,18€","2,18€ / LT",
Xarope de Morango Bio,,Emb. 0.6 LT,"4,91€","8,18€ / LT",
Creme Hidratante com Água Floral de Rosa,GARNIER,Emb. 0.05 LT,"5,98€","119,60€ / LT",
Descascador Éplucheur,ARDENCE,1 UNID.,"2,49€","2,49€ / UNID.",
Bebida de Soja com Baunilha Biológica,,Emb. 1 LT,"1,39€","1,39€ / LT",
Queijo Para Barrar Noz,LES CROISÉS,Emb. 0.125 KG,"1,09€","8,72€ / KG",
Vinho Regional Bairrada Branco,MARQUES DE MARIALVA,Garrafa 0.75 LT,"3,99€","5,32€ / LT",
