Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Vinho Tinto,ADEGA DE MURÇA,Garrafa 0.75 LT,"1,99€","2,65€ / LT",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Pimenta Branca Moída,MARGÃO,Emb. 0.04 KG,"2,39€","59,75€ / KG",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Massa Bago,MILANEZA,Emb. 0.25 KG,"0,85€","3,40€ / KG",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
Pensos Higiénicos Normal Sem Alas Fina e Segura,EVAX,Emb. 24 UNID.,"2,79€","0,12€ / UNID.",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
Chá Frio Lipton Limão E Camomila 15 Saq,LIPTON,,"3,29€",/ Unid.,
Queijo Fresco de Cabra,SANTIAGO,Emb. 0.1 KG,"1,49€","14,90€ / KG",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
Bife chã de Fora de Novilho,,1 Unid. = 0.5 KG (aprox.),"9,99€/kg","5,00€ / Unid.",
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Fraldas Recém Nascido T1 Ultra Confort 2/5Kg,MOTS D'ENFANTS,Emb. 23 UNID.,"2,75€","0,12€ / UNID.",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
MARCADORES P/QUADRO BRANCO 4UN,ESQUISSE,Emb. 1 UNID.,"2,29€","2,29€ / UNID.",
ANDOUILLETTE COM ERVAS 3UN,TRADILÈGE,Emb. 0.42 KG,"4,55€","10,83€ / KG",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Melão Verde,,1 Unid. = 2.8 KG (aprox.),"1,19€/kg","3,33€ / Unid.",
Cápsulas Café Espresso Intenso Intensidade 7,DOLCE GUSTO,Emb. 30 CAPS.,"10,49€","0,35€ / CAPS.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
PIZZA MOZZARELLA MERVEILLOSA,TURINI,Emb. 0.335 KG,"1,79€","5,34€ / KG",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Laca Cabelo Diamond Gloss Care 4,NIVEA,Spray 0.25 LT,"4,19€","16,76€ / LT",
Queijo Mozzarella Ralado Valformoso,VALFORMOSO,Emb. 0.15 KG,"1,49€","9,93€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Paloco Desfiado,,Emb. 0.4 KG,"4,49€","11,23€ / KG",
Sabonete Líquido Leite e Mel Recarga,PALMOLIVE,Emb. 0.3 LT,"2,99€","9,97€ / LT",
Iogurte Líquido Tutti Frutti 4x155g,DANONE,Emb. 0.62 KG,"1,39€","2,24€ / KG",
Chá de Ervas Digestão Fácil,LIPTON,Emb. 20 SAQ.,"1,94€","0,10€ / SAQ.",
GELADO BAUNILHA / CARAMELO,ESKISS,Emb. 1 LT,"2,49€","2,49€ / LT",
Gliss Reparação Total Condicionador Express em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
BACALHAU P/ CALDEIRADA,PÊCHE OCÉAN,Emb. 0.8,"3,99€","4,99€ /",
Toalhitas Limpa Pó Electrostáticas,,Emb. 40 UNID.,"2,25€","0,06€ / UNID.",
Cenourinhas Extra Finas,NOTRE JARDIN,Emb. 0.4 KG,"1,09€","2,73€ / KG",
Cápsula e pastilha de café DGC ESPRESSO CREMOSO 16UN,LAVAZZA,Emb. 16 UNID.,"4,49€","0,28€ / UNID.",
Fraldas Bebé T6 Doucer +16 Kg,MOTS D'ENFANTS,Emb. 58 UNID.,"9,65€","0,17€ / UNID.",
Iogurte Natural,MIMOSA,Emb. 0.48 KG,"1,09€","2,27€ / KG",
Iogurte Mix-in Nesquik 84% Leite Cereais 2 Unid.,NESTLÉ,Emb. 0.232 KG,"2,09€","9,01€ / KG",
Piano Reserva 2016 Douro Branco,PIANO,Emb. 0.75 LT,"6,49€","8,65€ / LT",
