Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Ameixa Amarela Cal. 45/55,,1 Unid. = 0.09 KG (aprox.),"2,99€/kg","0,27€ / Unid.",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
"BOLACHAS ""GENOISE"" MORANGO",P'TIT DÉLI,Emb. 0.15 KG,"1,19€","7,93€ / KG",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
Vinho de Mesa Tinto,CASAL DA EIRA,Emb. 0.25 LT,"0,68€","2,72€ / LT",
Bife chã de Fora de Novilho,,1 Unid. = 0.5 KG (aprox.),"9,99€/kg","5,00€ / Unid.",
DETERGENTE CAPSULAS 3 EM 1 FLORES P/ROUPA,EPSIL,,"4,99€",/ Unid.,
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Café Solúvel Alta Rica Intenso,NESCAFÉ,Emb. 0.1 KG,"6,38€","63,80€ / KG",
Fraldas Recém Nascido T1 Ultra Confort 2/5Kg,MOTS D'ENFANTS,Emb. 23 UNID.,"2,75€","0,12€ / UNID.",
Gel De Banho Suave 500 Ml + 250 Ml Grátis,CORINE DE FARME,Emb. 0.75 LT,"4,84€","6,45€ / LT",
Mini Gelados Double Caramelo Pack 6,MAGNUM,Emb. 0.36 LT,"5,98€","16,61€ / LT",
Iogurte Líquido Lima Limão 4x155g,DANONE,Emb. 0.62 KG,"1,69€","2,73€ / KG",
Chipicao Mini Croissant Baunilha,CHIPICAO,Emb. 0.08 KG,"1,14€","14,25€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
Alimento Seco P/ Gatos Esterilizados Salmão,PURINA FRISKIES,Emb. 1.5 KG,"6,98€","4,65€ / KG",
MARCADORES P/QUADRO BRANCO 4UN,ESQUISSE,Emb. 1 UNID.,"2,29€","2,29€ / UNID.",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Melão Verde,,1 Unid. = 2.8 KG (aprox.),"1,19€/kg","3,33€ / Unid.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
PIZZA MOZZARELLA MERVEILLOSA,TURINI,Emb. 0.335 KG,"1,79€","5,34€ / KG",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Luvas Domésticas Duplex Tamanho M,RENOVA LUVAS,Emb. 1 UNID.,"1,08€","1,08€ / UNID.",
Alimento Seco Cão Active Completo,PURINA FRISKIES,Emb. 4 KG,"12,78€","3,20€ / KG",
CHOCOLATE PRETO COM FLOR DE SAL,EQUADOR,Emb. 0.1 KG,"1,19€","11,90€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
Leite Condensado,NESTLÉ,Lata 0.37 KG,"1,49€","4,03€ / KG",
Paloco Desfiado,,Emb. 0.4 KG,"4,49€","11,23€ / KG",
Rebuçados sem Açúcar Sabor Morango 4x32g,HALLS,Emb. 0.128 KG,"2,98€","23,28€ / KG",
