Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Cápsulas Café Alumínio Nespresso Intenso,SEGAFREDO,Emb. 10 UN,"4,97€","0,50€ / UN",
Alimento Húmido P/ Gato Salmão Atum Legumes,PURINA FRISKIES,Emb. 0.4 KG,"1,18€","2,95€ / KG",
Escova de Dentes,AQUAFRESH,Emb. 1 UNID.,"1,89€","1,89€ / UNID.",
Óleo Intense 5-10 Castanho Claro,SYOSS,,"6,24€",/ Unid.,
Galinha Inteira,,1 Unid. = 1.2 KG (aprox.),"1,99€/kg","2,39€ / Unid.",
Detergente para a Máquina da Roupa Cores 3 em 1,SKIP,Emb. 1.134 KG,"12,49€","11,01€ / KG",
Gel Banho Aveia,MANAVA,Emb. 0.75 LT,"1,79€","2,39€ / LT",
Vinho Frutado Tinto,SALVE,Garrafa 0.75 LT,"1,29€","1,72€ / LT",
Guardanapos 2 Folhas 33x33 cm,RENOVA,Emb. 90 UNID.,"1,45€","0,02€ / UNID.",
Queijo Fresco de Cabra,SANTIAGO,Emb. 0.1 KG,"1,49€","14,90€ / KG",
Compota de Maçã Morango Biológica 4x100g,,Emb. 0.4 KG,"1,99€","4,98€ / KG",
DETERGENTE CAPSULAS 3 EM 1 FLORES P/ROUPA,EPSIL,,"4,99€",/ Unid.,
CHAMPO FORTIFICANTE CABELOS NORMAIS 250ML,CARRÉ HOMME,Emb. 0.25 LT,"1,49€","5,96€ / LT",
CAFE INTENSO 48 PASTILHAS,ECO+,Emb. 0.336 KG,"3,49€","10,39€ / KG",
Perna de Pau Original 6 Unid.,OLÁ,Emb. 0.3 KG,"2,49€","8,30€ / KG",
Loção Íntima Sensitive Dystron,DYSTRON,Emb. 0.2 LT,"4,99€","24,95€ / LT",
Gel De Banho Suave 500 Ml + 250 Ml Grátis,CORINE DE FARME,Emb. 0.75 LT,"4,84€","6,45€ / LT",
Massa Linguine C/ Tinta de Choco,MILANEZA,Emb. 0.5 KG,"2,98€","5,96€ / KG",
Alimento Seco Gatos Croquetes Fígado e Legumes,TOUS MES AMIS,Emb. 4 KG,"5,89€","1,47€ / KG",
MARCADORES P/QUADRO BRANCO 4UN,ESQUISSE,Emb. 1 UNID.,"2,29€","2,29€ / UNID.",
Alimento Seco Cão Vitafit Balance Frango e Legumes,PURINA FRISKIES,Emb. 4 KG,"8,90€","2,23€ / KG",
Alimento Seco P/  Gato Júnior Frango e Leite,PURINA FRISKIES,Emb. 1.5 KG,"6,95€","4,63€ / KG",
Toalhitas para Bebé Natural Care,HUGGIES,Emb. 56 UNID.,"1,29€","0,02€ / UNID.",
Amaciador Concentrado Aromaterapia Dourado,VERNEL,Emb. 57 DOSES,"3,29€","0,06€ / DOSES",
PIZZA MOZZARELLA MERVEILLOSA,TURINI,Emb. 0.335 KG,"1,79€","5,34€ / KG",
Champô Cabelo Ultra Suave Delicadeza de Aveia,GARNIER,Emb. 0.4 LT,"5,59€","13,98€ / LT",
Vinagre Vinho Tinto,GALLO,Garrafa 0.25 LT,"1,09€","4,36€ / LT",
Johnson's Baby Champô Penteia Fácil,JOHNSON'S BABY,Emb. 0.5 LT,"5,98€","11,96€ / LT",
Grelos de Nabo,,1 Unid. = 0.95 KG (aprox.),"2,09€/kg","1,99€ / Unid.",
Creme Hidratante com Água Floral de Rosa,GARNIER,Emb. 0.05 LT,"5,81€","116,20€ / LT",
Verniz de Unhas 60 Segundos 430,RIMMEL,Emb. 1 UNID.,"5,30€","5,30€ / UNID.",
Alimento Seco Cão Active Completo,PURINA FRISKIES,Emb. 4 KG,"12,78€","3,20€ / KG",
Palhinhas Cartão,HOMESIDE,Emb. 25 UNID.,"1,79€","0,07€ / UNID.",
CHOCOLATE PRETO COM FLOR DE SAL,EQUADOR,Emb. 0.1 KG,"1,19€","11,90€ / KG",
PILHAS ALC.LR6X4 CLARTECH,FOXTER,Emb. 4 UNID.,"1,27€","0,32€ / UNID.",
