Nome,Marca,Unidade,Preço Primário,Preço Secundário
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Chourição,Salsicharia Limiana,1 un = 100 gr (aprox.),"1,35 €","16,88 €/Kg"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Cenoura Granel,Legumes do Dia,1 un = 100 gr (aprox.),"0,10 €","0,95 €/Kg"
Coentros,Vitacress,embalagem de 40 g,"1,19 €","39,67 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Salsichão fuet nobreza,Elpozo,Embalagem de 200 g,"1,35 €","16,88 €/Kg"
Chocolate negro l'atelier com avelãs,Nestle,195 g,"16,67 €/Kg","16,67 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Vinho regional lisboa tinto reserva,Critterium,Garrafa de 0.75 l,"3,99 €","5,32 €/L"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Filetes de cavala em azeite virgem extra,Bom Petisco,Embalagem de 120g,"0,89 €","7,42 €/Kg"
Compasso Origin 3 peças,Maped,Uma embalagem,"4,79 €","4,79 €/Unidade"
Queijo Comté Le Montarlier,President,Embalagem de 225 g,"1,49 €","7,45 €/Kg"
30 cápsulas super rendimento,PLANTANATU,Embalagem de 1 unidades,"9,69 €","9,69 €/Unidade"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Collant opac microfibra preto 60D,PorSi,Tamanho: xl,"1,89 €/Unidade","1,89 €/Unidade"
Vinho tinto cotes du rhone,Expert Club,Garrafa de 75 cl,"6,89 €","9,19 €/L"
"Espuma de cabelo, volume absoluto",Pantene,Embalagem de 200 ml,"4,39 €","58,53 €/L"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
"Creme Hidratante de Dia, pele normal",Bioten,Embalagem de 50 ml,"2,99 €","59,80 €/L"
Chá de menta e eucalipto,Lipton,20 saquetas,"44,50 €/Kg","44,50 €/Kg"
Gelatina zero % pêssego,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Wafers framboesa barras,Vieira,Embalagem de 150g,"0,98 €","4,67 €/Kg"
Mistura solúvel tofina despertar,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Álcool canforado 85%,PorSi,Embalagem de 250 ml,"1,69 €","1,69 €/Unidade"
Chourico vinho das beiras,PorSi,Embalagem de 280g,"1,22 €","6,78 €/Kg"
"Gel cabelo, hard cement",Fru style,Embalagem de 200 ml,"4,39 €","58,53 €/L"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Queijo brie cunhas 60%,President,Embalagem de 200 g,"1,49 €","7,45 €/Kg"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Gel Intimo,PorSi,Embalagem de 250 ml,"1,99 €","7,96 €/L"
Vinho do porto tawny,Cruz,"Garrafa de 0,75 l","16,99 €","22,65 €/L"
Vinho regional tejo 3 castas tinto,Fiuza,Garrafa de 750 ml,"3,99 €","5,32 €/L"
Lata de Brilho Preto,Búfalo,Embalagem de 75 ml,"0,99 €","19,80 €/L"
Cobertura de tartes,Vahine,Embalagem de 20g,"1,65 €","20,12 €/Kg"
Leite uht magro com rosca,PorSi,1 litro,"0,81 €","0,81 €/L"
Leite creme,Royal,Embalagem de 90g,"2,99 €","6,64 €/Kg"
Molho iogurte,PorSi,Garrafa de 285 ml,"0,70 €","2,33 €/Kg"
Patê figado de porco,La piara,Embalagem de 80g,"1,19 €","13,52 €/Kg"
Limpa fornos,PorSi,500 ml,"1,29 €","1,72 €/L"
Toucinho fumado extra,PorSi,Embalagem de 200 g,"1,99 €","9,95 €/Kg"
Choco limpo 10/30,Pescanova,Embalagem de 500g,"5,49 €","6,86 €/Kg"
Atum filete azeite biológico,Tenorio,Embalagem de 120g,"0,89 €","7,42 €/Kg"
Iogurte oikos natural,Danone,Embalagem de 4 x 110g,"1,49 €","2,98 €/Kg"
Gelatina de morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Vinho DOC Trás-os-Montes Tinto,Terras de Mogadouro,750 ml,"7,49 €","9,99 €/L"
Bombons Caja Roja,Nestlé,Embalagem 400 g,"2,39 €","47,80 €/Kg"
Anti-traça Maçã Verde,Dum Dum,2 unidades,"5,99 €","176,18 €/Kg"
Ovos | Classe: M,Ovitae,24 unidades,"1,39 €","1,39 €/Unidade"
Mortadela de peru fatiada,PorSi,Embalagem de 200g,"1,05 €","6,99 €/Kg"
Queijo feta dop grego,Kolios,Embalagem de 200g,"7,45 €/Kg","7,45 €/Kg"
Queijo flamengo em fatias,Terra Nostra,Embalagem de 200g,"1,56 €","7,80 €/Kg"
Snack de milho com queijo,Cheetos,Embalagem de 75 g,"0,79 €","7,90 €/Kg"
Limpa injetores gasolina,PorSi,Embalagem de 250 ml,"14,99 €","14,99 €/L"
Folhado de Chocolate 60 g,PorSi,,"0,69 €","0,69 €/Unidade"
Profiteroles de nata,PorSi Select,Embalagem de 330 g,"2,49 €","7,55 €/Kg"
Refrigerante c/ gás zero s/ cafeína,Coca-Cola,pack 6 x 0.33 l,"0,40 €/L","0,40 €/L"
Crackers c/ sal superficie,GRAN PAVES,Embalagem de 250g,"0,39 €","3,12 €/Kg"
8 fantasias do mar,PorSi,Embalagem de 250g,"1,79 €","7,16 €/Kg"
12 Caldos de carne,PorSi,Embalagem de 127 g,"3,84 €","24,00 €/Kg"
Queijo Ralado Mozzarella,Galbani,Embalagem de 150 g,"7,45 €/Kg","7,45 €/Kg"
Pastilhas bubblicious,Bubbliciou,Embalagem de 70g,"1,29 €","18,43 €/Kg"
Queijo ilha ralado,Valformoso,Embalagem de 150g,"7,45 €/Kg","7,45 €/Kg"
Couve flor,PorSi,Embalagem de 750 kg,"1,89 €","1,89 €/Kg"
Mix cogumelos para carne,*,200 g,"1,00 €","4,99 €/Kg"
Iogurte mix-in smarties morango,Nestle,Embalagem de 2 x 128 g,"1,05 €","1,86 €/L"
Vegalia especialidade vegetariana de soja,Nobre,Lata com 8 unidades,"2,09 €","8,36 €/Kg"
Bolacha de manteiga belga original,Saborosa,Embalagem de 220g,"1,69 €","6,76 €/Kg"
Gelatina melancia 10kcal 31g,Royal,Embalagem de 30g,"0,55 €","61,11 €/Kg"
Bolachas Biscoff,Lotus,Embalagem de 250g,"1,69 €","6,76 €/Kg"
Lambrusco rose,*,Garrafa de 750 ml,"1,99 €","2,65 €/L"
Esterilizador 2 em 1 - Frio e Microondas,Neo Baby,1 unidade,"16,99 €","16,99 €/Unidade"
Leite uht sem lactose magro,PorSi Viva Bem,1 litro,"2,19 €","2,19 €/L"
Recargas ambientador elétrico sensual sandalwood & j...,Glade,Embalagem de 2 x 20 ml,"11,98 €","11,98 €/Unidade"
Vinagre de vinho tinto,PorSi,Garrafa de 500 ml,"0,35 €","0,70 €/L"
Anéis Empilháveis,Baby Clementoni,1 unidade,"12,99 €/Unidade","12,99 €/Unidade"
Gel WC Desincustrante,Neoblanc,Embalagem de 700 ml,"2,79 €","3,99 €/L"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,96 €","5,96 €/L"
Toalhitas multiusos limão,PorSi,Embalagem de 80 unidades,"1,79 €","1,79 €/Unidade"
Tomate frito,Heinz,Embalagem de 350g,"3,84 €","24,00 €/Kg"
Creme abrasivo pink flowers,Cif,Garrafa de 700 ml,"0,99 €","1,32 €/L"
"Pimenta preta, moída, em frasco",PorSi,Embalagem de 43 g,"0,25 €","0,25 €/Kg"
Bolacha filipinos chocolate de leite,Artiach,Embalagem de 140g,"0,79 €","5,27 €/Kg"
Camarão Tigre 20/30 Congelado,Nossa seleção,,"2,00 €","7,99 €/Kg"
Fatias vegetarianas c/ ervas mediterrâneas,Nobre,Embalagem de 100g,"3,35 €","22,33 €/Kg"
Robalo de Viveiro,Programa Origens,1 un= 400 gr (aprox.),"4,80 €","11,99 €/Kg"
Redex magic spray,Redex,Embalagem de 300 ml,"3,99 €","0,80 €/L"
Condicionador cabelos loiros,Ultra Suave,Embalagem de 200 ml,"1,59 €","7,95 €/L"
Vinagre de sidra,Cristal,Garrafa de 500 ml,"0,35 €","0,70 €/L"
Fita corretora mini pocket mouse,Tipp-Ex/Bic,embalagem com 2 unid. + 1 unid. grátis,"2,79 €","2,79 €/Unidade"
Longa vida morango tu banana coco 8x120,Longa vida,Embalagem de 960g,"1,87 €","1,25 €/Kg"
Água com gás,Castello,24 x 25 cl,"2,85 €","2,85 €/L"
Alimento húmido para cão borrego,Pedigree,Embalagem de 300g,"0,75 €","2,50 €/Kg"
Achocolatado em Pó,Suchard,Embalagem de 500g,"5,39 €","7,19 €/Kg"
Bolachas com cobertura de chocolate de leite,Oreo,Embalagem de 250g,"0,79 €","4,49 €/Kg"
Nutella,Nutella,Embalagem de 700g,"4,29 €","12,62 €/Kg"
Infusão de camomila,Tetley,Embalagem de 10g,"85,00 €/Kg","85,00 €/Kg"
Refrigerante c/ gás ananás,Sumol,pack 4 x 1.25 l,"0,40 €/L","0,40 €/L"
Limpa carpetes,PorSi,Embalagem de 1 litro,"1,79 €","2,39 €/L"
Noodle banzai galinha,Cigala,Embalagem de 70g,"0,89 €","1,78 €/Kg"
Puzzle Canal Panda,Olivo,60 peças,"34,99 €","34,99 €/Unidade"
Peito de frango fatias finas,Nobre,Embalagem de 110g,"2,25 €","11,25 €/Kg"
Topping de morango,Winsenia,Embalagem de 300g,"1,29 €","3,23 €/Kg"
Cerveja sagres,Sagres,20 x 0.25 l,"1,99 €/L","1,99 €/L"
"Vinho Alentejo, Private Collection, Tinto",Selecção de Enófilos,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Chá preto,Tetley,Embalagem de 30g,"41,67 €/Kg","41,67 €/Kg"
Caldo verde sem batata,PorSi Viva Bem,Embalagem de 400 g,"1,99 €","2,49 €/Kg"
Meloa Canteloupe,Fruta do Dia,1un=800 g (aprox.),"1,00 €","3,99 €/Kg"
Empadão de carne,PorSi,Embalagem de 1 kg,"3,53 €","8,83 €/Kg"
Mel em frasco de vidro,PorSi,Embalagem de 250g,"4,89 €","9,78 €/Kg"
Pizza casa di mama salame 380g,Dr. Oetker,Embalagem de 390g,"2,16 €","6,17 €/Kg"
Creme para calçado castanho,PorSi,50 ml,"0,99 €","19,80 €/L"
28 mini bolinhas bacalhau,PorSi,Embalagem de 300 g,"1,79 €","7,16 €/Kg"
"Pasta dentífrica, dentes/gensivas sensitive",Labell,Embalagem de 75 ml,"2,55 €","34,00 €/L"
Quad racy pink 6v,Feber,1 un.,"99,99 €/Unidade","99,99 €/Unidade"
Pedras limão,P.salgadas,Garrafa de 1 l,"2,85 €","2,85 €/L"
Cadeira Auto Cosmo Grupo 0/1/2,Nania,unidade,"42,99 €","42,99 €/Unidade"
Máquina Depilatória Descartável Twin Lady,Bic,Embalagem com 10 un.,"5,49 €","5,49 €/Unidade"
The famous grouse ruby cask 700ml/1,F.grouse,Garrafa de 700 ml,"11,49 €","16,41 €/L"
Flocos de aveia finos bio 400g,Seara,Embalagem de 400g,"0,69 €","1,73 €/Kg"
Gomas brilho,PorSi,Embalagem de 300 g,"1,19 €","3,97 €/Kg"
10 nuggets de frango com cereais integrais,Capitão Iglo,Embalagem de 208 g,"2,79 €","8,72 €/Kg"
Iogurte naturea natural,PorSi,Embalagem de 4 x 125 g,"0,65 €","1,30 €/Kg"
"Alimento para peixe, animin goldfish food",Tetra,Garrafa de 250 ml,"11,49 €","45,96 €/L"
Vinho tinto doc douro,VILA REAL,Garrafa de 750 ml,"7,49 €","9,99 €/L"
Moscatel de setúbal,Dom Campos,Garrafa de 750 ml,"5,99 €","7,99 €/L"
Guardanapos brancos 30x30 cm,PorSi,Embalagem com 100 unidades,"1,29 €","1,29 €/Unidade"
"Queijo light, 16 unidades",A Vaca Que Ri,Embalagem de 280g,"2,39 €","19,92 €/Kg"
Chocolate em pó Starbucks 42% cacau,STARBUCKS,Embalagem de 330g,"5,39 €","7,19 €/Kg"
Chocolate sombrinhas,Regina,Embalagem de 15 g,"18,50 €/Kg","18,50 €/Kg"
Fralda de Incontinência c/ Elásticos Tamanho Grande,Lindor,Embalagem de 46 un.,"9,99 €","9,99 €/Unidade"
Paloco desfiado,PorSi,Embalagem de 500 g,"4,39 €","10,98 €/Kg"
8 rissóis de carne,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Lindahls pro+ liq tropical,Lindahls,Garrafa de 330 ml,"1,19 €","1,86 €/Kg"
Bolachinhas,Cerelac,Embalagem de 180g,"1,89 €","15,75 €/Kg"
20 saquetas infusão camomila,Lipton,Embalagem de 10g,"20,91 €/Kg","20,91 €/Kg"
Óleo de coco extra virgem,Koala,Garrafa de 180 ml,"3,39 €/L","3,39 €/L"
Preparado de bolo de canela,PorSi,500 g,"1,69 €","8,45 €/L"
Elixir junior,Aquafresh,Embalagem de 300 ml,"1,19 €","1,19 €/Unidade"
"Cerveja sem álcool, tara perdida",Super Bock,Pack 6 X 0.33 L,"5,99 €","3,03 €/L"
Infusão de tília,PorSi,Embalagem de 30g,"20,91 €/Kg","20,91 €/Kg"
Chocolate culinário,Pantagruel,Embalagem de 200g,"1,04 €","8,32 €/Kg"
Caderno Agrafado Capa Preta |A5 Liso,Domédia,1 unidade,"4,59 €","4,59 €/Unidade"
Tira nódoas em spray,Skip,Embalagem de 500 ml,"5,99 €","11,98 €/L"
Lindahls pro+ liq tropical,Lindahls,Garrafa de 330 ml,"5,97 €/Kg","5,97 €/Kg"
"Elixir bocal, dentes e gengivas",Listerine,Embalagem de 250 ml,"5,99 €","11,98 €/L"
Máscara Exfoliante Vermelha,L' Oreal,Embalagem de 50 ml,"0,76 €","0,76 €/Unidade"
Fralda de Incontinência c/ Elásticos Tamanho Médio,Lindor,Embalagem de 52 un.,"9,99 €","9,99 €/Unidade"
"Iogurte actimel, morango",Danone,Embalagem de 12 x 100 g,"4,15 €/Kg","4,15 €/Kg"
"Guardanapos gold, com cor, folha dupla, 40x40cm, 40 ...",Renova,1 embalagem,"1,29 €","1,29 €/Unidade"
Alimento lácteo sem açucar com sabor a morango/banan...,Yogolino,Embalagem de 4 x 100 gr,"2,89 €","7,23 €/Kg"
Nuggets de frango,PorSi,Embalagem de 360 g,"9,30 €/Kg","9,30 €/Kg"
Liquido brilhante sapato preto,PorSi,75 ml,"0,99 €","330,00 €/Kg"
Mousse d´or,Du Bois de la Roche,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
"M&m's drageias de chocolate de leite,",M&m's,Embalagem de 200g,"11,98 €/Kg","11,98 €/Kg"
Farinheira do Ribatejo,PorSi,Embalagem de 180g,"1,49 €","7,45 €/Kg"
Yaos magro natural,Nestle,Embalagem de 4x110g,"1,49 €","2,98 €/Kg"
Fruta para bebé multifrutas +4 meses,Nestle,Embalagem de 90g,"0,74 €","8,22 €/Kg"
Aguardente Bagaceira Velha,CASAL DE VALLE PRADINHOS,"Garrafa 0,70 L","12,90 €","18,43 €/L"
Bolachas chiquilin energy,Artiach,Embalagem de 200g,"1,69 €","6,76 €/Kg"
Telemóvel Vibra e Capta,Chicco,1 unidade,"14,99 €/Unidade","14,99 €/Unidade"
Pudim de ananás,Boca Doce,Embalagem de 20g,"0,59 €","29,50 €/Kg"
Desinfetante em gel c/ lixívia,Cif,Garrafa de 750 ml,"2,79 €","3,99 €/L"
Refrigerante de cola zero,PorSi,Garrafa de 2 l,"0,40 €/L","0,40 €/L"
Petit gateau morango 4x80g,PorSi,Embalagem de 320g,"2,49 €","7,55 €/Kg"
Comida húmida para cão de frango e arroz,PorSi,Lata de 400 g,"0,75 €","2,50 €/Kg"
Bebida amêndoa torrada sem açúcar,Alpro,Embalagem de 1 litro,"2,49 €","2,49 €/L"
6 tulipas chocolate,Progelcone,Embalagem de 148 g,"2,82 €","9,40 €/Kg"
Nestlé tablete de chocolate negro e amendoa,Nestle,Embalagem de 270g,"16,67 €/Kg","16,67 €/Kg"
Costeleta do cachaço,Porco,Embalagem com 500 g (aprox.),"4,89 €","4,89 €/Kg"
Detergente manual roupa,PorSi,Embalagem de 650g,"1,09 €","2,73 €/Kg"
"Refrigerante com gás, laranja, lata",Fanta,pack 6 x 0.33 l,"0,40 €/L","0,40 €/L"
"Refresco em pó, manga",PorSi,Embalagem de 40g,"0,75 €","18,75 €/Kg"
Bolachas com duplo creme,Oreo,Embalagem de 190g,"0,79 €","4,49 €/Kg"
Detergente líquido baby,A+,24 doses,"3,55 €","2,37 €/L"
Porto lágrima,Ferreira,Garrafa 0.75L,"11,99 €","15,99 €/L"
Azeite virgem extra clássico,Gallo,Garrafa de 750 ml,"3,19 €","4,25 €/L"
Lâmpada LED Cápsula 2.8W G9 220-240V,Domédia,1 un.,"3,99 €","3,99 €/Unidade"
Batata pré-frita palitos finos,PorSi,Embalagem de 1 kg,"1,39 €","1,39 €/Kg"
Refrigerante c/ gás de laranja zero,Fanta,"Garrafa de 1,5 l","0,40 €/L","0,40 €/L"
Sumo 100% laranja,PorSi,Pack 3 x 200 ml,"1,09 €","0,73 €/L"
Barras cereais chocapic,Nestle,Embalagem de 150g,"1,29 €","10,24 €/Kg"
Limpa móveis cera abelhas,PorSi,Frasco de 300ml,"4,39 €","14,63 €/L"
Ambientador Arbre Baunilha,Arbre Magique,3 unidade,"2,89 €","2,89 €/Unidade"
Champanhe tradicional bruto,Delagne&fi,Garrafa de 750 ml,"19,99 €","26,65 €/L"
Café moagem universal brasil,Delta,Embalagem de 220g,"9,16 €/Kg","9,16 €/Kg"
Canela em pau,PorSi,Saqueta de 30 g,"0,25 €","0,25 €/Kg"
Cerveja c/ álcool mini,Super Bock,Pack 15 x 0.20 L,"1,99 €/L","1,99 €/L"
Farinha láctea 5 frutos,PorSi,Embalagem de 500g,"4,49 €","4,49 €/Kg"
Cuecas de incontinência Plus M,Ausonia,Uma embalagem - 9Unidades,"9,99 €","9,99 €/Unidade"
"Recarga Espanador, 10 unidades",Swiffer,Uma embalagem,"2,54 €","2,54 €/Unidade"
Sidra frutos vermelhos,Somersby,pack 4 x 0.33 l,"1,59 €","3,18 €/L"
Miolo de camarão 50/70,H2Gelo,Embalagem de 250  g,"8,99 €","25,69 €/Kg"
Alimento seco p/ cão raça pequena,PorSi Select,Embalagem de 3kg,"1,15 €/Kg","1,15 €/Kg"
Limpa Estofos de Pele,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Barras de cereais fitness crunchy & caramelo,Nestle,Embalagem de 140g,"1,29 €","10,24 €/Kg"
"Fitness granola chocolate, amêndoas e quinoa com 51%...",Nestle,Embalagem de 300 g,"3,45 €","26,74 €/Kg"
Azeite virgem extra dop trás-os-montes,PorSi Select,Embalagem 750 ml,"3,19 €","4,25 €/L"
Café solúvel creme,Delta,Embalagem de 80 g,"14,50 €/Kg","14,50 €/Kg"
Marmelada sem conservantes,PorSi,Embalagem de 500g,"1,09 €","2,42 €/Kg"
Gin dry beefeater,Beefeater,Garrafa de 700 ml,"19,90 €","19,90 €/L"
Esfregão Power Inox,Vileda,2 unidades,"2,54 €","2,54 €/Unidade"
Confetis 80 gr sortido,Mercagranel,Embalagem de 80 gr,"0,54 €","0,54 €/Unidade"
"Farinha láctea 8 cereais, mel, 4 frutas",Nutriben,Embalagem de 300g,"4,49 €","4,49 €/Kg"
Bolachas waffers morango,PorSi,Embalagem de 210g,"0,98 €","4,67 €/Kg"
Piccolinis frankfurt,Buitoni,Embalagem de 270g,"2,16 €","6,17 €/Kg"
Pensos higiénicos liberty normal sem abas,Evax,Embalagem com 12 un.,"4,99 €","4,99 €/Unidade"
Na-esparguete bio 500g 10kg,Nacional,Embalagem de 500g,"0,89 €","1,78 €/Kg"
Atum posta em azeite,PorSi,Embalagem de 120g,"0,89 €","7,42 €/Kg"
Nuggets de frango grelhadinho,Capitão Iglo,Embalagem de 200g,"9,30 €/Kg","9,30 €/Kg"
Ambientador recarga oasis turquesa,Air Wick,Garrafa de 250 ml,"11,98 €","11,98 €/Unidade"
Amaciador concentrado para roupa aloé vera,PorSi,80 doses,"3,99 €","3,99 €/Unidade"
Sementes Abóbora Bio,Origens Bio,1 Embalagem 150G,"1,89 €","3,78 €/Kg"
Pera rocha categoria II Programa Origens,PorSi,Embalagem de 1.5 kg,"1,30 €/Kg","1,30 €/Kg"
Bambolitos pretos,PorSi,Embalagem de 150g,"0,79 €","5,27 €/Kg"
Couscous comespeciarias 4x125g,PorSi,Embalagem de 500g,"0,89 €","1,78 €/Kg"
Vmt reg alentejano 0.75l,T.xisto,Garrafa de 750 ml,"2,89 €","3,85 €/L"
"Lixívia para roupa, azul, tradicional",Neoblanc,Embalagem de 1 l,"1,74 €","0,35 €/L"
Salmão da escócia fumado,Martiko,Embalagem de 80g,"3,35 €","22,33 €/Kg"
Refeição Bio Puré de Ervilhas c/ batata e frango,Gerber,Embalagem de 190g,"1,89 €","9,95 €/Kg"
Lava tudo antibacteriano marinho,PorSi,Garrafa de 1.5 l,"0,99 €","0,50 €/L"
