Nome,Marca,Unidade,Preço Primário,Preço Secundário
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Barras Cereais Go Free Corn Flakes s/ Glúten,Nestle,Embalagem de 88g,"2,69 €","10,76 €/Kg"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Cadeira Auto Befix Grupo 2/3,Nania,1 unidade,"42,99 €","42,99 €/Unidade"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Cabeça de Aipo,Legumes do Dia,1 un = 500 g (aprox.),"0,60 €","2,39 €/Kg"
Chourição,Salsicharia Limiana,1 un = 100 gr (aprox.),"1,35 €","16,88 €/Kg"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Livro Hensel e Gretel,Europrice,1 unidade,"7,50 €/Unidade","7,50 €/Unidade"
Toalhitas Sensitive |Recarga,Dodot,Pack: 4 x54 unidades,"0,90 €","0,90 €/Unidade"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Toalha de Mesa Anti Nódoas,VZT,Dim.: 150 x 150 cm,"13,99 €","13,99 €/Unidade"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Iogurte pedaços ananás,PorSi,Embalagem de 4 x 125 g,"1,44 €","2,88 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Ovos Frescos de Galinhas Criadas ao Ar Livre Classe:...,PorSi Bio,Embalagem com 6 unidades,"2,19 €","2,19 €/Unidade"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Iogurte Natural Oikos,Danone,Embalagem de 900g,"0,99 €","1,98 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Muesli Frutas,PorSi,500 g,"2,45 €","4,90 €/Kg"
Queijo Ovelha Amanteigado Pequeno,Ouro Pastor,,"15,96 €/Kg","15,96 €/Kg"
Twinkle car com rádio controlo 12 v,Feber,1 unidade,"99,99 €/Unidade","99,99 €/Unidade"
Framboesas 100% Naturais,PorSi,Embalagem de 750 g,"4,99 €","9,98 €/Kg"
Iogurte Pedaços Ananás 0% Matéria Gorda/Açúcares,Danone,4 x 120 g,"2,79 €","6,07 €/Kg"
"Vela em número,  nº 0",PorSi,1 unidade,"0,80 €","0,80 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Tablete de chocolate choco jelly,Milka,Embalagem de 250g,"2,29 €","17,62 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
Conjunto de medição,Maped,4 peças,"3,29 €","3,29 €/Unidade"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Queijo Brie M.Gorda 60%,President,Vendido ao peso a partir de 250 gr,"2,60 €","13,00 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Saqueta pintarolas,Pintarolas,Embalagem de 40g,"1,05 €","21,00 €/Kg"
Chá infusão boldo,Cemporcent,Embalagem de 13g,"1,69 €","33,80 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Meia Baguete Integral,Pão do Dia,1 unidade= 100 g,"0,19 €","2,38 €/Kg"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Manhãzitos® mini,Manhazitos,Embalagem de 84g,"1,82 €","4,55 €/Kg"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Tablete de chocolate leite/amêndoa,Nestle,Embalagem de 120g,"10,52 €/Kg","10,52 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Pernas de Frango,Frango,1 un = 150 gr (aprox.),"0,97 €","2,78 €/Kg"
Rum Spiced,Captain Morgan,"Garrafa de 0,70L","17,49 €","24,99 €/L"
Base de guarda sol em plástico 45 litros,Ideegarden,1 unidade,"8,99 €","8,99 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Contentor para água dobrável,Camp Active,Cap.: 10 L,"3,00 €","3,00 €/Unidade"
Conjunto Sensuelle,Coquette,EAU DE TOILETTE 100 ML + R-ON 10 ML,"12,99 €","12,99 €/Unidade"
Saca Rolhas Elétrico c/ USB,San Ignacio,1 unidade,"7,99 €","7,99 €/Unidade"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Salsichão fuet nobreza,Elpozo,Embalagem de 200 g,"1,35 €","16,88 €/Kg"
Banana da  Madeira,Fruta do Dia,1 un= 200 gr (aprox.),"0,44 €","2,19 €/Kg"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Alho Francês,Legumes do Dia,1 un=300 gr (aprox.),"0,60 €","1,99 €/Kg"
Sumo natural de cenoura bio,Cemporcent,Garrafa de 200 ml,"1,19 €","1,86 €/L"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Refrigerante c/ gás ananás,Sumol,pack 4 x 1.25 l,"0,79 €","0,40 €/L"
Chocolate single 38g,Toff.crisp,Embalagem de 40g,"11,93 €/Kg","11,93 €/Kg"
Iogurte liquido de pinacolada,PorSi,Embalagem de 1 kg,"1,17 €","1,83 €/Kg"
"Gel para o cabelo, pasta remix",Studio Line,Embalagem de 150 ml,"4,19 €","16,76 €/L"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Detergente Manual de Loiça Rosa & Cetim,Fairy,Embalagem de 500 ml,"0,99 €","1,98 €/L"
"Sacos do lixo WC 5l, 30 unidades",Silvex,Uma embalagem,"1,79 €","1,79 €/Unidade"
Doce light alperce,PorSi,Embalagem de 340g,"3,59 €","10,26 €/Kg"
"Cueca de incontinência, adulto, pequena",PorSi,Embalagem com 14 unidades,"18,65 €","18,65 €/Unidade"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Biscoitos choco trio,Milka,Embalagem de 150g,"0,79 €","5,27 €/Kg"
Rúcula Selvagem Programa Origens,PorSi,Embalagem de 100g,"0,99 €","9,90 €/Kg"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
Frutose,Cemporcent,Embalagem de 250g,"1,94 €","3,88 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Iglo Pop Up 2 Pessoas,Saurium,1 un.,"32,99 €","32,99 €/Unidade"
Chispe da Perna,Porco,1 un = 800 gr (aprox.),"1,00 €","3,98 €/Kg"
Anti-Traça Alimentos,Dum Dum,2 unidades,"4,69 €","4,69 €/Unidade"
