Nome,Marca,Unidade,Preço Primário,Preço Secundário
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Ambientador vela odor tabaco,PorSi,1 unidade,"4,99 €","4,99 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
Queijo Barra Inteiro,Alavão,"Vendido Inteiro, un=1k(aprox)","2,42 €","9,69 €/Kg"
Saco de cama criança,Saurium,1 un.,"14,99 €","14,99 €/Unidade"
Recarga rolo tira pelos,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Mistura Tomates Cereja Biológicos,PorSi Bio,Emb.: ± 200 g,"0,87 €","3,49 €/Kg"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Lambrusco rosé,Cavicchiol,Garrafa de 750 ml,"6,89 €","9,19 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
