Nome,Marca,Unidade,Preço Primário,Preço Secundário
Gomas de amoras,Fini,Embalagem 100G,"0,99 €","9,90 €/Kg"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Baguete,PorSi,250 g,"3,12 €/Kg","3,12 €/Kg"
"Lava tudo antibacteriano lavanda 1,5l",PorSi,Garrafa de 1.5 l,"1,89 €","1,26 €/L"
Recarga rolo tira pelos,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
"Gel de banho, sensitive 3 em 1",Labell Men,Embalagem de 250 ml,"6,98 €/L","6,98 €/L"
Muesli 3 chocolates,PorSi,500 g,"2,24 €","4,48 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Cubos pão trigo tostado,PorSi,Embalagem de 150g,"0,89 €","3,96 €/Kg"
Insecticida recarga,Biokill,Embalagem de 375 ml,"5,49 €","14,64 €/L"
Whisky 15 anos c/caixa,J&B,Garrafa de 700 ml,"38,49 €","54,99 €/L"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
Conjunto de medição,Maped,4 peças,"3,29 €","3,29 €/Unidade"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Açaí superelemento (10 saquetas),Cemporcent,Embalagem de 25g,"1,99 €","45,23 €/Kg"
Coto para calçado,Sonaf,1 unidade,"1,49 €","1,49 €/Unidade"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Panquecas,Condi,Embalagem de 400g,"1,69 €","8,45 €/L"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Bolachas digestive aveia e laranja,Gullon,Embalagem de 430g,"0,84 €","2,80 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Buondi extreme cafe moido 12x200g,Buondi,Embalagem de 200g,"11,73 €/Kg","11,73 €/Kg"
Crepe simples,PorSi,Embalagem de 630g,"3,99 €","7,39 €/Kg"
Halls vita c morango mtp 4x32g,Halls,Embalagem de 4X32G,"0,77 €","3,85 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Conjunto higiene e hidratação,Baby Dove,,"11,99 €","11,99 €/Unidade"
Lápis de cera,Giotto,embalagem com 12 unidades,"4,69 €","4,69 €/Unidade"
Yopro líquido manga,Danone,Embalagem de 300g,"5,97 €/Kg","5,97 €/Kg"
Caldo de galinha,PorSi,24 cubos,"0,99 €","1,98 €/Kg"
Cheeseburger de frango,Snock,Embalagem de 100 g,"1,85 €","18,50 €/Kg"
Batata doce frita,PorSi,Embalagem de 150g,"1,01 €","5,46 €/Kg"
Granola + classica,Cemporcent,Embalagem de 375g,"0,93 €/Kg","0,93 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Rúcula Selvagem Programa Origens,PorSi,Embalagem de 100g,"0,99 €","9,90 €/Kg"
Massa cuscus,PorSi,Embalagem de 250g,"1,09 €","2,18 €/Kg"
Esferográficas cristal multi colour 1.6mm,Bic,10 unidades,"2,99 €","2,99 €/Unidade"
Easy Stick,Tesa,Embalagem 3x25g,"0,80 €","0,80 €/Unidade"
Linhaça castanha moída,Cemporcent,Embalagem de 200g,"2,29 €","15,27 €/Kg"
Café em cápsulas dolce gusto ardenza,Nescafe,Embalagem de 110g,"43,55 €/Kg","43,55 €/Kg"
Lâmpada  iodo h1 12v 55w,Ecauto,1 unidade,"3,49 €","3,49 €/Unidade"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Ovos de Galinhas Criadas ao Ar Livre,PorSi,6 ovos frescos,"1,59 €","1,59 €/Unidade"
Esparguete integral,Salutem,Embalagem de 500g,"0,93 €/Kg","0,93 €/Kg"
Leite infantil confort 1 desde o nascimento,NAN,Embalagem de 800g,"23,99 €","29,99 €/Kg"
Pensos diários normal com bolsa salvaslip flexi & fr...,Evax,Embalagem com 40 un.,"1,99 €","1,99 €/Unidade"
Bolachas barquette morango,Lu,Embalagem de 120g,"1,99 €","16,58 €/Kg"
Mel de néctar multifloral bio,PorSi Bio,Frasco de 250g,"2,29 €","9,16 €/Kg"
Creme vegetal para barrar,PorSi,Embalagem de 500 g,"5,40 €/Kg","5,40 €/Kg"
Mauzão,Concentra,Uma unidade,"12,99 €/Unidade","12,99 €/Unidade"
Cogumelos inteiros,PorSi,Embalagem de 355 g,"2,19 €","2,81 €/Kg"
Protetor Tomadas,Neo Baby,1 Embalagem c/10 unidades,"1,99 €","1,99 €/Unidade"
Petit gâteau,PorSi,Embalagem de  4 x 80 g,"3,99 €","7,39 €/Kg"
Lenços Bolso 15X10 3f,PorSi,1 Unidade,"0,89 €","0,89 €/Unidade"
Mousse limpeza refresh,Labell,Embalagem com 150ml,"12,48 €/L","12,48 €/L"
Muesli tropical,Cemporcent,Embalagem de 500g,"0,69 €","1,73 €/Kg"
Bolachas belgas manteiga,PorSi,Embalagem de 250g,"1,69 €","6,76 €/Kg"
Leite condensado,Nestle,Embalagem de 370g,"1,09 €","2,75 €/Kg"
Iogurte natural açucarado em frasco de vidro,PorSi,Embalagem de 2 x 125 g,"0,99 €","1,98 €/Kg"
Bebida de soja pur bio,Joya,Garrafa de 1 l,"2,19 €","1,46 €/L"
Batata Roxa,Legumes do Dia,embalada - 10kg,"0,35 €","1,39 €/Kg"
Esparregado de espinafres,PorSi,Embalagem de 350 g,"0,74 €","1,85 €/Kg"
Salsicha fresca merguez,PorSi,Embalagem de 330 g,"0,99 €","7,07 €/Kg"
Sumo natural de ananás bio,Cemporcent,Garrafa de 200 ml,"3,69 €","3,69 €/L"
Quebrado massa folhada,Pasta dia,Embalagem de 300g,"3,99 €","3,99 €/Unidade"
Couve flor,PorSi,Embalagem de 750 kg,"0,74 €","1,85 €/Kg"
Refrigerante c/ gás laranja,Sumol,pack 4 x 1.25 l,"0,40 €/L","0,40 €/L"
Adoçante comprimidos,PorSi,Embalagem de 250 saquetas,"5,99 €","23,96 €/Kg"
Iogurte mix-in smarties baunilha,Nestle,Embalagem de 2 x 128 g,"4,23 €/Kg","4,23 €/Kg"
Água com gás sabor a tangerina,Frize,"Pack 4x 0,25l","1,99 €/L","1,99 €/L"
"Patê de sardinha,atum e salmão",PorSi,Embalagem de 4 x 22 g,"1,19 €","13,52 €/Kg"
Brandy,Croft,Garrafa de 1 l,"15,49 €","15,49 €/L"
Favas ultracongeladas,PorSi,Embalagem de 400g,"0,74 €","1,85 €/Kg"
Mortadela de peru fatiada,PorSi,Embalagem de 200g,"1,05 €","6,99 €/Kg"
Queijo feta dop grego,Kolios,Embalagem de 200g,"7,45 €/Kg","7,45 €/Kg"
Amaciador da roupa concentrado madressilva e sândalo,Comfort,72 doses,"3,99 €","3,99 €/Unidade"
