Nome,Marca,Unidade,Preço Primário,Preço Secundário
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Ambientador vela odor tabaco,PorSi,1 unidade,"4,99 €","4,99 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Peito de frango,PorSi,Embalagem de 400 g,"1,05 €","2,99 €/Kg"
Aguardente vínica velha,Alianca v.,Garrafa de 700 ml,"25,49 €","50,98 €/L"
Saco de cama criança,Saurium,1 un.,"14,99 €","14,99 €/Unidade"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"16,99 €/Unidade","16,99 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Toucinho Fumado,PorSi,fatiado a partir de 100 gr,"2,79 €","9,30 €/Kg"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Vinho tinto,Adega grande,Garrafa de 75 cl,"2,99 €","3,99 €/L"
Camisola segunda pele 30D preto t. único,PorSi,1 unidade,"4,69 €","4,69 €/Unidade"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Peito frango fatias finas,PorSi,Embalagem de 150g,"2,25 €","11,25 €/Kg"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Queijo fatias -50% gordura,Terra Nostra,Embalagem de 400g,"1,96 €","9,80 €/Kg"
Semente pevide abóbora,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Vinho frisante branco,Lapadas,Garrafa de 750 ml,"2,12 €/L","2,12 €/L"
