Nome,Marca,Unidade,Preço Primário,Preço Secundário
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Areia para gatos 100% natural,PorSi,Embalagem de 5 kg,"1,19 €","0,24 €/Kg"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Colher furada em inox cabo oregon,PorSi,1 unidade,"0,69 €","0,69 €/Unidade"
Ultra magnésio +b6,PLANTANATU,Embalagem de 1 unidades,"4,49 €","179,60 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Termo drena rapid,PLANTANATU,Garrafa de 500 ml,"4,49 €","179,60 €/Kg"
Creme para barrar,Nutella,Embalagem de 600g,"4,29 €","12,62 €/Kg"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Cereais fitness,Nestle,Embalagem de 630g,"5,69 €","9,03 €/Kg"
Liquido abrilhantador castanho,PorSi,75 ml,"2,29 €","45,80 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,95 €","2,95 €/L"
Salmão Fumado da Noruega,PorSi,Embalagem de 200 g,"3,45 €","23,00 €/Kg"
Bebida Energética Red Grape,Hell,250 ml,"5,49 €","5,49 €/L"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Tapete escorredor de loiça quadrado,PorSi,1 unidade,"0,69 €","0,69 €/Unidade"
Tomate seco,PONTI,Embalagem de 280g,"3,89 €","24,31 €/Kg"
Tablete de chocolate choco jelly,Milka,Embalagem de 250g,"2,29 €","17,62 €/Kg"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Tablete chocolate branco,PorSi,Embalagem de 100g,"1,09 €","10,90 €/Kg"
Espargos Verdes,Legumes do Dia,embalagem com 250g,"0,62 €","2,49 €/Kg"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Sementes de abóbora,Cemporcent,Embalagem de 150g,"2,35 €","15,67 €/Kg"
Desumidificador Basic,HUMYDRY,embalagem de 250g,"4,69 €","62,53 €/Kg"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Tofu biológico,PorSi Bio,Embalagem de 300g,"2,99 €","5,98 €/Kg"
Queijo Brie M.Gorda 60%,President,Vendido ao peso a partir de 250 gr,"2,60 €","13,00 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Panquecas,Condi,Embalagem de 400g,"1,69 €","8,45 €/L"
Fermento,Royal,Embalagem de 230g,"1,95 €","17,73 €/Kg"
Gel de banho bio kids,Corine de Farme,300 ml,"6,49 €","8,65 €/L"
Tablete de chocolate leite/amêndoa,Nestle,Embalagem de 120g,"10,52 €/Kg","10,52 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Xarope de menta,Paquito,Garrafa de 0.75 lt,"4,99 €","6,74 €/L"
Gin premium hendricks 0.70l,Hendricks,Garrafa de 700 ml,"19,95 €","19,95 €/L"
Desodorizante e desinfetante para calçado,Sanytol,Embalagem de 150 ml,"5,45 €","36,33 €/L"
Porto tawny valadão,Valadao,Garrafa de 750 ml,"6,65 €/L","6,65 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
Sortido tradição,Frusel,Embalagem de 250 g,"1,89 €/Kg","1,89 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Salsichão fuet caseiro,Elpozo,Embalagem de 150g,"0,95 €","9,49 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Ambientador carro difusor aqua,Ambipur,1 unidade,"1,99 €","1,99 €/Unidade"
Marmelada em cubos,Ferbar,Embalagem de 200g,"1,09 €","2,42 €/Kg"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Tomilho - limão,PorSi,20 g,"1,09 €","36,33 €/Kg"
Chocolate single 38g,Toff.crisp,Embalagem de 40g,"11,93 €/Kg","11,93 €/Kg"
Vinho doc douro tinto,Tellu's,Garrafa de 750 ml,"2,69 €","3,59 €/L"
Cillit bang limpa vidros,Cillitbang,Garrafa de 500 ml,"3,29 €","6,58 €/L"
Vinho regional lisboa reserva tinto,Mundus,Garrafa de 750 ml,"4,99 €","6,65 €/L"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Filetes de cavala em azeite virgem extra,Bom Petisco,Embalagem de 120g,"0,89 €","7,42 €/Kg"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Água com gás,Vimeiro,"Garrafa de 1,5 l","2,95 €","2,95 €/L"
Gelado magnum mini double framboesa,Olá,Embalagem de 6 x 60 ml,"5,99 €","16,64 €/L"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Limpador,Pronto,Embalagem de 750 ml,"2,29 €","2,29 €/L"
Grelha Quadrada Nº4 Zincada,Jomafe,"32x23 cm, 1 unidade","0,75 €","0,75 €/Unidade"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Lixívia WC Gel Higienizante,Neoblanc,Embalagem de 700ml,"1,74 €","0,35 €/L"
Tablete de chocolate leite com amêndoas,PorSi Select,200 g,"10,52 €/Kg","10,52 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Queijo de cabra atabafado,Monforqueijo,180 g,"1,89 €","10,50 €/Kg"
Máquina depilação Venus Breeze 2 em 1,Gillette,1 unidade,"10,99 €","10,99 €/Unidade"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Faca Chefe 15 cm Inox,PorSi,1 unidade,"4,95 €","4,95 €/Unidade"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
Iogurte líquido yoggi cremoso pêssego/manga,Nestle,Embalagem de 4 x 160 g,"1,20 €","1,88 €/Kg"
Cabeça de Aipo,Legumes do Dia,1 un = 500 g (aprox.),"0,62 €","2,49 €/Kg"
Chá de menta e eucalipto,Lipton,20 saquetas,"44,50 €/Kg","44,50 €/Kg"
Luvas Multi Latex S/M,Vileda,10 unidade,"4,39 €","4,39 €/Unidade"
Pratos para pic nic 19 cm verdes,PorSi,Embalagem com 6 unidades,"9,99 €","9,99 €/Unidade"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Resguardo para mesa,PorSi,Dim.: 140 x 200 cm,"3,49 €","3,49 €/Unidade"
Boudoirs,Du Bois de la Roche,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Bolacha tostada diet nature s/ açucares,Gullon,Embalagem de 400g,"1,45 €","11,15 €/Kg"
"Iogurte, sabor a morango",PorSi,Embalagem de 4 x 125 g,"1,87 €","1,25 €/Kg"
"Gel banho, hidratante lactourea",Lactovit,Embalagem de 650 ml,"6,49 €","8,65 €/L"
Spray renova camurça preta,PorSi,Embalagem de 200 ml,"6,29 €","25,16 €/L"
Croutons com azeite,PorSi,Embalagem de 150g,"2,49 €","7,11 €/Kg"
Chouriço Extra do Ribatejo,PorSi,200 g,"1,22 €","6,78 €/Kg"
Mistura solúvel tofina despertar,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Espetos de madeira para churrasco 24 cm,PorSi,Embalagem de 20 unidades,"0,69 €","0,69 €/Unidade"
Chourico vinho das beiras,PorSi,Embalagem de 280g,"1,22 €","6,78 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Lenços Bolso 15X10 3f,PorSi,1 Unidade,"0,89 €","0,89 €/Unidade"
Batata frita presunto,Ruffles,Embalagem de 150 g,"1,19 €","6,43 €/Kg"
Balões latex azul,PorSi,Embalagem com 24 unidades,"1,54 €","1,54 €/Unidade"
Iogurte grego natural magro,PorSi Viva Bem,Embalagem de 1 kg,"0,65 €","1,30 €/Kg"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Bandas de cera fria peles normais,Veet,Embalagem de 20 unidades,"3,25 €","3,25 €/Unidade"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
80 filtros nº4 com saquetas antitártaro,Planteur,Uma embalagem com 80 unidades,"0,85 €","0,85 €/Unidade"
Iogurte fruta batida morango,Mimosa,Embalagem de 480g,"1,49 €","2,98 €/Kg"
Colher furada de nylon cabo áqua,PorSi,1 unidade,"0,69 €","0,69 €/Unidade"
Bolachas recheadas com morango e cheesecake,Oreo,Embalagem de 150g,"0,79 €","4,49 €/Kg"
Natas pasteurizadas para bater,Nestle,Embalagem de 200 ml,"0,75 €","3,75 €/L"
Iogurte pedaços frutimax frutos variados,PorSi,Embalagem de 8 x 125 g,"4,36 €","2,18 €/Kg"
