Nome,Marca,Unidade,Preço Primário,Preço Secundário
Gomas de amoras,Fini,Embalagem 100G,"0,99 €","9,90 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Iogurte sólido sem lactose multifrutos,Mimosa,Embalagem de 480g,"2,49 €","11,53 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Cereja 24+ Fundão,Programa Origens,1 un = 250 gr  (aprox.),"0,50 €","1,99 €/Kg"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
"Lava tudo antibacteriano lavanda 1,5l",PorSi,Garrafa de 1.5 l,"1,89 €","1,26 €/L"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"16,99 €/Unidade","16,99 €/Unidade"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Detergente Multiusos Spray,Ajax,Garrafa de 500 ml,"3,99 €","7,98 €/L"
Toalha de Mesa Anti Nódoas,VZT,Dim.: 150 x 150 cm,"13,99 €","13,99 €/Unidade"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,95 €","2,95 €/L"
Salmão Fumado da Noruega,PorSi,Embalagem de 200 g,"3,45 €","23,00 €/Kg"
Iogurte natural magro sem lactose,Mimosa,Embalagem de 4x 120 g,"2,49 €","11,53 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Suiço Longo c/ Pepitas de Chocolate,PorSi,1 un. = 100 g,"0,49 €/Unidade","0,49 €/Unidade"
Beterrabas bio,PorSi Bio,Vendido ao peso,"3,49 €","13,96 €/Kg"
Sanduiche Good4me Frango,Snock,130 g,"0,69 €","0,69 €/Unidade"
Salada bacon,PorSi,Embalagem de 192 g,"2,99 €","11,96 €/Kg"
Cereais fitness chocolate preto,Nestle,Embalagem de 375g,"3,49 €","27,05 €/Kg"
Ovas bacalhau,PorSi,Embalagem de 500G,"11,49 €","14,36 €/Kg"
Gel wc anticalcário sem lixívia,PorSi,"Garrafa de 1,5 l","2,59 €","3,45 €/L"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Queijo cura especial barrado pimentão,Casteloes,500 g,"6,49 €","25,45 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Dourada,Programa Origens,1 un= 400 grs (aprox.),"3,48 €","8,69 €/Kg"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
"Escova de cabelo, esqueleto",Labell,Embalagem com 1 unidade,"2,45 €","2,45 €/Unidade"
Feijão frade,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Ovos classe xl,PorSi,6 unidades,"1,39 €","1,39 €/Unidade"
