Nome,Marca,Unidade,Preço Primário,Preço Secundário
Tablete de chocolate amêndoa e caramelo,Milka,Embalagem de 300g,"6,50 €/Kg","6,50 €/Kg"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Gelatina pronta a comer light 10 kcal mirtilo,Royal,Embalagem de 4 x 100 g,"2,29 €","5,73 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Recarga rolo tira pelos,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Queijo fatias -50% gordura,Terra Nostra,Embalagem de 400g,"1,96 €","9,80 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Batido de café,Forma+,Embalagem de 700g,"1,69 €","38,41 €/Kg"
Bebida de soja-arroz,Shoyce,Garrafa de 1 l,"2,19 €","2,19 €/L"
Toalha de Mesa Anti Nódoas,VZT,Dim.: 150 x 300 cm,"3,59 €","3,59 €/Unidade"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Camarão cozido 40/60,PorSi,Embalagem de 500 g,"9,99 €","19,98 €/Kg"
Crescido,Bacalhau da Islândia,1 un = 1.5 kg (aprox.),"8,73 €/Kg","8,73 €/Kg"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Chá de maçã e canela,Tetley,Embalagem de 20g,"58,00 €/Kg","58,00 €/Kg"
"Chá solúvel adelgass plus (chá verde, fibras e algas...",Cemporcent,Embalagem de 45g,"0,99 €","76,15 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
"Abacaxi ""Avião"" categoria II",*,Vendido ao peso (1un = 1.5 kg aprox.),"2,50 €","1,25 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Amendoim pedaços,Cemporcent,Embalagem de 510g,"3,44 €","4,71 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Magnésio + vitaminas,PLANTANATU,Embalagem de 1 unidades,"4,79 €","191,60 €/Kg"
Papel higiénico perfumado bouquet folha tripla,Foxy,4 + 2 rolos,"1,99 €","1,99 €/Unidade"
"Limpa móveis pistola, aloé vera",Pronto,Embalagem de 500 ml,"1,29 €","0,86 €/L"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Chá de infusão salutem nº 05 - prolax 10 saquetas,Salutem,Embalagem de 15g,"0,99 €","76,15 €/Kg"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
