Nome,Marca,Unidade,Preço Primário,Preço Secundário
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Guardanapos 2 folhas vermelhos e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Iogurte líquido morango,PorSi,Embalagem de 8x160 ml,"1,31 €","2,05 €/Kg"
Queijo fresco magro,Matinal,Embalagem de 216 g,"1,09 €","5,45 €/Kg"
Feijão manteiga,PorSi,Embalagem de 420g,"2,19 €","2,81 €/Kg"
Gengibre desidratado,Salutem,Embalagem de 100g,"0,75 €","0,75 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
Amido de milho,PorSi,Embalagem de 400g,"1,79 €","21,83 €/Kg"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Broa de Milho,Pão do Dia,1 unidade= 400 g,"0,19 €","2,38 €/Kg"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Vinho regional lisboa reserva tinto,Mundus,Garrafa de 750 ml,"4,99 €","6,65 €/L"
Manteiga sem sal,Primor,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Cebolinho vaso aromáticas vivas,Aroma viva,Embalagem de 1 unidades,"0,89 €","17,80 €/Kg"
Mel multifloral doseador,PorSi,Embalagem de 250g,"2,25 €","9,00 €/Kg"
Vinho tinto cotes du rhone,Expert Club,Garrafa de 75 cl,"6,89 €","9,19 €/L"
10 Cones de Baunilha,Progelcone,Embalagem de 110 g,"2,98 €","9,93 €/Kg"
"Espuma de cabelo, volume absoluto",Pantene,Embalagem de 200 ml,"4,39 €","58,53 €/L"
Ovos de Galinhas Criadas ao Ar Livre,PorSi,6 ovos frescos,"1,59 €","1,59 €/Unidade"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
Chá verde,Tetley,Embalagem de 20g,"0,99 €","23,02 €/Kg"
Chá de menta e eucalipto,Lipton,20 saquetas,"44,50 €/Kg","44,50 €/Kg"
Grelo Nabo Programa Origens,PorSi,1 un= 1 kg (aprox.),"0,75 €","2,49 €/Kg"
Gelatina zero % pêssego,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Wafers framboesa barras,Vieira,Embalagem de 150g,"0,98 €","4,67 €/Kg"
Álcool Etílico Sanitário,PorSi,200 ml,"0,65 €","1,30 €/L"
"Gel cabelo, hard cement",Fru style,Embalagem de 200 ml,"4,39 €","58,53 €/L"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Queijo brie cunhas 60%,President,Embalagem de 200 g,"1,49 €","7,45 €/Kg"
Peito,Borrego,1 un = 500 gr (aprox.),"4,50 €","8,99 €/Kg"
Fita adesiva,PorSi,5m x 1.25 cm,"0,65 €","1,30 €/L"
Iogurte Solido Bifidus Kiwi,Mimosa,Embalagem de 4 x 115g,"2,49 €","5,19 €/Kg"
Leite regular 2,Aptamil,Embalagem de 800 g,"23,99 €","29,99 €/Kg"
Vinho do porto tawny,Cruz,"Garrafa de 0,75 l","16,99 €","22,65 €/L"
Lata de Brilho Preto,Búfalo,Embalagem de 75 ml,"0,99 €","19,80 €/L"
Sopa de agrião,PorSi,800 g,"3,10 €/L","3,10 €/L"
Patê figado de porco,La piara,Embalagem de 80g,"1,19 €","13,52 €/Kg"
"Agrafos nº24/6, 2000 unidades",Maped,Uma embalagem,"1,35 €","1,35 €/Unidade"
Iogurte líquido yoggi limonada,Nestle,Embalagem de 4 x 160 g,"1,31 €","2,05 €/Kg"
Chip choco diet nature,Gullon,Embalagem de 130g,"0,79 €","5,27 €/Kg"
Choco limpo 10/30,Pescanova,Embalagem de 500g,"5,49 €","6,86 €/Kg"
Sopa de cozido,Knorr,Embalagem de 70g,"0,62 €","10,00 €/Kg"
Iogurte oikos natural,Danone,Embalagem de 4 x 110g,"1,49 €","2,98 €/Kg"
Gelatina de morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Vinho DOC Trás-os-Montes Tinto,Terras de Mogadouro,750 ml,"7,49 €","9,99 €/L"
Anti-traça Maçã Verde,Dum Dum,2 unidades,"5,99 €","176,18 €/Kg"
Snack de milho com queijo,Cheetos,Embalagem de 75 g,"0,79 €","7,90 €/Kg"
"Baton, soft rosa",Labello,Embalagem de 5 g,"0,58 €","0,58 €/Unidade"
Limpa injetores gasolina,PorSi,Embalagem de 250 ml,"14,99 €","14,99 €/L"
Refrigerante c/ gás zero s/ cafeína,Coca-Cola,pack 6 x 0.33 l,"0,40 €/L","0,40 €/L"
Crackers c/ sal superficie,GRAN PAVES,Embalagem de 250g,"0,39 €","3,12 €/Kg"
8 fantasias do mar,PorSi,Embalagem de 250g,"1,79 €","7,16 €/Kg"
12 Caldos de carne,PorSi,Embalagem de 127 g,"3,84 €","24,00 €/Kg"
Queijo ilha ralado,Valformoso,Embalagem de 150g,"7,45 €/Kg","7,45 €/Kg"
Iogurte mix-in smarties morango,Nestle,Embalagem de 2 x 128 g,"1,05 €","1,86 €/L"
Ketchup,PorSi,Embalagem de 300 g,"0,87 €","2,90 €/Kg"
Queijo snack gouda,PorSi,Embalagem de 100g,"1,96 €","9,80 €/Kg"
"Batata frita, presunto",Ruffles,Embalagem de 80g,"1,18 €","6,38 €/Kg"
Anéis Empilháveis,Baby Clementoni,1 unidade,"9,99 €","9,99 €/Unidade"
Vegalia especialidade vegetariana de soja,Nobre,Lata com 8 unidades,"2,09 €","8,36 €/Kg"
Bolacha de manteiga belga original,Saborosa,Embalagem de 220g,"1,69 €","6,76 €/Kg"
Bloco Sanitário Sólido Poder Activo Pinho,Sonasol,Embalagem de 2x50 g,"2,99 €","74,75 €/Kg"
Gelatina melancia 10kcal 31g,Royal,Embalagem de 30g,"0,55 €","61,11 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,29 €","4,39 €/L"
Requeijão de vaca,PorSi,Embalagem de 200 g,"1,09 €","5,45 €/Kg"
Paelha de vegetais,Trevijano,Embalagem de 280g,"2,99 €","271,82 €/Kg"
"Limpa móveis pistola, multissuperfícies",Pronto,Embalagem de 500 ml,"1,29 €","0,86 €/L"
Recargas ambientador elétrico sensual sandalwood & j...,Glade,Embalagem de 2 x 20 ml,"11,98 €","11,98 €/Unidade"
Vinagre de vinho tinto,PorSi,Garrafa de 500 ml,"0,35 €","0,70 €/L"
Pastilhas de morango,Smint,Embalagem de 35 g,"0,89 €","59,33 €/Kg"
Anéis Empilháveis,Baby Clementoni,1 unidade,"12,99 €/Unidade","12,99 €/Unidade"
Gel WC Desincustrante,Neoblanc,Embalagem de 700 ml,"2,79 €","3,99 €/L"
Toalhitas multiusos limão,PorSi,Embalagem de 80 unidades,"1,79 €","1,79 €/Unidade"
Tomate frito,Heinz,Embalagem de 350g,"3,84 €","24,00 €/Kg"
