Nome,Marca,Unidade,Preço Primário,Preço Secundário
Super tea detox com selénio,Tetley,Embalagem de 40g,"1,19 €","59,50 €/Kg"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Guardanapos 2 folhas vermelhos e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"16,99 €/Unidade","16,99 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Whiskey bourbon,J.daniels,Garrafa de 700 ml,"32,99 €","47,13 €/L"
Semente pevide abóbora,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Desumidificador e Ambientador Mini,HUMYDRY,embalagem de 75g,"4,59 €","61,20 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Livro Hensel e Gretel,Europrice,1 unidade,"7,50 €/Unidade","7,50 €/Unidade"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,39 €","5,39 €/L"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Iogurte pedaços ananás,PorSi,Embalagem de 4 x 125 g,"1,44 €","2,88 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Papel higiénico perfumado bouquet folha tripla,Foxy,4 + 2 rolos,"1,99 €","1,99 €/Unidade"
"Jogo ""Quem sou eu?""",Clementoni,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Chocolate negro com coco,Cemporcent,Embalagem de 125g,"2,89 €","23,12 €/Kg"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Gel de banho bio kids,Corine de Farme,300 ml,"6,49 €","8,65 €/L"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
"Bolachas aperitivas, bacon",Tuc,Embalagem de 100g,"0,99 €","7,92 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Luvas multiusos relevo antiderrapante, tamanho médio",PorSi,Embalagem de 1 unidades,"2,40 €","2,40 €/Unidade"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Sortido tradição,Frusel,Embalagem de 250 g,"1,89 €/Kg","1,89 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Rum Spiced,Captain Morgan,"Garrafa de 0,70L","17,49 €","24,99 €/L"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Desinfetante em gel p/ wc,Cif,Garrafa de 750 ml,"2,79 €","3,72 €/L"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Mala criativa,Lego,1 unidade,"12,99 €/Unidade","12,99 €/Unidade"
Salsichão fuet caseiro,Elpozo,Embalagem de 150g,"0,95 €","9,49 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Farinheira das beiras,PorSi,1 unidade = 730 g (aprox.),"1,39 €","6,95 €/Kg"
Plantanatur gorduras dia e noite refeições,PLANTANATU,Embalagem de 1 unidades,"7,59 €","126,50 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Lápis de cera,Giotto,embalagem com 12 unidades,"4,69 €","4,69 €/Unidade"
Palito com pele original style,MCCAIN,Embalagem de 500g,"1,39 €","1,39 €/Kg"
Cera liquida amarela,Novycera,Garrafa de 500 ml,"9,19 €","18,38 €/L"
Café lote normal moagem grossa,PorSi,Embalagem de 250 g,"3,49 €","13,96 €/Kg"
Esferográfica 4 Cores Shine,Bic,1 unidade,"2,49 €","2,49 €/Unidade"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
"Gel para o cabelo, pasta remix",Studio Line,Embalagem de 150 ml,"4,19 €","16,76 €/L"
Doce light alperce,PorSi,Embalagem de 340g,"3,59 €","10,26 €/Kg"
Chocolate negro 90% cacau bio,Cemporcent,Embalagem de 100g,"2,89 €","23,12 €/Kg"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Farinha de chia,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
"Papel higiénico, seda, folha tripla, 4+2 rolos",Foxy,1 embalagem,"1,99 €","1,99 €/Unidade"
Filetes de cavala em azeite virgem extra,Bom Petisco,Embalagem de 120g,"0,89 €","7,42 €/Kg"
Agarro o Coco,Games,,"12,99 €/Unidade","12,99 €/Unidade"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Iogurte fruta batida morango,Mimosa,Embalagem de 480g,"1,99 €","4,15 €/Kg"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Frutose,Cemporcent,Embalagem de 250g,"1,94 €","3,88 €/Kg"
Carro de Corrida de Rua,Lego,1 unidade,"12,99 €/Unidade","12,99 €/Unidade"
Bife da Vazia,Novilho,Vendido ao peso a partir de 800 g,"6,39 €","7,99 €/Kg"
Caramelos de fruta de laranja single,Sugus,Embalagem de 50g,"1,10 €","4,40 €/Kg"
Anti-Traça Alimentos,Dum Dum,2 unidades,"4,69 €","4,69 €/Unidade"
Bombons de chocolate merci,Merci,Embalagem de 250g,"31,40 €/Kg","31,40 €/Kg"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
