Nome,Marca,Unidade,Preço Primário,Preço Secundário
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Queijo Curado Amanteigado,Quinta do Convento,Vendido ao peso a partir de 250 g,"2,00 €","7,99 €/Kg"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Leite uht sem lactose meio gordo,PorSi Viva Bem,1 litro,"0,81 €","0,81 €/L"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Vinho Verde Loureiro Branco,Aveleda,Garrafa de 0.75 l,"2,99 €","2,99 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Mistura saborosa,PorSi,Embalagem de 450g,"3,98 €/Kg","3,98 €/Kg"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Iogurte magro morango,Longa vida,Embalagem de 6 x 120 g,"1,44 €","2,88 €/Kg"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte Pedaços Amoras/Mirtilo,PorSi,Embalagem 2X135 g,"4,36 €","2,18 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Crazy Chic Mala de Maquilhagem,Clementoni,1 unidade,"6,99 €","6,99 €/Unidade"
Muesli Frutas,PorSi,500 g,"2,45 €","4,90 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Papel higiénico perfumado bouquet folha tripla,Foxy,4 + 2 rolos,"1,99 €","1,99 €/Unidade"
Whisky 15 anos c/caixa,J&B,Garrafa de 700 ml,"38,49 €","54,99 €/L"
Farinheira do fundão,PorSi,Embalagem de 250g,"2,35 €","13,06 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Espadilha congelada,Peixe Congelado,Pescado no mar,"4,39 €","10,98 €/Kg"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Discos de algodão para bebé,PorSi,60 unidades,"3,99 €","3,99 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Tablete de chocolate leite/amêndoa,Nestle,Embalagem de 120g,"10,52 €/Kg","10,52 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
"Escova dentífrica infantil, minions, + 6 anos",Colgate,1 + 1 unidade grátis,"1,05 €","1,05 €/Unidade"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Salsichão fuet nobreza,Elpozo,Embalagem de 200 g,"1,35 €","16,88 €/Kg"
Ambientador carro difusor aqua,Ambipur,1 unidade,"1,99 €","1,99 €/Unidade"
Marmelada em cubos,Ferbar,Embalagem de 200g,"1,09 €","2,42 €/Kg"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
"Frigideira anti-aderente, 28cm",PorSi,1 unidade,"14,99 €","14,99 €/Unidade"
Palito com pele original style,MCCAIN,Embalagem de 500g,"1,39 €","1,39 €/Kg"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
"Jogo ""Da Banho ao Cão""",Concentra,1 unidade,"11,99 €/Unidade","11,99 €/Unidade"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Doce light alperce,PorSi,Embalagem de 340g,"3,59 €","10,26 €/Kg"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Creme autobrilhante preto,Splendor,40 ml,"0,99 €","330,00 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Biscoitos choco trio,Milka,Embalagem de 150g,"0,79 €","5,27 €/Kg"
"Papel higiénico, seda, folha tripla, 4+2 rolos",Foxy,1 embalagem,"1,99 €","1,99 €/Unidade"
Xarope de chocolate zero,Prozis,Embalagem de 290g,"3,99 €","7,98 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Compasso Origin 3 peças,Maped,Uma embalagem,"4,29 €","4,29 €/Unidade"
Conjunto Urban Floral,Nike,PERFUME 100ML + LOÇÃO CORPORAL 75ML + GEL DE BANHO 75ML,"9,99 €","9,99 €/Unidade"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"1,64 €","6,56 €/Kg"
Queijo curado -30% gordura,Casteloes,500 g,"2,00 €","7,99 €/Kg"
Inseticida vaporizador,Biokill,Embalagem de 375 ml,"4,39 €","10,98 €/L"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Estádio,Beyblade,1 un.,"6,99 €","6,99 €/Unidade"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Iogurte Líquido Frutos Tropicais,PorSi,1 Embalagem 4X160G,"1,17 €","1,83 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Trinca de arroz,PorSi,Embalagem de 5 kg,"12,95 €","3,24 €/Kg"
Tablete de chocolate leite com amêndoas,PorSi Select,200 g,"10,52 €/Kg","10,52 €/Kg"
Casal garcia sweet 750ml/1,Casal Garcia,Garrafa de 750 ml,"2,99 €","2,99 €/L"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Vinho tinto,Pias,Garrafa de 5 l,"5,19 €","1,04 €/L"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Reparador de móveis escuro,Pronto,Embalagem de 100 ml,"4,39 €","14,63 €/L"
Vinho branco arinto bucelas,P.regia,Garrafa de 750 ml,"3,49 €","4,65 €/L"
Champanhe tradicional bruto,Delagne&fi,Garrafa de 750 ml,"34,99 €","46,65 €/L"
Bacalhau à Brás,PorSi,Embalagem de 1 kg,"1,91 €","4,78 €/Kg"
Caneta BL. Eye UB-150 Vermelho,Uni-Ball,1 embalagem,"2,69 €","2,69 €/Unidade"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Boudoirs,Du Bois de la Roche,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
"Óleo de girassol, 3 a's",Fula,Embalagem 1L,"3,39 €","3,39 €/L"
Bolacha tostada diet nature s/ açucares,Gullon,Embalagem de 400g,"1,45 €","11,15 €/Kg"
Bolacha dibus sharkies s/ glúten,Gullon,Embalagem de 250g,"1,89 €","15,75 €/Kg"
"Iogurte, sabor a morango",PorSi,Embalagem de 4 x 125 g,"1,87 €","1,25 €/Kg"
Creme vegetal para barrar,PorSi,Embalagem de 500 g,"5,40 €/Kg","5,40 €/Kg"
Coloração Permanente Preto |1.0,Palette,,"9,49 €/Unidade","9,49 €/Unidade"
Chouriço Extra do Ribatejo,PorSi,200 g,"1,22 €","6,78 €/Kg"
Desodorizante de Pés em Creme,Protex,Embalagem de 100 ml,"3,69 €","24,60 €/L"
Mousse cabelo caracois,Labell,Embalagem de 200ml,"3,99 €","53,20 €/L"
Gomas favoritos classic,Haribo,Embalagem de 90g,"0,89 €","8,90 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
