Nome,Marca,Unidade,Preço Primário,Preço Secundário
Tablete de chocolate amêndoa e caramelo,Milka,Embalagem de 300g,"6,50 €/Kg","6,50 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
"Lava tudo antibacteriano lavanda 1,5l",PorSi,Garrafa de 1.5 l,"1,89 €","1,26 €/L"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Semente pevide abóbora,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Cem porcento-lentilhas vermelhas,Cemporcent,Embalagem de 500g,"1,34 €","2,68 €/Kg"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte Pedaços Amoras/Mirtilo,PorSi,Embalagem 2X135 g,"4,36 €","2,18 €/Kg"
Tostas suecas integrais,Bimbo,embalagem de 234 g,"0,69 €","3,07 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Pão de forma sem côdea 9 cereais,Panrico,Embalagem de 480g,"2,59 €","5,18 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Gressinos com azeitonas pretas,PorSi,Embalagem de 250g,"0,69 €","3,07 €/Kg"
Framboesas 100% Naturais,PorSi,Embalagem de 750 g,"4,99 €","9,98 €/Kg"
Papel higiénico perfumado bouquet folha tripla,Foxy,4 + 2 rolos,"1,99 €","1,99 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Tablete de chocolate choco jelly,Milka,Embalagem de 250g,"2,29 €","17,62 €/Kg"
Aromáticas vivas em vaso,Aroma viva,Embalagem de 1 unidades,"0,89 €","17,80 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Conjunto de medição,Maped,4 peças,"3,29 €","3,29 €/Unidade"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Tofu biológico,PorSi Bio,Embalagem de 300g,"2,99 €","5,98 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Gin dry beefeater,Beefeater,Garrafa de 700 ml,"26,99 €","38,56 €/L"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Posso ser,Barbie,1 unidade,"13,99 €/Unidade","13,99 €/Unidade"
Esfregona Microfibras Eco,Vileda,1 un.,"0,89 €","0,89 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
Queijo de Ovelha S/ Lactose,Seia,1 un = 450 g (aprox.),"4,50 €","17,99 €/Kg"
Sabonete Líquido Original,Dove,Embalagem de 250 ml,"1,19 €","3,97 €/L"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Princesa,Barbie,1 unidade,"22,99 €","22,99 €/Unidade"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Plantanatur gorduras dia e noite refeições,PLANTANATU,Embalagem de 1 unidades,"7,59 €","126,50 €/Kg"
Liquido em gel para WC Hibisco Rosa,Ambipur,Embalagem de 750 ml,"3,19 €","4,25 €/L"
Marmelada em cubos,Ferbar,Embalagem de 200g,"1,09 €","2,42 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Cera liquida amarela,Novycera,Garrafa de 500 ml,"9,19 €","18,38 €/L"
Chocolate single 38g,Toff.crisp,Embalagem de 40g,"11,93 €/Kg","11,93 €/Kg"
Emulsão p/ higiene intima sensitive,Dystron,Embalagem com 200 ml,"7,69 €","19,23 €/L"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Pão de forma sem côdea especial torradas,Panrico,Embalagem de 510g,"2,59 €","5,18 €/Kg"
Vinho regional lisboa tinto reserva,Critterium,Garrafa de 0.75 l,"3,99 €","5,32 €/L"
Doce light alperce,PorSi,Embalagem de 340g,"3,59 €","10,26 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
"Papel higiénico, seda, folha tripla, 4+2 rolos",Foxy,1 embalagem,"1,99 €","1,99 €/Unidade"
Gin dry,Gibson's,Garrafa de 700 ml,"26,99 €","38,56 €/L"
Bolachas mini alfa,Nacional,Embalagem de 120g,"3,09 €","10,30 €/Kg"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Cebolinho vaso aromáticas vivas,Aroma viva,Embalagem de 1 unidades,"0,89 €","17,80 €/Kg"
Bife da Vazia,Novilho,Vendido ao peso a partir de 800 g,"6,39 €","7,99 €/Kg"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Maçã starking 60/65 categoria II Programa Origens,PorSi,Embalagem de 1.5 kg,"0,32 €","1,79 €/Kg"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Iogurte Líquido Frutos Tropicais,PorSi,1 Embalagem 4X160G,"1,17 €","1,83 €/Kg"
Chá de gengibre,PLANTANATU,Embalagem de 20g,"1,19 €","1,19 €/Unidade"
Fita Adesiva Brico Facil Especial Dupla Face,Ceys,1 unidade,"3,19 €","3,19 €/Unidade"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Vinho tinto cotes du rhone,Expert Club,Garrafa de 75 cl,"6,89 €","9,19 €/L"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Cerveja Inedit,Estrella Damm,Garrafa de 0.75Lt,"1,99 €/L","1,99 €/L"
Gel Íntimo Fresh,Corine de Farme,Embalagem de 250 ml,"7,69 €","19,23 €/L"
Reparador de móveis escuro,Pronto,Embalagem de 100 ml,"4,39 €","14,63 €/L"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Abacate categoria II,Fruta do Dia,Embalagem de 300 g,"2,35 €","4,69 €/Kg"
"Creme Hidratante de Dia, pele normal",Bioten,Embalagem de 50 ml,"2,99 €","59,80 €/L"
4 Potes,Play-Doh,1 Embalagem,"6,99 €","6,99 €/Unidade"
Bacalhau à Brás,PorSi,Embalagem de 1 kg,"1,91 €","4,78 €/Kg"
Grelo Nabo Programa Origens,PorSi,1 un= 1 kg (aprox.),"0,75 €","2,49 €/Kg"
Gelatina zero % pêssego,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Boudoirs,Du Bois de la Roche,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
"Óleo de girassol, 3 a's",Fula,Embalagem 1L,"3,39 €","3,39 €/L"
Plumas de porco preto,PorSi Select,250 g,"4,89 €","4,89 €/Kg"
Preparado de bolo de iogurte,PorSi,500 g,"2,99 €","6,64 €/Kg"
Bolacha tostada diet nature s/ açucares,Gullon,Embalagem de 400g,"1,45 €","11,15 €/Kg"
Bolacha dibus sharkies s/ glúten,Gullon,Embalagem de 250g,"1,89 €","15,75 €/Kg"
"Iogurte, sabor a morango",PorSi,Embalagem de 4 x 125 g,"1,87 €","1,25 €/Kg"
Coloração Permanente Preto |1.0,Palette,,"9,49 €/Unidade","9,49 €/Unidade"
Chouriço Extra do Ribatejo,PorSi,200 g,"1,22 €","6,78 €/Kg"
Mousse cabelo caracois,Labell,Embalagem de 200ml,"3,99 €","53,20 €/L"
Chourico vinho das beiras,PorSi,Embalagem de 280g,"1,22 €","6,78 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Lenços Bolso 15X10 3f,PorSi,1 Unidade,"0,89 €","0,89 €/Unidade"
Prepar arroz marisco sem gluten cv 0.8kg,Brasmar,Embalagem de 800g,"1,91 €","4,78 €/Kg"
Iogurte grego natural magro,PorSi Viva Bem,Embalagem de 1 kg,"0,65 €","1,30 €/Kg"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Mousse limpeza refresh,Labell,Embalagem com 150ml,"12,48 €/L","12,48 €/L"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","0,89 €","0,89 €/L"
Cobertura de tartes,Vahine,Embalagem de 20g,"1,89 €","17,18 €/Kg"
Cereais all bran,Kellogg's,Embalagem de 380g,"5,59 €","8,87 €/Kg"
Queijo 3 igrejas cura de 1. 5meses,Saloio,Embalagem de 470g,"7,99 €","17,76 €/Kg"
Muesli tropical,Cemporcent,Embalagem de 500g,"0,69 €","1,73 €/Kg"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Óleo extra virgem de coco,Origensbio,Garrafa de 500 ml,"3,39 €","3,39 €/L"
Taolhão de banho,PorSi,100 x 150 cm,"20,99 €","20,99 €/Unidade"
"Fraldas Dry Fit, 12-25kg - Tamanho 5",Chicco,Embalagem de 34 unidades,"6,49 €","6,49 €/Unidade"
Snack para cão biscuit original,Friskies,Embalagem de 650 g,"3,39 €","18,83 €/Kg"
Iogurte fruta batida morango,Mimosa,Embalagem de 480g,"1,49 €","2,98 €/Kg"
Bolachas recheadas com morango e cheesecake,Oreo,Embalagem de 150g,"0,79 €","4,49 €/Kg"
Iogurte pedaços frutimax frutos variados,PorSi,Embalagem de 8 x 125 g,"4,36 €","2,18 €/Kg"
Bolachas belgas manteiga,PorSi,Embalagem de 250g,"1,69 €","6,76 €/Kg"
Detergente liquido para máquina de lavar roupa activ...,Skip,Embalagem de 80 doses,"13,99 €","3,29 €/L"
Leite condensado,Nestle,Embalagem de 370g,"1,09 €","2,75 €/Kg"
