Nome,Marca,Unidade,Preço Primário,Preço Secundário
Filtro Chá Aço Inoxidável,Gratta,1 unidade,"3,55 €","3,55 €/Unidade"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Água s/ gás limão,Luso,Garrafa de 1 l,"1,79 €","0,33 €/L"
Mix de sementes tradicional,Cemporcent,Embalagem de 250g,"1,49 €","1,49 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Salsichas cocktail,PorSi,Lata com 180 g,"0,75 €","3,75 €/Kg"
Pera conference categoria: II,*,Vendido ao peso a partir de 300 g,"0,27 €","1,49 €/Kg"
Água sem gás,Vitalis,Garrafa de 0.5 l,"1,79 €","0,33 €/L"
Papel higiénico perfumado bouquet folha tripla,Foxy,4 + 2 rolos,"1,99 €","1,99 €/Unidade"
Batman Helicóptero Rádio Controlo,Mondo,1 unidade,"24,99 €/Unidade","24,99 €/Unidade"
Granola + classica,Cemporcent,Embalagem de 375g,"1,49 €","1,49 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Elimina odores para calçado,Kiwi,Embalagem de 100 ml,"1,49 €","1,49 €/Unidade"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Penso de incontinência normal,Ausonia Discreet,Embalagem de 12 un.,"7,99 €","7,99 €/Unidade"
"Iogurte pedaços, frutimax muesli",PorSi,Embalagem de 4 x 125 g,"4,38 €","2,19 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Crepe simples,PorSi,Embalagem de 630g,"3,99 €","7,39 €/Kg"
Atum posta em óleo,Ramirez,Embalagem de 120g,"1,69 €","14,08 €/Kg"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Máquina de barbear mach 3 turbo,Gillette,1 unidade,"1,16 €","4,64 €/L"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
Desinfetante Têxtil,Sanytol,Embalagem de 500 ml,"1,79 €","8,95 €/L"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Arroz estufado,Caçarola,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Lápis de cera,Giotto,embalagem com 12 unidades,"4,69 €","4,69 €/Unidade"
