Nome,Marca,Unidade,Preço Primário,Preço Secundário
Super tea detox com selénio,Tetley,Embalagem de 40g,"1,19 €","59,50 €/Kg"
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Infusão de camomila,Tetley,Embalagem de 10g,"0,79 €","60,77 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Peito de frango,PorSi,Embalagem de 400 g,"1,05 €","2,99 €/Kg"
Barras Cereais Go Free Corn Flakes s/ Glúten,Nestle,Embalagem de 88g,"2,69 €","10,76 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"1,69 €","1,69 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"16,99 €/Unidade","16,99 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Tosta integral de alfarroba,Cemporcent,Embalagem de 250g,"2,09 €","8,36 €/Kg"
Choco limpo congelado,PorSi,Vendido ao peso a partir de 200 g (aprox.),"12,99 €/Kg","12,99 €/Kg"
Vinho tinto,Adega grande,Garrafa de 75 cl,"2,99 €","3,99 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Peito frango fatias finas,PorSi,Embalagem de 150g,"2,25 €","11,25 €/Kg"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Leite com sabor a baunilha proteína,Yopro,Garrafa de 330 ml,"1,79 €","8,14 €/L"
Ovos Frescos de Galinhas Criadas ao Ar Livre Classe:...,PorSi Bio,Embalagem com 6 unidades,"2,19 €","2,19 €/Unidade"
Iogurte Natural Oikos,Danone,Embalagem de 900g,"0,99 €","1,98 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Salsichas cocktail,PorSi,Lata com 180 g,"0,75 €","3,75 €/Kg"
Gressinos com azeitonas pretas,PorSi,Embalagem de 250g,"0,69 €","3,07 €/Kg"
Papel higiénico perfumado bouquet folha tripla,Foxy,4 + 2 rolos,"1,99 €","1,99 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Brandy,ON/OFF,Garrafa de 700 ml,"8,99 €","12,84 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Batata pré-frita palitos finos,PorSi,Embalagem de 1 kg,"3,15 €","4,20 €/Kg"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Conjunto de medição,Maped,4 peças,"3,29 €","3,29 €/Unidade"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Espadilha congelada,Peixe Congelado,Pescado no mar,"4,39 €","10,98 €/Kg"
