Nome,Marca,Unidade,Preço Primário,Preço Secundário
Pão com chouriço,Pastelaria do Dia,1 unidade = 90 g,"0,65 €","0,65 €/Unidade"
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Guardanapos 2 folhas vermelhos e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Lava tudo lavanda,Cif,"Garrafa de 1,4 l","0,98 €","0,49 €/L"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Água destilada,PorSi,Garrafão de 5 l,"11,99 €","11,99 €/Unidade"
Vinho branco doce regional península de setúbal,Q.camarate,Garrafa de 750 ml,"7,99 €","10,65 €/L"
Sementes de linhaça dourada,PorSi Viva Bem,Embalagem de 250 g,"1,49 €","9,93 €/Kg"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Big burger frango,Capitão Iglo,Embalagem de 230g,"3,49 €","8,73 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Lixívia Denso-Activa Harmonias Florais p/ Casa e Rou...,Neoblanc,Embalagem de 2 l,"1,79 €","0,36 €/L"
Água mineral natural alcalina,MONCHIQUE,"6x1,5l","0,89 €","0,18 €/L"
Azeitona verde descaroçada,CANTOLIVA,Embalagem de 360 g,"1,29 €","6,14 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Cadeira de refeição campus,Dorel,1 unidade,"69,99 €","69,99 €/Unidade"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Tomilho,PorSi,20 g,"0,79 €","15,80 €/Kg"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Vela com número nº 5,PorSi,1 unidade,"0,49 €","0,49 €/Unidade"
Pensos Higiénicos Cottonlike Noite Alas,Evax,embalagem de 9 unidades,"4,99 €","4,99 €/Unidade"
Recarga Panos p/ Madeira,Swiffer,18 un.,"1,69 €","1,69 €/Unidade"
Molho bechamel,PorSi,Embalagem de 200g,"0,69 €","2,30 €/Kg"
Biscoitos canudinho recheio cacau,PorSi,Embalagem de 300g,"2,49 €","8,30 €/Kg"
Tomates Mini Kumato Biológicos,PorSi Bio,± 200 g,"0,38 €","1,89 €/Kg"
Bolachas waffers morango,PorSi,Embalagem de 210g,"0,89 €","4,24 €/Kg"
Detergente em pó máquina de lavar roupa lavanda,PorSi,75 doses,"9,79 €","2,07 €/Kg"
"Refrigerante com gás, ananás",Sumol,"Garrafa de 1,25 l","0,79 €","0,40 €/L"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Casal garcia sweet 750ml/1,Casal Garcia,Garrafa de 750 ml,"2,99 €","2,99 €/L"
Bife do Lombo,Vitelão,1 un = 100 gr (aprox.),"6,71 €","8,39 €/Kg"
"Sacos para sandes, 100 unidades",PorSi,1 embalagem,"1,39 €","1,39 €/Unidade"
Milho para pipocas,Globo,Embalagem de 400g,"0,75 €","7,50 €/Kg"
Chá vermelho e hortelã,Diese,Embalagem de 10 unidades,"0,85 €","65,38 €/Kg"
Cabeça de Aipo,Legumes do Dia,1 un = 500 g (aprox.),"0,62 €","2,49 €/Kg"
Chá de menta e eucalipto,Lipton,20 saquetas,"44,50 €/Kg","44,50 €/Kg"
Sopa rabo de boi económica,Knorr,Embalagem de 60g,"0,69 €","11,13 €/Kg"
Pasta de açúcar branco,PorSi,250 g,"1,39 €","1,39 €/Kg"
Bolachas mini prince recheadas com chocolate,PRINCE,Embalagem de 160 g,"0,75 €","5,00 €/Kg"
Lambrusco bianco,*,Garrafa de 750 ml,"6,39 €","8,52 €/L"
"Coloração permanente, caramelo avelã, nº 6.41",Excellence,1 unidade,"6,99 €","6,99 €/Unidade"
Bebida láctea crescimento 3 anos+,Nestle,Embalagem de 1 litro,"0,25 €","1,25 €/L"
Royal gelatin,Royal,Embalagem de 400g,"0,89 €","2,23 €/Kg"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Bolachas starship tradicional,PorSi,Embalagem de 150g,"0,89 €","5,93 €/Kg"
Morangos 100% Naturais,PorSi,Embalagem de 750 g,"2,99 €","3,99 €/Kg"
Pasta de amendoim com pedaços,Cemporcent,Embalagem de 200g,"5,99 €","19,97 €/Kg"
Delícia de bolacha,PorSi,Embalagem de 2x135 g,"0,49 €","2,45 €/Kg"
"Chocolate kit kat, single",Kit kat,Embalagem de 40g,"11,93 €/Kg","11,93 €/Kg"
Lata de Brilho Preto,Búfalo,Embalagem de 75 ml,"0,99 €","19,80 €/L"
Choco limpo 10/30,Pescanova,Embalagem de 500g,"4,99 €","6,24 €/Kg"
Bolachas cream cracker,PorSi,Embalagem de 200g,"0,37 €","2,96 €/Kg"
Leite uht magro com rosca,PorSi,1 litro,"0,81 €","0,81 €/L"
Camarão 30/40,Cozido de Aquicultura,1 un = 250 gr  (aprox.),"2,00 €","7,99 €/Kg"
Legumes grelhados,PorSi,Embalagem de 750g,"1,69 €","1,69 €/Kg"
