Nome,Marca,Unidade,Preço Primário,Preço Secundário
Filtro Chá Aço Inoxidável,Gratta,1 unidade,"3,55 €","3,55 €/Unidade"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Tosta rica oceanix 160g,Cuetara,Embalagem de 160g,"3,79 €","21,06 €/Kg"
Leite uht sem lactose magro,PorSi Viva Bem,1 litro,"1,09 €","1,09 €/L"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Queijo fatias -50% gordura,Terra Nostra,Embalagem de 400g,"1,96 €","9,80 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Cem porcento-lentilhas vermelhas,Cemporcent,Embalagem de 500g,"1,34 €","2,68 €/Kg"
Crescido,Bacalhau da Islândia,1 un = 1.5 kg (aprox.),"8,73 €/Kg","8,73 €/Kg"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Iogurte magro morango,Longa vida,Embalagem de 6 x 120 g,"1,44 €","2,88 €/Kg"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Goela,Porco,Vendido ao peso,"4,99 €","4,99 €/Kg"
Iogurte líquido morango,PorSi,Embalagem de 8x160 ml,"1,31 €","2,05 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Framboesas 100% Naturais,PorSi,Embalagem de 750 g,"4,99 €","9,98 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Farinheira do fundão,PorSi,Embalagem de 250g,"2,35 €","13,06 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
"Queijo curado, amanteigado",Paiva,Embalagem de 550g,"4,00 €","15,99 €/Kg"
Pó Compacto Classic Beige 006,Rimmel,1 unidade,"9,99 €","9,99 €/Unidade"
Renovador Camurça em Spray Preto,Búfalo,Embalagem de 250 ml,"5,09 €","20,36 €/L"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Chocolate negro com coco,Cemporcent,Embalagem de 125g,"2,89 €","23,12 €/Kg"
Caixa de Ameixa C/ Caroço,Ferbar,Embalagem de 230 g,"1,00 €","3,99 €/Kg"
Cappuccino café arábica cacau magro em pó,PorSi,250 ml,"1,99 €","15,92 €/Kg"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Lança dardos Iron Man,Avengers,1 un.,"24,99 €/Unidade","24,99 €/Unidade"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
Robô Cãozinho Dackel,Ycoo,1 unidade,"49,99 €/Unidade","49,99 €/Unidade"
