Nome,Marca,Unidade,Preço Primário,Preço Secundário
Tablete de chocolate amêndoa e caramelo,Milka,Embalagem de 300g,"6,50 €/Kg","6,50 €/Kg"
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
Galette de Rois Maçã,*,100 g,"1,19 €","1,19 €/Unidade"
Recarga rolo tira pelos,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Vinho tinto,Adega grande,Garrafa de 75 cl,"2,99 €","3,99 €/L"
Camisola segunda pele 30D preto t. único,PorSi,1 unidade,"4,69 €","4,69 €/Unidade"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Spray casa de banho,Neoblanc,Embalagem de 500 ml,"2,59 €","1,30 €/L"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Muesli Frutas,PorSi,500 g,"2,45 €","4,90 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Salsichas cocktail,PorSi,Lata com 180 g,"0,75 €","3,75 €/Kg"
"Rolos de cozinha compactos, branco, 2 unidades",PorSi,Uma embalagem,"1,09 €","1,09 €/Unidade"
"Atacador redondo, castanho, 60cm 3916",Sonaf,1 unidade,"5,29 €","35,27 €/L"
Tablete de chocolate choco jelly,Milka,Embalagem de 250g,"2,29 €","17,62 €/Kg"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Spray silicone,Arbo,Embalagem de 600 ml,"3,49 €","13,96 €/L"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Discos de algodão para bebé,PorSi,60 unidades,"3,99 €","3,99 €/Unidade"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Creme de agrião,Sopas Graciete,Garrafa de 400 ml,"1,99 €","2,49 €/Kg"
Panquecas,Condi,Embalagem de 400g,"1,69 €","8,45 €/L"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Tomates Cereja Vermelhos,PorSi Bio,Emb.: ± 200 g,"1,49 €","7,45 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Doce light framboesa,PorSi,Embalagem de 340g,"1,65 €","4,85 €/Kg"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Tira Nódoas em Gel Cores,Skip,1.6 l,"1,79 €","8,95 €/L"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Toalha banho bordada,PorSi,80x80 cm,"4,99 €","4,99 €/Unidade"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
Desinfetante Têxtil,Sanytol,Embalagem de 500 ml,"1,79 €","8,95 €/L"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Caixa Cubo Pearls,Jacquot,Embalagem de 200g,"1,59 €","31,80 €/Kg"
Cerveja preta,Sagres,pack de 6 x 25 cl,"0,38 €","1,15 €/L"
Coroa de Natal,*,Dim.: 40 cm,"6,99 €/Unidade","6,99 €/Unidade"
Palito com pele original style,MCCAIN,Embalagem de 500g,"1,39 €","1,39 €/Kg"
Café lote normal moagem grossa,PorSi,Embalagem de 250 g,"3,49 €","13,96 €/Kg"
Detergente Manual de Loiça Rosa & Cetim,Fairy,Embalagem de 500 ml,"0,99 €","1,98 €/L"
Ambientador elétrico sensual sandalwood & jasmine + ...,Glade,1 unidade,"499,44 €/L","499,44 €/L"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Bala spray,Redex,Embalagem de 400 ml,"3,49 €","13,96 €/L"
Filetes de cavala em azeite virgem extra,Bom Petisco,Embalagem de 120g,"0,89 €","7,42 €/Kg"
"Máquina depiladora descartável, Blue II Feminina",Gillette,Embalagem de 5+1 unidades,"3,29 €","3,29 €/Unidade"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Pensos Higiénicos Cottonlike Normal Abas,Evax,embalagem de 16 unidades,"2,59 €","2,59 €/Unidade"
Feijao catarino,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Gelado magnum mini double framboesa,Olá,Embalagem de 6 x 60 ml,"5,99 €","16,64 €/L"
Anti-Traça Alimentos,Dum Dum,2 unidades,"4,69 €","4,69 €/Unidade"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Iogurte Líquido Frutos Tropicais,PorSi,1 Embalagem 4X160G,"1,17 €","1,83 €/Kg"
Álcool canforado 85%,PorSi,Embalagem de 250 ml,"0,59 €","1,18 €/L"
Limpador,Pronto,Embalagem de 750 ml,"2,29 €","2,29 €/L"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Detergente líquido máquina de roupa lavanda,PorSi,86 Doses,"8,49 €","1,80 €/Kg"
Grelha Quadrada Nº4 Zincada,Jomafe,"32x23 cm, 1 unidade","0,75 €","0,75 €/Unidade"
Trinca de arroz,PorSi,Embalagem de 5 kg,"12,95 €","3,24 €/Kg"
Sobremesa Paturette Caramelo,Páturages,Embalagem de 4x115g,"0,99 €","1,65 €/Kg"
Mel multifloral doseador,PorSi,Embalagem de 250g,"2,25 €","9,00 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
