Nome,Marca,Unidade,Preço Primário,Preço Secundário
Filtro Chá Aço Inoxidável,Gratta,1 unidade,"3,55 €","3,55 €/Unidade"
Gomas de amoras,Fini,Embalagem 100G,"0,99 €","9,90 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
Chourição,Salsicharia Limiana,1 un = 100 gr (aprox.),"1,35 €","16,88 €/Kg"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Gomas tijolos ácidos,PorSi,Embalagem de 300 g,"0,99 €","9,90 €/Kg"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Fusível ficha 7. 5/30a,Ecauto,1 unidade,"6,99 €","6,99 €/Unidade"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Whiskey bourbon,J.daniels,Garrafa de 700 ml,"32,99 €","47,13 €/L"
Filetes primavera limão,Iglo,Embalagem de 230g,"3,99 €","13,30 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Bebida de soja-arroz,Shoyce,Garrafa de 1 l,"2,19 €","2,19 €/L"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Garrafa de Água desporto,Lock&Lock,cap.: 350 ml,"6,99 €","6,99 €/Unidade"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,39 €","5,39 €/L"
Termo drena rapid,PLANTANATU,Garrafa de 500 ml,"4,49 €","179,60 €/Kg"
Cappucino go chill com aveia biológica,Delta,Embalagem de 230 ml,"15,92 €/Kg","15,92 €/Kg"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Iogurte Pedaços Amoras/Mirtilo,PorSi,Embalagem 2X135 g,"4,36 €","2,18 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Ovos Frescos de Galinhas Criadas ao Ar Livre Classe:...,PorSi Bio,Embalagem com 6 unidades,"2,19 €","2,19 €/Unidade"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
"Chá solúvel adelgass plus (chá verde, fibras e algas...",Cemporcent,Embalagem de 45g,"0,99 €","76,15 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Nancy Um Dia A Fazer Madeixas,Nancy,1 un.,"8,39 €","8,39 €/Unidade"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
"Jogo ""Quem sou eu?""",Clementoni,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
Conjunto de medição,Maped,4 peças,"3,29 €","3,29 €/Unidade"
Chá de infusão salutem nº 05 - prolax 10 saquetas,Salutem,Embalagem de 15g,"0,99 €","76,15 €/Kg"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Açaí superelemento (10 saquetas),Cemporcent,Embalagem de 25g,"1,99 €","45,23 €/Kg"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Chocolate negro com coco,Cemporcent,Embalagem de 125g,"2,89 €","23,12 €/Kg"
Rojões,Porco,1 un = 250 gr  (aprox.),"1,20 €","4,78 €/Kg"
Pernil,Porco,1 un = 1 kg (aprox.),"1,20 €","4,78 €/Kg"
Panquecas,Condi,Embalagem de 400g,"1,69 €","8,45 €/L"
Gin dry beefeater,Beefeater,Garrafa de 700 ml,"26,99 €","38,56 €/L"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Gel de banho bio kids,Corine de Farme,300 ml,"6,49 €","8,65 €/L"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Tablete de chocolate leite/amêndoa,Nestle,Embalagem de 120g,"10,52 €/Kg","10,52 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Ovos classe xl,PorSi,6 unidades,"1,39 €","1,39 €/Unidade"
Sortido tradição,Frusel,Embalagem de 250 g,"1,89 €/Kg","1,89 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Alface Lisa,Programa Origens,1 un = 400 g (aprox.),"1,60 €","3,99 €/Kg"
Crescido,Bacalhau da Noruega,1 un = 1.5 kg (aprox.),"16,49 €","10,99 €/Kg"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Contentor para água dobrável,Camp Active,Cap.: 10 L,"9,99 €","9,99 €/Unidade"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Chá solúvel peso ideal,Cemporcent,Embalagem de 45g,"0,99 €","76,15 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Salsichão fuet nobreza,Elpozo,Embalagem de 200 g,"1,35 €","16,88 €/Kg"
Ambientador carro difusor aqua,Ambipur,1 unidade,"1,99 €","1,99 €/Unidade"
Marmelada em cubos,Ferbar,Embalagem de 200g,"1,09 €","2,42 €/Kg"
Chá preto infusão bio,Cemporcent,Embalagem de 13g,"0,99 €","76,15 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Lápis de cera,Giotto,embalagem com 12 unidades,"4,69 €","4,69 €/Unidade"
Chupas Party Mix,PorSi,150 g,"3,70 €","52,86 €/Kg"
Iogurtes Corpos Danone Pedaços de Coco,Danone,Embalagem de 4 x 115 g,"4,36 €","2,18 €/Kg"
Palito com pele original style,MCCAIN,Embalagem de 500g,"1,39 €","1,39 €/Kg"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
"Gel para o cabelo, pasta remix",Studio Line,Embalagem de 150 ml,"4,19 €","16,76 €/L"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Chá de infusão salutem nº 18 - camomila 10 saquetas,Salutem,Embalagem de 15g,"0,99 €","76,15 €/Kg"
Vinho regional lisboa tinto reserva,Critterium,Garrafa de 0.75 l,"3,99 €","5,32 €/L"
Alho Seco,Programa Origens,Vendido a partir de 100 gr,"0,65 €/Kg","0,65 €/Kg"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Doce de pêssego com frutose,Salutem,Embalagem de 330g,"3,99 €","7,98 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Biscoitos choco trio,Milka,Embalagem de 150g,"0,79 €","5,27 €/Kg"
Nestlé® smarties® drageias de chocolate de leite 38g,SMARTIES,Embalagem de 40g,"2,29 €","17,62 €/Kg"
Gin dry,Gibson's,Garrafa de 700 ml,"26,99 €","38,56 €/L"
Filetes de cavala em azeite virgem extra,Bom Petisco,Embalagem de 120g,"9,08 €/Kg","9,08 €/Kg"
Bolachas mini alfa,Nacional,Embalagem de 120g,"3,09 €","10,30 €/Kg"
Chá solúvel cidreira,Cemporcent,Embalagem de 60g,"0,99 €","76,15 €/Kg"
Batata Branca,Legumes do Dia,10 kg,"0,65 €/Kg","0,65 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Frutose,Cemporcent,Embalagem de 250g,"1,94 €","3,88 €/Kg"
Xarope de chocolate zero,Prozis,Embalagem de 290g,"3,99 €","7,98 €/Kg"
Gelado magnum mini double framboesa,Olá,Embalagem de 6 x 60 ml,"5,99 €","16,64 €/L"
Farinha soja,Salutem,Embalagem de 400g,"2,29 €","15,27 €/Kg"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Amaciador Roupa Chá Branco & Peônia,Vernel,76 doses,"3,74 €","3,74 €/Unidade"
