Nome,Marca,Unidade,Preço Primário,Preço Secundário
Azeite,Oliveira da Serra,Embalagem de 750 ml,"8,59 €","4,30 €/L"
Gelatina pronta a comer light 10 kcal mirtilo,Royal,Embalagem de 4 x 100 g,"2,29 €","5,73 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Ambientador vela odor tabaco,PorSi,1 unidade,"4,99 €","4,99 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Toucinho Fumado,PorSi,fatiado a partir de 100 gr,"2,79 €","9,30 €/Kg"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Whisky 15 Anos c/ Tubo,Glen Crinan,Garrafa de 0.70 l,"19,99 €","19,99 €/L"
Camisola segunda pele 30D preto t. único,PorSi,1 unidade,"4,69 €","4,69 €/Unidade"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Cenoura biológica,PorSi Bio,Embalagem de aprox. 600 g,"0,79 €/Kg","0,79 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Lambrusco rosé,Cavicchiol,Garrafa de 750 ml,"6,89 €","9,19 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Desumidificador e Ambientador Mini,HUMYDRY,embalagem de 75g,"4,59 €","61,20 €/Kg"
Gel Creme Get Sleek,Tresemmé,Embalagem de 125 ml,"5,99 €","79,87 €/L"
Crescido,Bacalhau da Islândia,1 un = 1.5 kg (aprox.),"8,73 €/Kg","8,73 €/Kg"
Limpa Motores,PorSi,Embalagem de 1 l,"3,49 €","13,96 €/L"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Muesli Frutas,PorSi,500 g,"2,45 €","4,90 €/Kg"
Framboesas 100% Naturais,PorSi,Embalagem de 750 g,"4,99 €","9,98 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Lombo assado fatiado,PorSi,150 g,"3,49 €","38,78 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Remove Insectos,PorSi,Embalagem de 1 l,"3,49 €","13,96 €/L"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Doce light framboesa,PorSi,Embalagem de 340g,"1,65 €","4,85 €/Kg"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Luvas multiusos relevo antiderrapante, tamanho médio",PorSi,Embalagem de 1 unidades,"2,40 €","2,40 €/Unidade"
Esfregona Microfibras Eco,Vileda,1 un.,"0,89 €","0,89 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
"Forma de papel para bolos, 9 cm, 60 unidades",PorSi,Uma embalagem,"0,99 €","0,99 €/Unidade"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Crepe simples,PorSi,Embalagem de 630g,"3,99 €","7,39 €/Kg"
Gelatina de manga,Koala,Embalagem de 130g,"2,29 €","5,73 €/Kg"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Toalha banho bordada,PorSi,80x80 cm,"4,99 €","4,99 €/Unidade"
Sabonete Líquido Original,Dove,Embalagem de 250 ml,"1,19 €","3,97 €/L"
"Alimento seco para cão, croquetes pro adulto",PorSi Select,Embalagem de 4 Kg,"14,29 €","3,57 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Arroz estufado,Caçarola,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Arroz selvagem,Caçarola,Embalagem de 500 g,"1,26 €","1,26 €/Kg"
Lápis de cera,Giotto,embalagem com 12 unidades,"4,69 €","4,69 €/Unidade"
Bandas de cera axilas/bikini,Labell,Embalagem com 16 un. + 4 toalhitas de acabamento,"1,19 €","1,19 €/Unidade"
Broa de Milho,Pão do Dia,1 unidade= 400 g,"0,19 €","2,38 €/Kg"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Comida húmida para cão mini menu paté frango e cenou...,Friskies,Embalagem de 150g,"0,75 €","2,50 €/Kg"
Polpa tomate biológico,Guloso,Embalagem de 500g,"3,65 €","7,30 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Rúcula Selvagem Programa Origens,PorSi,Embalagem de 100g,"0,99 €","9,90 €/Kg"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Jogo O Corpo humano,Clementoni,1 un.,"16,99 €/Unidade","16,99 €/Unidade"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Fita Adesiva Brico Facil Especial Dupla Face,Ceys,1 unidade,"3,19 €","3,19 €/Unidade"
Arroz vaporizado,Cigala,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Sobremesa Paturette Caramelo,Páturages,Embalagem de 4x115g,"0,99 €","1,65 €/Kg"
Vinho tinto cotes du rhone,Expert Club,Garrafa de 75 cl,"6,89 €","9,19 €/L"
Bio cogumelos shitake,PorSi Bio,Embalagem de 250g,"1,89 €","6,30 €/Kg"
Tablete de chocolate culinário branco,PorSi,Embalagem de 180 g,"2,59 €","14,39 €/Kg"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Ração seca para cão croquetes pro júnior,PorSi Select,Embalagem de 3 Kg,"14,29 €","3,57 €/Kg"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Ovos de Galinhas Criadas ao Ar Livre,PorSi,6 ovos frescos,"1,59 €","1,59 €/Unidade"
Leite infantil confort 1 desde o nascimento,NAN,Embalagem de 800g,"23,99 €","29,99 €/Kg"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
20 saquetas infusão limão gengibre,Lipton,Embalagem de 40g,"58,00 €/Kg","58,00 €/Kg"
Bola de Berlim chocolate,PorSi,85g,"0,30 €/Unidade","0,30 €/Unidade"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Tábua de queijos mistura,Santiago,Embalagem de 270g,"25,45 €/Kg","25,45 €/Kg"
"Alimento húmido para gato júnior, carne",Whiskas,Embalagem de 400g,"2,89 €","7,23 €/Kg"
Folhado de salsichas,Pastelaria do Dia,1 unidade = 110 g,"0,89 €","0,89 €/Unidade"
Delícia de bolacha,PorSi,Embalagem de 2x135 g,"1,56 €","3,90 €/Kg"
Cogumelos inteiros,PorSi,Embalagem de 355 g,"2,19 €","2,81 €/Kg"
Chouriço Extra do Ribatejo,PorSi,200 g,"1,22 €","6,78 €/Kg"
Mistura solúvel tofina despertar,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Sobremesa gelatina de morango,PorSi,Embalagem 4X100G,"2,29 €","5,73 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Batata frita presunto,Ruffles,Embalagem de 150 g,"1,19 €","6,43 €/Kg"
Cartucho com gás CP-206,Campingaz,1 unidade,"2,29 €","2,29 €/Unidade"
Sobremesa gelificada de laranja,PorSi,Embalagem de 4x100g,"2,29 €","5,73 €/Kg"
Iogurte grego natural magro,PorSi Viva Bem,Embalagem de 1 kg,"0,65 €","1,30 €/Kg"
Botija Nórdica,Do Art,,"29,99 €","29,99 €/Unidade"
Super pequeno almoço instantâneo de curcuma e abóbor...,Origensbio,Embalagem de 300 g,"2,49 €","9,96 €/Kg"
