Nome,Marca,Unidade,Preço Primário,Preço Secundário
Eau De Toilette Queen p/ Senhora,Rebel,100 ml,"11,99 €","79,93 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Barras Cereais Go Free Corn Flakes s/ Glúten,Nestle,Embalagem de 88g,"2,69 €","10,76 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Saco de cama criança,Saurium,1 un.,"14,99 €","14,99 €/Unidade"
Queijo Barra Inteiro,Alavão,"Vendido Inteiro, un=1k(aprox)","2,42 €","9,69 €/Kg"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Toucinho Fumado,PorSi,fatiado a partir de 100 gr,"2,79 €","9,30 €/Kg"
Álcool etílico 96º,PorSi,Embalagem de 250 ml,"2,19 €","2,19 €/Unidade"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Queijo fatias -50% gordura,Terra Nostra,Embalagem de 400g,"1,96 €","9,80 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Bebida de soja-arroz,Shoyce,Garrafa de 1 l,"2,19 €","2,19 €/L"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Vinagre de fruta,PorSi,Embalagem de 500 ml,"2,89 €","11,56 €/L"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Cappucino go chill com aveia biológica,Delta,Embalagem de 230 ml,"15,92 €/Kg","15,92 €/Kg"
Iogurte pedaços ananás,PorSi,Embalagem de 4 x 125 g,"1,44 €","2,88 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Goela,Porco,Vendido ao peso,"4,99 €","4,99 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Xarope de groselha,Xarão,Garrafa de 1 l,"2,99 €","2,99 €/L"
Espuma nutritiva para o cabelo caracóis disciplinado...,Pantene,200 ml,"1,17 €","5,85 €/L"
Lava tudo mosaico,Cif,1.1 L,"2,19 €","10,95 €/L"
"Vela em número,  nº 0",PorSi,1 unidade,"0,80 €","0,80 €/Unidade"
Nestum zero espelta/aveia,Nestum,Embalagem de 250 g,"1,99 €","7,96 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Farinheira do Fundão,PorSi,"Vendido ao peso, 1 unidade =200 gr (aprox.)","1,32 €","6,59 €/Kg"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Queijo tres igrejas cura 2 meses,Santiago,Vendido ao peso a partir de 250 gr,"3,35 €","13,39 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Chocolate negro com coco,Cemporcent,Embalagem de 125g,"2,89 €","23,12 €/Kg"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Milho partido,Rac.zezere,Embalagem de 5 kg,"2,49 €","2,49 €/Kg"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Tablete de chocolate leite/amêndoa,Nestle,Embalagem de 120g,"10,52 €/Kg","10,52 €/Kg"
Eau de Toilette Absolute Me,B.U.,50 ml,"11,99 €","79,93 €/L"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
Amido de milho,PorSi,Embalagem de 400g,"1,79 €","21,83 €/Kg"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
"Luvas multiusos relevo antiderrapante, tamanho médio",PorSi,Embalagem de 1 unidades,"2,40 €","2,40 €/Unidade"
Esfregona Microfibras Eco,Vileda,1 un.,"0,89 €","0,89 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Bolachas dinossauros dinoovos,Artiach,Embalagem de 140g,"3,79 €","21,06 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Manteiga magra baixo teor sal,President,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Crepe simples,PorSi,Embalagem de 630g,"3,99 €","7,39 €/Kg"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Farinheira de Sousel,PorSi,1 un = 120 g (aprox.),"1,32 €","6,59 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Plantanatur gorduras dia e noite refeições,PLANTANATU,Embalagem de 1 unidades,"7,59 €","126,50 €/Kg"
Feijão preto,Legumes secos,1 un = 100 gr. (aprox.),"0,33 €","3,29 €/Kg"
Vinagre de vinho tinto,Cristal,Garrafa de 500 ml,"2,89 €","11,56 €/L"
Arroz estufado,Caçarola,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Arroz selvagem,Caçarola,Embalagem de 500 g,"1,26 €","1,26 €/Kg"
Cerveja preta,Sagres,pack de 6 x 25 cl,"0,38 €","1,15 €/L"
Vinagre de vinho branco,Cristal,Garrafa de 750 ml,"2,89 €","11,56 €/L"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Laca volume absoluto,Pantene,Embalagem de 300 ml,"1,17 €","5,85 €/L"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Chocolate single 38g,Toff.crisp,Embalagem de 40g,"11,93 €/Kg","11,93 €/Kg"
Broa de Milho,Pão do Dia,1 unidade= 400 g,"0,19 €","2,38 €/Kg"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Vinho regional lisboa reserva tinto,Mundus,Garrafa de 750 ml,"4,99 €","6,65 €/L"
Manteiga sem sal,Primor,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Anti-traça Maçã Verde,Dum Dum,2 unidades,"3,99 €","3,99 €/Unidade"
Batata doce frita,PorSi,Embalagem de 150g,"1,01 €","5,46 €/Kg"
Doce light alperce,PorSi,Embalagem de 340g,"3,59 €","10,26 €/Kg"
Polpa tomate biológico,Guloso,Embalagem de 500g,"3,65 €","7,30 €/Kg"
Chocolate negro 90% cacau bio,Cemporcent,Embalagem de 100g,"2,89 €","23,12 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Camião de Bombeiros com Escada,Lego,1 unidade,"109,99 €","109,99 €/Unidade"
Cereais corn flakes,Kellogg's,Embalagem de 500g,"3,99 €","7,98 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Frutose,Cemporcent,Embalagem de 250g,"1,94 €","3,88 €/Kg"
"Alimento para peixe, tetra gammarus",Tetra,Embalagem de 250 ml,"10,59 €","42,36 €/L"
Óleo de cedro,Mistolin,Embalagem de 360 ml,"2,19 €","10,95 €/L"
Arroz extra longo branco,Oriente,Embalagem de 1kg,"1,26 €","1,26 €/Kg"
Lombo s/ Osso,Porco,Vendido ao peso a partir de 1 kg,"4,99 €","4,99 €/Kg"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Arroz vaporizado,Cigala,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Sangria,Casal Garcia,Garrafa de 750 ml,"2,19 €","1,46 €/L"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Chá de gengibre,PLANTANATU,Embalagem de 20g,"1,19 €","1,19 €/Unidade"
Trinca de arroz,PorSi,Embalagem de 5 kg,"12,95 €","3,24 €/Kg"
Lixívia WC Gel Higienizante,Neoblanc,Embalagem de 700ml,"1,74 €","0,35 €/L"
Tablete de chocolate leite com amêndoas,PorSi Select,200 g,"10,52 €/Kg","10,52 €/Kg"
Pensos para bolhas,PorSi,20 unidades,"2,19 €","2,19 €/Unidade"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Gel Íntimo Fresh,Corine de Farme,Embalagem de 250 ml,"7,69 €","19,23 €/L"
Limpa madeiras ecológico,PorSi,1.5 litros,"2,19 €","10,95 €/L"
Ovos de Galinhas Criadas ao Ar Livre,PorSi,6 ovos frescos,"1,59 €","1,59 €/Unidade"
Leite infantil confort 1 desde o nascimento,NAN,Embalagem de 800g,"23,99 €","29,99 €/Kg"
Bola de Berlim chocolate,PorSi,85g,"0,30 €/Unidade","0,30 €/Unidade"
Gelatina zero % pêssego,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Bombons Frutos do Mar,PorSi Select,250 g,"5,25 €","26,25 €/Kg"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Fiambre da Pá Selecção,Nobre,Vendido ao peso,"0,97 €","6,49 €/Kg"
Removedor Pêlos 56 Folhas + 33%,Scotch-Brite,1 un.,"10,99 €","52,33 €/Kg"
Bolacha tostada diet nature s/ açucares,Gullon,Embalagem de 400g,"1,45 €","11,15 €/Kg"
