Nome,Marca,Unidade,Preço Primário,Preço Secundário
Tablete de chocolate amêndoa e caramelo,Milka,Embalagem de 300g,"6,50 €/Kg","6,50 €/Kg"
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
"Borracha Technic, 600",Maped,embalagem com 2 unidades,"4,99 €","4,99 €/Unidade"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"16,99 €/Unidade","16,99 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Toucinho Fumado,PorSi,fatiado a partir de 100 gr,"2,79 €","9,30 €/Kg"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Muesli 3 chocolates,PorSi,500 g,"2,24 €","4,48 €/Kg"
Cenoura biológica,PorSi Bio,Embalagem de aprox. 600 g,"0,79 €/Kg","0,79 €/Kg"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Chá verde,Tetley,Embalagem de 20g,"0,89 €","20,70 €/Kg"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Iogurte Natural Oikos,Danone,Embalagem de 900g,"0,99 €","1,98 €/Kg"
Iogurte líquido morango,PorSi,Embalagem de 8x160 ml,"1,31 €","2,05 €/Kg"
Feijão manteiga,PorSi,Embalagem de 420g,"2,19 €","2,81 €/Kg"
Salsichas cocktail,PorSi,Lata com 180 g,"0,75 €","3,75 €/Kg"
Caracol Cozido,*,vendido ao peso,"4,59 €","4,59 €/Kg"
Farinha rainha c/ fermento,Nacional,Embalagem de 1000 g,"0,85 €","0,85 €/Kg"
Framboesas 100% Naturais,PorSi,Embalagem de 750 g,"4,99 €","9,98 €/Kg"
"Rolos de cozinha compactos, branco, 2 unidades",PorSi,Uma embalagem,"1,09 €","1,09 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Tablete de chocolate choco jelly,Milka,Embalagem de 250g,"2,29 €","17,62 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Lixívia Denso-Activa Harmonias Florais p/ Casa e Rou...,Neoblanc,Embalagem de 2 l,"1,79 €","0,36 €/L"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
"Creme de muda de fralda, para bebé",Pommette,Embalagem de 100 ml,"0,44 €","7,33 €/L"
Ração seca para gatinhos frango e legumes,PorSi,Embalagem de 2 kg,"3,25 €","1,63 €/Kg"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
"Iogurte pedaços, frutimax muesli",PorSi,Embalagem de 4 x 125 g,"4,38 €","2,19 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Milho partido,Rac.zezere,Embalagem de 5 kg,"2,49 €","2,49 €/Kg"
Pratos para pic nic 19 cm verdes,PorSi,Embalagem com 6 unidades,"1,99 €","1,99 €/Unidade"
Alho-francês,PorSi,Embalagem de 750 g,"1,65 €","1,65 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
Arroz Risotto,PorSi,Embalagem de 1 kg,"1,35 €","1,35 €/Kg"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Chocolate em pó,Canderel,Embalagem de 250g,"8,59 €/Kg","8,59 €/Kg"
Manteiga magra baixo teor sal,President,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Crescido,Bacalhau da Noruega,1 un = 1.5 kg (aprox.),"16,49 €","10,99 €/Kg"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
"Ice tea, pêssego",PorSi,"Embalagem de 6x0,20 l","0,99 €","0,66 €/L"
Salsichão fuet caseiro,Elpozo,Embalagem de 150g,"0,95 €","9,49 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Iglo Simples P/ 2 Pessoas,Saurium,1 un.,"16,29 €","16,29 €/Unidade"
Broa de Milho,Pão do Dia,1 unidade= 400 g,"0,19 €","2,38 €/Kg"
Caldo de galinha,PorSi,24 cubos,"0,99 €","1,98 €/Kg"
Vinho tinto regional peninsula de setúbal,Fonte nico,Garrafa de 750 ml,"2,99 €","3,99 €/L"
Papa infantil láctea maçã +6 meses,Cerelac,Embalagem de 250g,"4,99 €","4,99 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Pimento verde biológico,PorSi Bio,Embalagem com 500 g (aprox.),"0,75 €","2,99 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Pensos Higiénicos Cottonlike Normal Abas,Evax,embalagem de 16 unidades,"2,59 €","2,59 €/Unidade"
Bife da Alcatra,Novilho,1 un = 250 gr (aprox.),"13,08 €","16,35 €/Kg"
Gelado magnum mini double framboesa,Olá,Embalagem de 6 x 60 ml,"5,99 €","16,64 €/L"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Bases para pizza,PorSi,Embalagem de 3 x 125 g,"1,99 €","5,31 €/Kg"
Café em cápsulas  qonvictus,Delta Q,Embalagem de 55 g,"2,79 €","19,93 €/Kg"
Vinho tinto cotes du rhone,Expert Club,Garrafa de 75 cl,"6,89 €","9,19 €/L"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Feijão branco cozido,PorSi,Embalagem de 820g,"2,19 €","2,81 €/Kg"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Reparador de móveis escuro,Pronto,Embalagem de 100 ml,"4,39 €","14,63 €/L"
Leite infantil confort 1 desde o nascimento,NAN,Embalagem de 800g,"23,99 €","29,99 €/Kg"
Bolachas tosta rica,Cuetara,Embalagem de 570g,"1,99 €","3,11 €/Kg"
Galette de Rois,*,100 g,"8,99 €","11,24 €/Kg"
Grelo Nabo Programa Origens,PorSi,1 un= 1 kg (aprox.),"0,75 €","2,49 €/Kg"
EDT Mulher Nº43 (150ML+EDT 30ML),Caravan,1 unidade,"10,19 €","10,19 €/Unidade"
Boudoirs,Du Bois de la Roche,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Arroz agulha,Pato real,Embalagem de 1 kg,"1,35 €","1,35 €/Kg"
Bolachas mini prince recheadas com chocolate,PRINCE,Embalagem de 160 g,"0,75 €","5,00 €/Kg"
Bolachas marinheiras linhaça,Cemporcent,Embalagem de 200 g,"2,69 €","13,45 €/Kg"
Creme vegetal p/ barrar reduz colesterol,PorSi Viva Bem,250 g,"1,99 €","3,98 €/Kg"
