Nome,Marca,Unidade,Preço Primário,Preço Secundário
Bolachas digestivas go maçã,Triunfo,Embalagem de 170g,"0,71 €","3,55 €/Kg"
Rum carta blanca,Bacardi,Garrafa de 700 ml,"8,99 €","12,84 €/L"
"Tira nódoas, spray oxi",PorSi,Embalagem de 1 l,"2,69 €","2,69 €/L"
Aperitivos 3d's cones,3d's,Embalagem de 90g,"1,39 €","10,69 €/Kg"
Alimento para cão junior,HappyOne,Embalagem de 10 kg,"4,00 €","1,00 €/Kg"
"Champô, repação total 19",Gliss,Embalagem de 250 ml,"1,99 €","4,98 €/L"
Tabuleiro Forno 41x31x6 cm,Rioja IMF,1 unidade,"4,39 €","4,39 €/Unidade"
Atum em azeite,Ramirez,Embalagem de 120g,"1,49 €","12,42 €/Kg"
Ovos classe m,PorSi,6 unidades,"0,84 €","0,84 €/Unidade"
Limpa vidros cristal recarga,Ajax,Embalagem de 500 ml,"2,39 €","4,78 €/L"
Bebida láctea crescimento 3 anos+,Nestle,Embalagem de 1 litro,"1,29 €","1,29 €/L"
Sabonete exfoliante alperce,Labell,Embalagem de 100 g,"2,49 €","6,92 €/Kg"
"Rolos de cozinha compactos, branco, 2 unidades",PorSi,Uma embalagem,"1,09 €","1,09 €/Unidade"
Refresco em pó de morango,PorSi,Embalagem de 40g,"0,64 €","16,00 €/Kg"
Esmagador de nylon cabo áqua,PorSi,1 unidade,"2,25 €","2,25 €/Unidade"
Batata frita rodelas,PorSi,Embalagem de 2x70g,"2,29 €","7,63 €/Kg"
Leite especial crescimento +3 anos,Mimosa,Garrafa de 1 l,"1,29 €","1,29 €/L"
Infusão cidreira,PorSi,Embalagem de 40g,"0,59 €","17,88 €/Kg"
Banco escadote metálico,Tecrilana,1 unidade,"9,95 €","9,95 €/Unidade"
Iogurte arôma de frutos vermelhos,PorSi,Embalagem de 8x125 g,"1,99 €","2,07 €/Kg"
Cappuccino café arábica cacau magro em pó,PorSi,250 ml,"1,99 €","15,92 €/Kg"
Champô anti-caspa,Labell,Embalagem de 400 ml,"1,99 €","4,98 €/L"
Jardineira,PorSi,Embalagem de 400 g,"2,99 €","7,48 €/Kg"
"Leite bem essencial, morango",Mimosa,Embalagem de 200 ml,"1,60 €","2,00 €/L"
Ambientador Stick Tarte da Maçã,Air Wick,Uma Embalagem,"6,99 €","33,29 €/Kg"
Bolacha digestiva go canela,Triunfo,Embalagem de 170g,"0,71 €","3,55 €/Kg"
Snack cão dentafresh pequeno,Pedigree,Embalagem de 110 g,"3,19 €","6,38 €/Kg"
Shampô laranja,Ecauto,"Embalagem de 2,5 l","2,99 €","0,60 €/L"
"Pensos de incontinência, adulto, mini, 20 unidades",Labell,Uma embalagem,"2,25 €","2,25 €/Unidade"
Cadeira Dobrável Antracite,Joluce,1 unidade,"15,99 €","15,99 €/Unidade"
Queijo Curado Vaca/ Cabra/ Ovelha,PorSi,,"3,00 €","11,99 €/Kg"
Refrigerante c/ gás ananás,Sumol,pack 4 x 1.25 l,"0,79 €","0,40 €/L"
Borracha para lápis e tinta,Domédia,1 unidade,"0,49 €","0,49 €/Unidade"
Ervilhas,Iglo,"Embalagem de 1,125 kg","2,99 €","7,48 €/Kg"
Laca Cabelo Criação Volume,Tresemmé,Embalagem de 300 ml,"4,99 €","16,63 €/L"
Queijo Flamengo Fatias,PorSi,Embalagem 500G,"1,04 €","5,20 €/Kg"
Vela com número nº 5,PorSi,1 unidade,"0,49 €","0,49 €/Unidade"
Massa macarronete riscado,PorSi,Embalagem de 500g,"0,49 €","0,98 €/Kg"
Alimento p/ Roedores menu Aroma: Coelhos,Vitakraft,Embalagem de 1Kg,"2,58 €","2,58 €/Kg"
4 hamburgers de vaca,Pescanova,Embalagem de 300 g,"1,99 €","6,22 €/Kg"
Carro Estoril 3 Prateleiras,Petex,1 unidade,"5,49 €","5,49 €/Unidade"
Bolachas maria,Triunfo,Embalagem de 200g,"0,99 €","1,24 €/Kg"
Cueca Incontinência Homem Super S/M,Depend,1 embalagem = 10 unidades,"8,99 €","8,99 €/Unidade"
Máquina de barbear mach 3 turbo,Gillette,1 unidade,"1,12 €","4,48 €/L"
Gelado amêndoa com caramelo,Alpro,Embalagem de 500 ml,"4,99 €","9,98 €/L"
Bandeja Rectangular 40x28cm,Rioja IMF,1 unidade,"4,39 €","4,39 €/Unidade"
Queijo de vaca curado light amanteigado,PorSi,+/- 550 g,"4,49 €","7,81 €/Kg"
"Cera liquida, lava e encera",PorSi,Embalagem de 750 ml,"1,19 €","1,59 €/L"
Recarga tira gorduras,Agerul,embalagem de 750 ml + 150 ml grátis,"1,19 €","1,59 €/L"
Gelado para congelar morango,Sunquick,Embalagem de 10 x 60 ml,"4,99 €","13,86 €/L"
Caramelo líquido,Royal,Embalagem de 400g,"1,19 €","2,98 €/Kg"
"Rebuçados de fruta, diamante",PorSi,Embalagem de 200 g,"0,98 €","4,90 €/Kg"
Forma Desmontável 30x7 cm,Rioja IMF,1 unidade,"7,99 €","7,99 €/Unidade"
Gel de Banho Coconut Milk,Dove,Embalagem de 750 ml,"3,69 €","4,92 €/L"
Arroz agulha,Cigala,Embalagem de 1 kg,"0,89 €","0,89 €/Kg"
As minhas primeiras receitas - refeição legumes com ...,Nestle,Embalagem de 190g,"1,59 €","8,37 €/Kg"
Espátula de tarte inox,Domédia,1 unidade,"5,99 €","5,99 €/Unidade"
Cereais crack star,PorSi,Embalagem de 375 g,"2,09 €","3,34 €/Kg"
Bolacha maria doces,Vieira,Embalagem de 300g,"0,99 €","1,24 €/Kg"
Macchiato café arábica,PorSi,250 ml,"1,99 €","15,92 €/Kg"
Garfo de servir inox,Domédia,1 unidade,"5,99 €","5,99 €/Unidade"
Francesinha,PorSi,Embalagem de 450G,"3,99 €","17,35 €/Kg"
Gomas chicle de macedónia,Fini,Embalagem de 100 g,"0,89 €","8,90 €/Kg"
Salmão Fumado da Escócia,PorSi Select,Embalagem de 80 g,"3,99 €","49,88 €/Kg"
"Gel banho, baunilha",Le Petit Marseillais,Embalagem de 650 ml,"3,24 €","4,32 €/L"
Salsichas cocktail,PorSi,Lata com 180 g,"0,45 €","3,75 €/Kg"
"Sabonete sólido, oliva",Feno,Embalagem de 4x90g,"2,49 €","6,92 €/Kg"
Chá preto frutos vermelhos,PorSi,Embalagem de 40g,"1,24 €","31,00 €/Kg"
Gelatina de morango,PorSi,Embalagem de 170g,"0,64 €","71,11 €/Kg"
Champô para controlo de oleosidade,Linic,Embalagem de 400 ml,"1,99 €","4,98 €/L"
Pão de Milho e Girassol,Panpor,1 unidade 75G,"0,35 €","4,67 €/Kg"
"Champô, anti-caspa",Labell Men,Embalagem de 300 ml,"4,99 €","12,48 €/L"
Forma Pão de Ló Antiaderente 28cm,PorSi,1 unidade,"7,99 €","7,99 €/Unidade"
"Limpa vidros, rosa",Redex,Embalagem de 2 l,"2,99 €","0,60 €/L"
Bolachas recheadas com morango e cheesecake,Oreo,Embalagem de 150g,"1,00 €","3,25 €/Kg"
"Coloração permanente, castanho chocolate, 4/8",Syoss,1 unidade,"8,89 €","8,89 €/Unidade"
Maionese light,PorSi,Frasco de 414 g,"2,29 €","8,81 €/Kg"
Fermento em pó,PorSi,Embalagem de 150 g,"0,95 €","6,33 €/Kg"
Sobremesa gelatina de ananás,PorSi,Embalagem 4X100G,"0,89 €","2,23 €/Kg"
Chocolate culinário 70% cacau,Pantagruel,Embalagem de 200g,"1,66 €","8,30 €/Kg"
Cama de rede,Saurium,Dim.: 180 x 80 cm,"39,99 €","39,99 €/Unidade"
Escorrega KS,Max Smoby,Dim.: 159 x 68 x 100 cm,"15,99 €","15,99 €/Unidade"
Toucinho fumado extra,PorSi,Embalagem de 200 g,"1,99 €","9,95 €/Kg"
Trinca de arroz,PorSi,Embalagem de 1 kg,"4,00 €","1,00 €/Kg"
"Detergente de máquina para roupa, em pó, regular, 8+...",Xau,Embalagem de 684 g,"11,99 €","11,99 €/Unidade"
Farinha de alfarroba bio,PorSi Bio,Embalagem de 200 g,"2,18 €","8,72 €/Kg"
Vinho doc alentejo tinto,Albarrada,Garrafa de 750 ml,"5,99 €","7,99 €/L"
Cereais fitness,Nestle,Embalagem de 630g,"3,39 €","11,30 €/Kg"
Bomba para vinho com 2 tampas,Quittin,1 unidade,"3,75 €","3,75 €/Unidade"
Nuggets de frango grelhadinho,Capitão Iglo,Embalagem de 200g,"3,99 €","13,30 €/Kg"
Surgfire,Nerf,1 un.,"29,99 €","29,99 €/Unidade"
"Sumo 100% laranja, clementina e uva",Paquito,Embalagem de 2 l,"0,99 €","0,66 €/L"
"Azeite extra virgem, azeitonas verdes",Oliveira da Serra,Garrafa de 750 ml,"2,84 €","3,79 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"4,99 €","6,65 €/L"
Puré de batata,Gelcampo,1 kg,"3,29 €","3,29 €/Kg"
Creme para calçado castanho,Splendor,80 ml,"2,49 €","31,13 €/L"
"Gel banho, laranjeira",Le Petit Marseillais,Embalagem de 650 ml,"3,24 €","4,32 €/L"
Easy Stick,Tesa,Embalagem 3x25g,"0,69 €","0,69 €/Unidade"
Esfregona suave completa,Vileda,1 unidade,"1,54 €","1,54 €/Unidade"
Espumante meio seco,Fita dourada,Garrafa de 750 ml,"2,89 €","3,85 €/L"
Cola Vinilika,Giotto,100 ml,"1,49 €","14,90 €/L"
Mesa de Campo,*,Dim.: 70x59 cm,"39,99 €","39,99 €/Unidade"
Refresco pó laranja e morango,PorSi,Embalagem de 40g,"0,64 €","16,00 €/Kg"
Tablete chocolate chips ahoy,Milka,Embalagem de 100g,"1,59 €","17,67 €/Kg"
Refrigerante c/ gás zero,Coca-Cola,pack 4 x 1 l,"0,79 €","0,40 €/L"
Espumante rosé meio seco,Fita dourada,Garrafa de 750 ml,"2,89 €","3,85 €/L"
"Amaciador de roupa concentrado, sun fresh, 80 doses",Comfort,Garrafa de 2 l,"2,19 €","2,19 €/Unidade"
Quiche de legumes,*,155 g,"1,99 €","12,84 €/Kg"
Manteiga com sal,Mimosa,Embalagem de 130g,"1,35 €","5,40 €/Kg"
Palhinhas de papel,PorSi,25 unidades,"0,49 €","0,49 €/Unidade"
Mousse chocolate,PorSi,Embalagem de 150g,"0,55 €","3,67 €/Kg"
Ovos Classe L,PorSi,12 unidades,"0,84 €","0,84 €/Unidade"
Atum ao natural,Ramirez,Embalagem de 120g,"1,49 €","12,42 €/Kg"
Limpa e Lava Vidros Super Wiper,Leifeight,1 unidade,"1,99 €","1,99 €/Unidade"
"Alimento húmido para cão, galinha e cordeiro",Pedigree,Embalagem de 400g,"0,49 €","1,63 €/Kg"
Máquina Barbear Proglide Flexball Power,Gillette,1 unidade,"1,12 €","4,48 €/L"
"Alimento para cão adulto bio complex mix, com frango",HappyOne,Embalagem de 4 kg,"4,00 €","1,00 €/Kg"
Ovas bacalhau,PorSi,Embalagem de 500G,"4,29 €","8,58 €/Kg"
