Nome,Marca,Unidade,Preço Primário,Preço Secundário
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Queijo fatiado cheddar,PorSi,Embalagem de 150 g,"1,39 €","6,95 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
"Vela em número, nº 8",PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Espumante Super Reserva Bruto,Raposeira,Garrafa de 0.75 l,"6,49 €","8,65 €/L"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Marcadores Muda de Cor,Giotto,Embalagem com 8 un.,"4,69 €","4,69 €/Unidade"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Carte d'or cake romantica,Olá,Embalagem de 750 ml,"2,57 €","7,79 €/Kg"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Limpa Motores,PorSi,Embalagem de 1 l,"3,49 €","13,96 €/L"
Cappucino go chill com aveia biológica,Delta,Embalagem de 230 ml,"15,92 €/Kg","15,92 €/Kg"
Iogurte pedaços ananás,PorSi,Embalagem de 4 x 125 g,"1,44 €","2,88 €/Kg"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
"Chá solúvel adelgass plus (chá verde, fibras e algas...",Cemporcent,Embalagem de 45g,"0,99 €","76,15 €/Kg"
Iogurte líquido morango,PorSi,Embalagem de 8x160 ml,"1,31 €","2,05 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Queijo fresco magro,Matinal,Embalagem de 216 g,"1,09 €","5,45 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Óleo alimentar,Vêgê,Embalagem de 1 l,"3,38 €","3,38 €/L"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
"Jogo ""Quem sou eu?""",Clementoni,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
"Limpa móveis pistola, aloé vera",Pronto,Embalagem de 500 ml,"1,29 €","0,86 €/L"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
"Luvas multiusos relevo antiderrapante, tamanho grand...",PorSi,Embalagem de 1 unidades,"0,69 €","0,69 €/Unidade"
Spray silicone,Arbo,Embalagem de 600 ml,"3,49 €","13,96 €/L"
Malagueta Verde,Legumes do Dia,1 un = 100 gr (aprox.),"0,72 €","2,89 €/Kg"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Açaí superelemento (10 saquetas),Cemporcent,Embalagem de 25g,"1,99 €","45,23 €/Kg"
Conjunto de medição,Maped,4 peças,"3,29 €","3,29 €/Unidade"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Chocolate negro com coco,Cemporcent,Embalagem de 125g,"2,89 €","23,12 €/Kg"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Remove Insectos,PorSi,Embalagem de 1 l,"3,49 €","13,96 €/L"
Gel de banho bio kids,Corine de Farme,300 ml,"6,49 €","8,65 €/L"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
Feijão frade,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Massa instantânea com cogumelos,KOKA,Embalagem de 90g,"0,92 €","10,22 €/Kg"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Bolachas digestive aveia e laranja,Gullon,Embalagem de 430g,"0,84 €","2,80 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Halls vita c morango mtp 4x32g,Halls,Embalagem de 4X32G,"0,77 €","3,85 €/Kg"
Massa conchas,Milaneza,Embalagem de 500g,"0,92 €","10,22 €/Kg"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Chá solúvel peso ideal,Cemporcent,Embalagem de 45g,"0,99 €","76,15 €/Kg"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Vela com número nº 3,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Ambientador carro difusor aqua,Ambipur,1 unidade,"1,99 €","1,99 €/Unidade"
Chá preto infusão bio,Cemporcent,Embalagem de 13g,"0,99 €","76,15 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Arroz estufado,Caçarola,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Arroz selvagem,Caçarola,Embalagem de 500 g,"1,26 €","1,26 €/Kg"
"Gel banho, óleo",Nivea,Embalagem de 200 ml,"3,99 €","19,95 €/L"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Recarga para ambientador elétrico flor de cerejeira,Air Wick,19 ml,"11,98 €","11,98 €/Unidade"
Ambientador vela gota anti-tabaco,Air Wick,Embalagem de 1 unidades,"5,99 €","5,99 €/Unidade"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Papa infantil láctea maçã +6 meses,Cerelac,Embalagem de 250g,"4,99 €","4,99 €/Kg"
Chá infusão hibisco,Cemporcent,Embalagem de 13g,"0,99 €","76,15 €/Kg"
Batata doce frita,PorSi,Embalagem de 150g,"1,01 €","5,46 €/Kg"
Massa recheada queijo,Knorr,Embalagem de 250 g,"0,92 €","10,22 €/Kg"
Chocolate negro 90% cacau bio,Cemporcent,Embalagem de 100g,"2,89 €","23,12 €/Kg"
Collant suavidade e conforto muskad 20D,PorSi,Tamanho: s/m,"18,99 €","18,99 €/Unidade"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Vela em número nº4,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
"Anti-calcário, máquina roupa, gel",Calgon,"Garrafa de 1,5 l","2,00 €/L","2,00 €/L"
Rúcula Selvagem Programa Origens,PorSi,Embalagem de 100g,"0,99 €","9,90 €/Kg"
Nestlé® smarties® drageias de chocolate de leite 38g,SMARTIES,Embalagem de 40g,"2,29 €","17,62 €/Kg"
Chá solúvel cidreira,Cemporcent,Embalagem de 60g,"0,99 €","76,15 €/Kg"
Toalhitas Proteção de Cores,Iberia,30 unidades,"10,99 €","52,33 €/Kg"
Frutose,Cemporcent,Embalagem de 250g,"1,94 €","3,88 €/Kg"
Aletria,Milaneza,Embalagem de 500g,"0,92 €","10,22 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Pensos Higiénicos Cottonlike Noite Alas,Evax,embalagem de 9 unidades,"4,99 €","4,99 €/Unidade"
Feijao catarino,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"1,64 €","6,56 €/Kg"
Gelado magnum mini double framboesa,Olá,Embalagem de 6 x 60 ml,"5,99 €","16,64 €/L"
Arroz vaporizado,Cigala,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Massa spaghetti com malagueta,Milaneza,Embalagem de 500g,"0,92 €","10,22 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Bio infusão de menta 10x1.5g,PorSi Bio,Embalagem de 15g,"64,67 €/Kg","64,67 €/Kg"
Chá valeriana,Cemporcent,Embalagem de 40g,"0,99 €","76,15 €/Kg"
Lixívia WC Gel Higienizante,Neoblanc,Embalagem de 700ml,"1,74 €","0,35 €/L"
Sopa de agrião,Knorr,Embalagem de 53g,"1,46 €","24,33 €/Kg"
