Nome,Marca,Unidade,Preço Primário,Preço Secundário
Tablete de chocolate amêndoa e caramelo,Milka,Embalagem de 300g,"6,50 €/Kg","6,50 €/Kg"
Gin Beefeater Light,Beefeater,"Garrafa de 0,70 l","19,79 €","19,79 €/L"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Cebola nova,Programa Origens,1 un = 250 gr  (aprox.),"0,99 €/Kg","0,99 €/Kg"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Whiskey bourbon,J.daniels,Garrafa de 700 ml,"32,99 €","47,13 €/L"
Semente pevide abóbora,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Crescido,Bacalhau da Islândia,1 un = 1.5 kg (aprox.),"8,73 €/Kg","8,73 €/Kg"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,39 €","5,39 €/L"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Drops cafe,Heller,Embalagem de 140g,"1,19 €","4,76 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Lápis de cor 18 cm,Domédia,embalagem com 18 unidades,"4,29 €","4,29 €/Unidade"
Secretos,Porco,1 un = 200 gr (aprox.),"4,89 €","4,89 €/Kg"
Papel higiénico perfumado bouquet folha tripla,Foxy,4 + 2 rolos,"1,99 €","1,99 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Espargos Verdes,Legumes do Dia,embalagem com 250g,"0,62 €","2,49 €/Kg"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
