Nome,Marca,Unidade,Preço Primário,Preço Secundário
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Baguete,PorSi,250 g,"3,12 €/Kg","3,12 €/Kg"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"5,99 €","7,99 €/Kg"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
"Vela em número, nº 8",PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Mini Frutos do Mar,Candycat,Embalagem de 250G,"2,39 €","47,80 €/Kg"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Queijo fatias -50% gordura,Terra Nostra,Embalagem de 400g,"1,96 €","9,80 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Semente pevide abóbora,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Bolacha de aveia e laranja sem glúten,Gullon,Embalagem de 180 g,"4,29 €","20,43 €/Kg"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,39 €","5,39 €/L"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Iogurte líquido morango,PorSi,Embalagem de 8x160 ml,"1,31 €","2,05 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
2 Toalhas de bidé,PorSi,30 x 50 cm,"12,00 €","12,00 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
Magnésio (solúvel),Forma+,Embalagem de 50g,"6,89 €","45,93 €/Kg"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Chá sabugueiro flor,Cemporcent,Embalagem de 50g,"1,25 €","1,25 €/Unidade"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Chocolate negro com coco,Cemporcent,Embalagem de 125g,"2,89 €","23,12 €/Kg"
Panquecas,Condi,Embalagem de 400g,"1,69 €","8,45 €/L"
"Iogurte pedaços, frutimax muesli",PorSi,Embalagem de 4 x 125 g,"4,38 €","2,19 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Toranja,Fruta do Dia,1 un = 300 gr  (aprox.),"0,72 €","3,59 €/Kg"
Gel de banho bio kids,Corine de Farme,300 ml,"6,49 €","8,65 €/L"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Tablete de chocolate leite/amêndoa,Nestle,Embalagem de 120g,"10,52 €/Kg","10,52 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Feijão frade,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Manteiga magra baixo teor sal,President,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Gelatina Light Framboesa,Condi,Embalagem de 2x15g,"0,55 €","61,11 €/Kg"
Crepe simples,PorSi,Embalagem de 630g,"3,99 €","7,39 €/Kg"
Origens bio coco ralado,Origensbio,Embalagem de 200g,"3,99 €","12,09 €/Kg"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Chá sene folículos,Cemporcent,Embalagem de 50g,"1,25 €","1,25 €/Unidade"
Vela com número nº 3,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Ambientador carro difusor aqua,Ambipur,1 unidade,"1,99 €","1,99 €/Unidade"
Marmelada em cubos,Ferbar,Embalagem de 200g,"1,09 €","2,42 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Arroz estufado,Caçarola,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Arroz selvagem,Caçarola,Embalagem de 500 g,"1,26 €","1,26 €/Kg"
Queijo creme de ervas finas,Philadelph,Embalagem de 150g,"3,68 €","13,14 €/Kg"
Chá funcho,PLANTANATU,Embalagem Com 10 saquetas,"1,25 €","1,25 €/Unidade"
Lápis de cera,Giotto,embalagem com 12 unidades,"4,69 €","4,69 €/Unidade"
Redutor de gordura (cápsulas),Forma+,Embalagem de 43g,"6,89 €","45,93 €/Kg"
Palito com pele original style,MCCAIN,Embalagem de 500g,"1,39 €","1,39 €/Kg"
Chocolate single 38g,Toff.crisp,Embalagem de 40g,"11,93 €/Kg","11,93 €/Kg"
Ginkgo biloba,Forma+,Embalagem de 56g,"6,89 €","45,93 €/Kg"
Vinho regional lisboa reserva tinto,Mundus,Garrafa de 750 ml,"4,99 €","6,65 €/L"
Manteiga sem sal,Primor,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Papa infantil láctea maçã +6 meses,Cerelac,Embalagem de 250g,"4,99 €","4,99 €/Kg"
Batata doce frita,PorSi,Embalagem de 150g,"1,01 €","5,46 €/Kg"
Chocolate negro 90% cacau bio,Cemporcent,Embalagem de 100g,"2,89 €","23,12 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Vela em número nº4,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Filetes de cavala em azeite virgem extra,Bom Petisco,Embalagem de 120g,"9,08 €/Kg","9,08 €/Kg"
Frutose,Cemporcent,Embalagem de 250g,"1,94 €","3,88 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Chá peso noite,PLANTANATU,Embalagem de 10 unidades,"1,25 €","1,25 €/Unidade"
Gin dry,Gordons,Garrafa de 700 ml,"19,79 €","19,79 €/L"
Feijao catarino,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Pensos Higiénicos Cottonlike Normal Abas,Evax,embalagem de 16 unidades,"2,59 €","2,59 €/Unidade"
Pastilhas elásticas frost watermelon,Trident Max,Embalagem de 60 g,"0,99 €","61,88 €/Kg"
Pringles hot & spicy,Pringles,Embalagem de 175g,"1,18 €","6,38 €/Kg"
Gelado magnum mini double framboesa,Olá,Embalagem de 6 x 60 ml,"5,99 €","16,64 €/L"
Gestos,Hasbro,1 un.,"11,99 €","11,99 €/Unidade"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Arroz vaporizado,Cigala,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Chá cavalinha,PLANTANATU,Embalagem de 10g,"1,79 €","44,75 €/Kg"
Lixívia WC Gel Higienizante,Neoblanc,Embalagem de 700ml,"1,74 €","0,35 €/L"
Tablete de chocolate leite com amêndoas,PorSi Select,200 g,"10,52 €/Kg","10,52 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Chá solúvel frutos vermelhos,Cemporcent,Embalagem de 45g,"1,25 €","1,25 €/Unidade"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Ovos de Galinhas Criadas ao Ar Livre,PorSi,6 ovos frescos,"1,59 €","1,59 €/Unidade"
Feijão branco bio,PorSi Bio,Frasco com 290 g,"3,99 €","12,09 €/Kg"
Leite infantil confort 1 desde o nascimento,NAN,Embalagem de 800g,"23,99 €","29,99 €/Kg"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
Champagne Brut França,DELALANDE,Garrafa de 0.75 l,"19,99 €","26,65 €/L"
Óleo de salmão,Forma+,Embalagem de 71g,"6,89 €","45,93 €/Kg"
"Creme Hidratante de Dia, pele normal",Bioten,Embalagem de 50 ml,"2,99 €","59,80 €/L"
Sopa de Caldo Verde,Brilha ali,Vendido ao peso,"1,19 €","2,98 €/Kg"
Chá de menta e eucalipto,Lipton,20 saquetas,"44,50 €/Kg","44,50 €/Kg"
Pimenta preta moída margão bio 43g,Margao,Embalagem de 40g,"3,99 €","12,09 €/Kg"
