Nome,Marca,Unidade,Preço Primário,Preço Secundário
Ração para cão mini adulto nutri soft com frango,Friskies,"Embalagem de 1,4 kg","15,69 €","3,92 €/Kg"
Eau De Toilette Queen p/ Senhora,Rebel,100 ml,"11,99 €","79,93 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Detergente líquido máquina de lavar roupa cores escu...,Woolite,56 doses,"2,00 €/L","2,00 €/L"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
Recarga rolo tira pelos,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Asas,Peru,1 un = 500 gr (aprox.),"6,29 €","6,99 €/Kg"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Bebida de soja-arroz,Shoyce,Garrafa de 1 l,"2,19 €","2,19 €/L"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Vinagre de fruta,PorSi,Embalagem de 500 ml,"2,89 €","11,56 €/L"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,39 €","5,39 €/L"
