Nome,Marca,Unidade,Preço Primário,Preço Secundário
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Gomas de amoras,Fini,Embalagem 100G,"0,99 €","9,90 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Castanhas,PorSi,Embalagem de 500G,"4,99 €","9,98 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Chocolate lion,Lion,Embalagem de 40g,"11,92 €/Kg","11,92 €/Kg"
Detergente líquido máquina de lavar roupa cores escu...,Woolite,56 doses,"2,00 €/L","2,00 €/L"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Toucinho Fumado,PorSi,fatiado a partir de 100 gr,"2,79 €","9,30 €/Kg"
Gomas tijolos ácidos,PorSi,Embalagem de 300 g,"0,99 €","9,90 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Toalha de Mesa Anti Nódoas,VZT,Dim.: 150 x 150 cm,"13,99 €","13,99 €/Unidade"
Pilhas Alcalinas AA Optimum,Duracell,Blister 4 Pilhas,"4,09 €","4,09 €/Unidade"
Iogurte Pedaços Amoras/Mirtilo,PorSi,Embalagem 2X135 g,"4,36 €","2,18 €/Kg"
Leite de pastagem meio gordo,Novacores,Embalagem de 1 litro,"0,78 €","0,78 €/L"
Ovos Frescos de Galinhas Criadas ao Ar Livre Classe:...,PorSi Bio,Embalagem com 6 unidades,"2,19 €","2,19 €/Unidade"
Iogurte Natural Oikos,Danone,Embalagem de 900g,"0,99 €","1,98 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Piscina fast set,Bestway,Dim.: 244 x 61 cm,"39,99 €","39,99 €/Unidade"
"Rolos de cozinha compactos, branco, 2 unidades",PorSi,Uma embalagem,"1,09 €","1,09 €/Unidade"
Framboesas 100% Naturais,PorSi,Embalagem de 750 g,"4,99 €","9,98 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Tofu biológico,PorSi Bio,Embalagem de 300g,"2,99 €","5,98 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Agrafador pocket universal nº10,Maped,1 unidade,"17,99 €","17,99 €/Unidade"
Ambientador wood baunilha,Aroma Car,Embalagem de 4 ml + 2 ml grátis,"2,89 €","2,89 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Feijão frade,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Crescido,Bacalhau da Noruega,1 un = 1.5 kg (aprox.),"16,49 €","10,99 €/Kg"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Salsichão fuet caseiro,Elpozo,Embalagem de 150g,"0,95 €","9,49 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Baby jardinagem,Baby Clementoni,1 un.,"19,99 €","19,99 €/Unidade"
"Frigideira anti-aderente, 28cm",PorSi,1 unidade,"14,99 €","14,99 €/Unidade"
Sumo natural de cenoura bio,Cemporcent,Garrafa de 200 ml,"1,19 €","1,86 €/L"
Iogurtes Corpos Danone Pedaços de Coco,Danone,Embalagem de 4 x 115 g,"4,36 €","2,18 €/Kg"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Esferográfica 4 Cores Shine,Bic,1 unidade,"2,49 €","2,49 €/Unidade"
Vinho tinto regional peninsula de setúbal,Fonte nico,Garrafa de 750 ml,"2,99 €","3,99 €/L"
Vinho regional lisboa tinto reserva,Critterium,Garrafa de 0.75 l,"3,99 €","5,32 €/L"
Doce light alperce,PorSi,Embalagem de 340g,"3,59 €","10,26 €/Kg"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Café de mistura ibérica,Delta,Embalagem de 250g,"14,50 €/Kg","14,50 €/Kg"
"Anti-calcário, máquina roupa, gel",Calgon,"Garrafa de 1,5 l","2,00 €/L","2,00 €/L"
Bebida de cereais e café mokambo intenso,Nestle,Embalagem de 180g,"2,29 €","11,45 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Gelado para congelar tropical,Sunquick,Embalagem de 10 x 60 ml,"1,99 €","4,15 €/L"
Feijao catarino,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Kiwi Biológico,PorSi Bio,Emb.: ± 500 g,"0,60 €","2,99 €/Kg"
Salada Ibérica Programa Origens,PorSi,Embalagem de 150 g,"0,99 €","3,96 €/Kg"
Amaciador color-vive,Elvive,Embalagem de 200 ml,"5,59 €","13,98 €/L"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Limpador,Pronto,Embalagem de 750 ml,"2,29 €","2,29 €/L"
Tortilha sem cebola,Dovo,500 g,"2,35 €","5,60 €/Kg"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Linhaça castanha moída,Cemporcent,Embalagem de 200g,"2,29 €","15,27 €/Kg"
Mel multifloral doseador,PorSi,Embalagem de 250g,"2,25 €","9,00 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Pensos peles sensíveis XL,PorSi,5 unidades,"1,69 €","1,69 €/Unidade"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Chá de menta e eucalipto,Lipton,20 saquetas,"44,50 €/Kg","44,50 €/Kg"
Gelatina zero % pêssego,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Bolachas barquette morango,Lu,Embalagem de 120g,"1,99 €","16,58 €/Kg"
Ambientador spray pure colónia de bebé,PorSi,250 ml,"2,99 €","11,96 €/L"
Preparado bolo chocolate,Veg In,Embalagem de 300g,"0,45 €","5,00 €/Kg"
Iogurte bio morango,Páturages,Embalagem de 4 x 125 g,"5,97 €/Kg","5,97 €/Kg"
Álcool canforado 85%,PorSi,Embalagem de 250 ml,"1,69 €","1,69 €/Unidade"
Desentupidor canos,Mr.muscle,Embalagem de 1 l,"4,44 €","5,92 €/L"
Mel de montanha,PorSi Select,Frasco de 250 g,"2,25 €","9,00 €/Kg"
Linhaça dourada e moída,Cemporcent,Embalagem de 200g,"2,29 €","15,27 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Leite uht sem lactose magro,PorSi Viva Bem,1 litro,"0,78 €","0,78 €/L"
Iogurte magro natural,Longa vida,Embalagem de 6 x 120 g,"0,99 €","1,32 €/Kg"
Serpentinas,Mercagranel,Embalagem 20 Rolos,"0,59 €","0,59 €/Unidade"
Anatomia surpreendente,Clementoni,1 unidade,"14,99 €","14,99 €/Unidade"
Boneco Luccas Neto,Concentra,1 unidade,"14,99 €","14,99 €/Unidade"
Muesli tropical,Cemporcent,Embalagem de 500g,"0,69 €","1,73 €/Kg"
