Nome,Marca,Unidade,Preço Primário,Preço Secundário
Gomas de amoras,Fini,Embalagem 100G,"0,99 €","9,90 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cãozinho,Little Live Pets,1 unidade,"11,99 €/Unidade","11,99 €/Unidade"
Moto4 salvamento de animais,Lego,1 unidade,"49,99 €/Unidade","49,99 €/Unidade"
Queijo Barra Inteiro,Alavão,"Vendido Inteiro, un=1k(aprox)","2,42 €","9,69 €/Kg"
Chourição,Salsicharia Limiana,1 un = 100 gr (aprox.),"1,35 €","16,88 €/Kg"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Recarga rolo tira pelos,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"16,99 €/Unidade","16,99 €/Unidade"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Gomas tijolos ácidos,PorSi,Embalagem de 300 g,"0,99 €","9,90 €/Kg"
Camisola segunda pele 30D preto t. único,PorSi,1 unidade,"4,69 €","4,69 €/Unidade"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Bebida de soja-arroz,Shoyce,Garrafa de 1 l,"2,19 €","2,19 €/L"
Plumas de porco preto,PorSi Select,250 g,"0,67 €","4,49 €/Kg"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Chá de maçã e canela,Tetley,Embalagem de 20g,"58,00 €/Kg","58,00 €/Kg"
Dentifríco 2 em 1 menta fresca,Theramed,Embalagem de 75 ml,"3,39 €","45,20 €/L"
Iogurte Natural Oikos,Danone,Embalagem de 900g,"0,99 €","1,98 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Xarope de groselha,Xarão,Garrafa de 1 l,"2,99 €","2,99 €/L"
Vinho do porto lágrima tinto,Ramos Pinto,"Garrafa de 0,75L","9,79 €","13,05 €/L"
Iogurte Pedaços Ananás 0% Matéria Gorda/Açúcares,Danone,4 x 120 g,"2,79 €","6,07 €/Kg"
2 Toalhas de bidé,PorSi,30 x 50 cm,"12,00 €","12,00 €/Unidade"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
"Luvas multiusos relevo antiderrapante, tamanho grand...",PorSi,Embalagem de 1 unidades,"0,69 €","0,69 €/Unidade"
Laranja cortada,PorSi,100 g,"0,66 €","2,19 €/Kg"
Espadilha congelada,Peixe Congelado,Pescado no mar,"4,39 €","10,98 €/Kg"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Chocolate negro com coco,Cemporcent,Embalagem de 125g,"2,89 €","23,12 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Tablete de chocolate leite/amêndoa,Nestle,Embalagem de 120g,"10,52 €/Kg","10,52 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
