Nome,Marca,Unidade,Preço Primário,Preço Secundário
Super tea detox com selénio,Tetley,Embalagem de 40g,"1,19 €","59,50 €/Kg"
Gin Beefeater Light,Beefeater,"Garrafa de 0,70 l","19,79 €","19,79 €/L"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Peito de frango,PorSi,Embalagem de 400 g,"1,05 €","2,99 €/Kg"
Saco de cama criança,Saurium,1 un.,"14,99 €","14,99 €/Unidade"
Laboratório Mecânica Camião de Mina,Clementoni,1 unidade,"16,99 €/Unidade","16,99 €/Unidade"
Batata Roxa Nova Granel,Legumes do Dia,1 un = 250 gr  (aprox.),"1,69 €","3,38 €/Kg"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Aguardente velha,Fim de Século,Garrafa de 700 ml,"11,49 €","16,41 €/L"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Detergente liquido maquina roupa frescura primavera,Xau,80 doses,"13,99 €","3,29 €/L"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte Pedaços Amoras/Mirtilo,PorSi,Embalagem 2X135 g,"4,36 €","2,18 €/Kg"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Delícias do mar s/ glúten,Pescanova,Embalagem de 450 g,"2,99 €","6,64 €/Kg"
Ovos Frescos de Galinhas Criadas ao Ar Livre Classe:...,PorSi Bio,Embalagem com 6 unidades,"2,19 €","2,19 €/Unidade"
Iogurte natural magro sem lactose,Mimosa,Embalagem de 4x 120 g,"2,49 €","11,53 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Xarope de groselha,Xarão,Garrafa de 1 l,"2,99 €","2,99 €/L"
Iogurte Natural Oikos,Danone,Embalagem de 900g,"0,65 €","1,30 €/Kg"
Carro de Corrida de Rua,Lego,1 unidade,"29,99 €","29,99 €/Unidade"
"Vela em número,  nº 0",PorSi,1 unidade,"0,80 €","0,80 €/Unidade"
Iogurte Pedaços Ananás 0% Matéria Gorda/Açúcares,Danone,4 x 120 g,"2,79 €","6,07 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Brandy,ON/OFF,Garrafa de 700 ml,"8,99 €","12,84 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Espargos Verdes,Legumes do Dia,embalagem com 250g,"0,62 €","2,49 €/Kg"
Espremedor,PorSi,1 unidade,"16,49 €","16,49 €/Unidade"
3 Frigideiras com cabo amovível,Bergner,"Dim.: 18, 20 e 24 cm","28,00 €","28,00 €/Unidade"
Livro Quero Conhecer o Meu Mundo,Europrice,1 unidade,"3,59 €","3,59 €/Unidade"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Tofu biológico,PorSi Bio,Embalagem de 300g,"2,99 €","5,98 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Livro Quero Conhecer Cores,Europrice,1 unidade,"3,59 €","3,59 €/Unidade"
Trela Estrangular 120cm,Bribon,1 unidade,"7,99 €","7,99 €/Unidade"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
