Nome,Marca,Unidade,Preço Primário,Preço Secundário
Eau De Toilette Queen p/ Senhora,Rebel,100 ml,"11,99 €","79,93 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Infusão de camomila,Tetley,Embalagem de 10g,"0,79 €","60,77 €/Kg"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Queijo Barra Inteiro,Alavão,"Vendido Inteiro, un=1k(aprox)","2,42 €","9,69 €/Kg"
Chourição,Salsicharia Limiana,1 un = 100 gr (aprox.),"1,35 €","16,88 €/Kg"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Vinho tinto regional península de setúbal,Q.camarate,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Livro Hensel e Gretel,Europrice,1 unidade,"7,50 €/Unidade","7,50 €/Unidade"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Queijo fresco magro,Matinal,Embalagem de 216 g,"1,09 €","5,45 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Chocolate Branco e Óreo,Milka,Embalagem de 100g,"1,09 €","10,90 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Milho partido,Rac.zezere,Embalagem de 5 kg,"2,49 €","2,49 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Salsichão fuet nobreza,Elpozo,Embalagem de 200 g,"1,35 €","16,88 €/Kg"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Croquetes vegetais,PorSi Viva Bem,Embalagem de 220g,"1,99 €","6,63 €/Kg"
Broa de Milho,Pão do Dia,1 unidade= 400 g,"0,19 €","2,38 €/Kg"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Vinho regional lisboa tinto reserva,Critterium,Garrafa de 0.75 l,"3,99 €","5,32 €/L"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Café de mistura ibérica,Delta,Embalagem de 250g,"14,50 €/Kg","14,50 €/Kg"
"Bolachas, cobertura com chocolate branco",Oreo,Embalagem de 250g,"4,60 €/Kg","4,60 €/Kg"
Croissants brioche,s. tomé,Embalagem de 200 g,"7,40 €/Kg","7,40 €/Kg"
Cebolinho vaso aromáticas vivas,Aroma viva,Embalagem de 1 unidades,"0,89 €","17,80 €/Kg"
Gin dry,Gordons,Garrafa de 700 ml,"19,79 €","19,79 €/L"
Recarga Panos p/ Madeira,Swiffer,18 un.,"1,69 €","1,69 €/Unidade"
Roca Dino,Baby Clementoni,1 unidade,"11,99 €/Unidade","11,99 €/Unidade"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Leite creme,PorSi,Embalagem de 4x23g,"1,39 €","6,95 €/L"
Vinho tinto cotes du rhone,Expert Club,Garrafa de 75 cl,"6,89 €","9,19 €/L"
"Creme Hidratante de Dia, pele normal",Bioten,Embalagem de 50 ml,"2,99 €","59,80 €/L"
Chá de menta e eucalipto,Lipton,20 saquetas,"44,50 €/Kg","44,50 €/Kg"
Gelatina zero % pêssego,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Elixir bocal total care,Listerine,Embalagem de 500 ml,"5,89 €","11,78 €/L"
Wafers framboesa barras,Vieira,Embalagem de 150g,"0,98 €","4,67 €/Kg"
Tomate seco,PONTI,Embalagem de 280g,"3,69 €","23,06 €/Kg"
Dentifríco 2 em 1 original,Theramed,Embalagem de 75 ml,"2,99 €","39,87 €/L"
Mistura solúvel tofina despertar,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Liégeois Sobremesa de Café,Páturages,Embalagem de 4x100 g,"0,39 €","1,95 €/Kg"
Chourico vinho das beiras,PorSi,Embalagem de 280g,"1,22 €","6,78 €/Kg"
Louro em folhas,PorSi,30 g,"0,20 €","0,20 €/Kg"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Manteiga sem sal,PorSi,Embalagem com 250 g,"1,69 €","6,76 €/Kg"
Braçadeiras Patrulha Pata,Mondo,1 Embalagem,"34,99 €","34,99 €/Unidade"
Morangos 100% Naturais,PorSi,Embalagem de 750 g,"2,99 €","3,99 €/Kg"
Pasta de amendoim com pedaços,Cemporcent,Embalagem de 200g,"5,99 €","19,97 €/Kg"
Espinafres Arrancar Programa Origens,PorSi,1 un= 1 kg  (aprox. ),"0,45 €","1,49 €/Kg"
Vinho regional tejo 3 castas tinto,Fiuza,Garrafa de 750 ml,"3,99 €","5,32 €/L"
Lata de Brilho Preto,Búfalo,Embalagem de 75 ml,"0,99 €","19,80 €/L"
Leite uht magro com rosca,PorSi,1 litro,"0,81 €","0,81 €/L"
Farinha integral,ESPIGA,Embalagem de 500g,"1,99 €","1,99 €/Kg"
Molho iogurte,PorSi,Garrafa de 285 ml,"0,70 €","2,33 €/Kg"
Patê figado de porco,La piara,Embalagem de 80g,"1,19 €","13,52 €/Kg"
"Queijo flamengo, bola quartos",Agros,Embalagem de 350g,"1,49 €","7,45 €/Kg"
Brandy,Constantin,Garrafa de 700 ml,"11,49 €","16,41 €/L"
Limpa fornos,PorSi,500 ml,"1,29 €","1,72 €/L"
Choco limpo 10/30,Pescanova,Embalagem de 500g,"5,49 €","6,86 €/Kg"
Livro Quero Conhecer Alfabeto,Europrice,1 unidade,"7,50 €/Unidade","7,50 €/Unidade"
Iogurte oikos natural,Danone,Embalagem de 4 x 110g,"1,49 €","2,98 €/Kg"
Gelatina de morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Mini Hambúrguer de Batata Doce e Quinoa Green Cuisin...,Iglo green,Embalagem de 270g,"1,99 €","6,63 €/Kg"
Vinho DOC Trás-os-Montes Tinto,Terras de Mogadouro,750 ml,"7,49 €","9,99 €/L"
Anti-traça Maçã Verde,Dum Dum,2 unidades,"5,99 €","176,18 €/Kg"
Ovos | Classe: M,Ovitae,24 unidades,"1,39 €","1,39 €/Unidade"
Colchão Insuflável p/2 Pessoas,Bestway,1 un.,"4,49 €","4,49 €/Unidade"
Mortadela de peru fatiada,PorSi,Embalagem de 200g,"1,05 €","6,99 €/Kg"
Queijo feta dop grego,Kolios,Embalagem de 200g,"7,45 €/Kg","7,45 €/Kg"
Picanha,Bovino,1 un = 1.250 kg (aprox.),"3,29 €","8,23 €/Kg"
Snack de milho com queijo,Cheetos,Embalagem de 75 g,"0,79 €","7,90 €/Kg"
Máscara tesouros de mel,Garnier,Embalagem de 300 ml,"1,06 €","5,30 €/L"
Amendoim pedaços,Cemporcent,Embalagem de 510g,"5,99 €","19,97 €/Kg"
Posta Tradicional 9 Meses Cura,Riberalves,Embalagem de 550 g,"5,39 €","6,74 €/Kg"
Refrigerante c/ gás zero s/ cafeína,Coca-Cola,pack 6 x 0.33 l,"0,40 €/L","0,40 €/L"
Crackers c/ sal superficie,GRAN PAVES,Embalagem de 250g,"0,39 €","3,12 €/Kg"
Queijo Ralado Mozzarella,Galbani,Embalagem de 150 g,"7,45 €/Kg","7,45 €/Kg"
Queijo ilha ralado,Valformoso,Embalagem de 150g,"7,45 €/Kg","7,45 €/Kg"
Couve flor,PorSi,Embalagem de 750 kg,"1,89 €","1,89 €/Kg"
Iogurte mix-in smarties morango,Nestle,Embalagem de 2 x 128 g,"1,05 €","1,86 €/L"
Vegalia especialidade vegetariana de soja,Nobre,Lata com 8 unidades,"2,09 €","8,36 €/Kg"
Bolacha de manteiga belga original,Saborosa,Embalagem de 220g,"1,69 €","6,76 €/Kg"
Bloco Sanitário Sólido Poder Activo Pinho,Sonasol,Embalagem de 2x50 g,"2,99 €","74,75 €/Kg"
Creme vegetal para barrar de chocolate,Tulicreme,Embalagem de 200g,"4,19 €","12,32 €/Kg"
Papel Higiénico Puríssimo 3 Folhas,Renova,Embalagem c/ 12 rolos,"1,95 €","1,95 €/Unidade"
Caramelo líquido,Royal,Embalagem de 400g,"1,27 €","3,18 €/Kg"
Maçã Granny Smith 70+,Fruta do Dia,1 un = 150 gr (aprox.),"0,34 €","2,29 €/Kg"
Requeijão de vaca,PorSi,Embalagem de 200 g,"1,09 €","5,45 €/Kg"
"Jogo ""Gira a Garrafa""",Concentra,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
Pizza 4 estações,PorSi,Embalagem de 350g,"1,96 €","5,60 €/Kg"
Tampão proteção de confiança,O.B.,1 Embalagem c/32 unidades,"1,39 €","1,39 €/Unidade"
Leite uht sem lactose magro,PorSi Viva Bem,1 litro,"2,19 €","2,19 €/L"
Agar agar gelificante em saquetas,Cemporcent,Embalagem de 8g,"5,99 €","19,97 €/Kg"
"Escova de cabelo, pneumática nylon",Labell,Embalagem com 1 unidade,"2,19 €","2,19 €/Unidade"
"Snack de queijo flamengo, amêndoas e arandos 3x40g",Limiano,Embalagem de 120g,"1,49 €","7,45 €/Kg"
Mistura Cocktail,*,Vendido ao peso,"0,95 €","3,78 €/Kg"
Vinagre de vinho tinto,PorSi,Garrafa de 500 ml,"0,35 €","0,70 €/L"
Bebida de Aveia,PorSi Viva Bem,1 l,"0,99 €","0,99 €/L"
Anéis Empilháveis,Baby Clementoni,1 unidade,"12,99 €/Unidade","12,99 €/Unidade"
Gel WC Desincustrante,Neoblanc,Embalagem de 700 ml,"2,79 €","3,99 €/L"
Bebida aveia-amêndoa,Alpro,Embalagem de 1 litro,"2,19 €","2,19 €/L"
Escova Limpa Vidro Rígida 48cm,Grand Prix,Uma embalagem,"4,99 €","19,96 €/L"
Petit gâteau,PorSi,Embalagem de  4 x 80 g,"2,19 €","6,64 €/Kg"
Rolhas de cortiça,PorSi,6 unidades,"17,99 €","17,99 €/Unidade"
Adubo Liquido,Amaflora,475 ml,"8,99 €","8,99 €/Unidade"
Baby shark com musica,Baby Shark,1 unidade,"11,99 €/Unidade","11,99 €/Unidade"
Queijo curado mistura,PorSi,190 g,"7,49 €","16,64 €/Kg"
Redex magic spray,Redex,Embalagem de 300 ml,"3,99 €","0,80 €/L"
Queijo flamengo 0% lactose,PorSi Viva Bem,Embalagem de 150 g,"0,99 €","1,98 €/Kg"
Vinagre de sidra,Cristal,Garrafa de 500 ml,"0,35 €","0,70 €/L"
Longa vida morango tu banana coco 8x120,Longa vida,Embalagem de 960g,"1,87 €","1,25 €/Kg"
