Nome,Marca,Unidade,Preço Primário,Preço Secundário
Arroz doce especial,Saludaes,Embalagem de 500g,"1,26 €","1,26 €/Kg"
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Guardanapos 2 folhas vermelhos e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Caramelos de fruta,Penha,Embalagem de 100g,"1,05 €","21,00 €/Kg"
Rebuçados de Plantas Medicinais/ Mel/ Anís,Simple.,Embalagem de 50 g,"1,19 €","4,76 €/Kg"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Saco de cama criança,Saurium,1 un.,"14,99 €","14,99 €/Unidade"
Chourição,Salsicharia Limiana,1 un = 100 gr (aprox.),"1,35 €","16,88 €/Kg"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Vinho tinto,Adega grande,Garrafa de 75 cl,"2,99 €","3,99 €/L"
Muesli 3 chocolates,PorSi,500 g,"2,24 €","4,48 €/Kg"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Semente pevide abóbora,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Desumidificador e Ambientador Mini,HUMYDRY,embalagem de 75g,"4,59 €","61,20 €/Kg"
Vinho frisante branco,Lapadas,Garrafa de 750 ml,"2,12 €/L","2,12 €/L"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Detergente líquido máquina de roupa lavanda,PorSi,86 Doses,"27,99 €","6,59 €/L"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Carte d'or cake romantica,Olá,Embalagem de 750 ml,"2,57 €","7,79 €/Kg"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Iogurte líquido morango,PorSi,Embalagem de 8x160 ml,"1,31 €","2,05 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Amendoim pedaços,Cemporcent,Embalagem de 510g,"3,44 €","4,71 €/Kg"
Feijão manteiga,PorSi,Embalagem de 420g,"2,19 €","2,81 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Salsichas cocktail,PorSi,Lata com 180 g,"0,75 €","3,75 €/Kg"
Farinha rainha c/ fermento,Nacional,Embalagem de 1000 g,"0,85 €","0,85 €/Kg"
Tesoura para esquerdinos com 13 cm,Maped,unidade,"1,29 €","1,29 €/Unidade"
"Limpa móveis pistola, aloé vera",Pronto,Embalagem de 500 ml,"1,29 €","0,86 €/L"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Vinho rosé frisante,Cacho Fresco,Garrafa de 0.75 l,"2,12 €/L","2,12 €/L"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Creme para calçado castanho,Splendor,80 ml,"0,99 €","19,80 €/L"
Café solúvel,Delta,Embalagem de 200 g,"14,50 €/Kg","14,50 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
Queijo cura especial barrado pimentão,Casteloes,500 g,"6,49 €","25,45 €/Kg"
"Iogurte pedaços, frutimax muesli",PorSi,Embalagem de 4 x 125 g,"4,38 €","2,19 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Champô anti-caspa,Labell,Embalagem de 400 ml,"1,99 €","4,98 €/L"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Desinfetante p/ Cozinha,Sanytol,Embalagem de 750 ml,"4,89 €","6,52 €/L"
Doce light framboesa,PorSi,Embalagem de 340g,"1,65 €","4,85 €/Kg"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
Manteiga magra baixo teor sal,President,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Vulcão brilhante,Clementoni,1 unidade,"29,99 €/Unidade","29,99 €/Unidade"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Preparado em pó para pudim flan,El mandari,Embalagem de 19.2 g,"2,99 €","6,80 €/Kg"
Rum Spiced,Captain Morgan,"Garrafa de 0,70L","17,49 €","24,99 €/L"
Depilatório homem gel,Veet,Garrafa de 200 ml,"12,99 €","12,99 €/Unidade"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Champô reparação total,Gliss,1 Embalagem 250ml,"1,99 €","4,98 €/L"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Salsichão fuet nobreza,Elpozo,Embalagem de 200 g,"1,35 €","16,88 €/Kg"
Capa confort plus,Vileda,1 unidade,"16,50 €","16,50 €/Unidade"
Marmelada em cubos,Ferbar,Embalagem de 200g,"1,09 €","2,42 €/Kg"
Ambientador carro difusor aqua,Ambipur,1 unidade,"1,99 €","1,99 €/Unidade"
Arroz estufado,Caçarola,Embalagem de 1 kg,"1,26 €","1,26 €/Kg"
Arroz selvagem,Caçarola,Embalagem de 500 g,"1,26 €","1,26 €/Kg"
Recarga para ambientador elétrico flor de cerejeira,Air Wick,19 ml,"11,98 €","11,98 €/Unidade"
Lápis de cera,Giotto,embalagem com 12 unidades,"4,69 €","4,69 €/Unidade"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Refrigerante c/ gás ananás,Sumol,pack 4 x 1.25 l,"0,79 €","0,40 €/L"
Emulsão p/ higiene intima sensitive,Dystron,Embalagem com 200 ml,"7,69 €","19,23 €/L"
Detergente Líquido Máquina Roupa Lavanda,Xau,Embalagem com 62 doses,"27,99 €","6,59 €/L"
Broa de Milho,Pão do Dia,1 unidade= 400 g,"0,19 €","2,38 €/Kg"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
"Gel para o cabelo, pasta remix",Studio Line,Embalagem de 150 ml,"4,19 €","16,76 €/L"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Vinho tinto regional peninsula de setúbal,Fonte nico,Garrafa de 750 ml,"2,99 €","3,99 €/L"
Papa infantil láctea maçã +6 meses,Cerelac,Embalagem de 250g,"4,99 €","4,99 €/Kg"
Manteiga sem sal,Primor,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Batata doce frita,PorSi,Embalagem de 150g,"1,01 €","5,46 €/Kg"
Champô Ultimate Repair,Gliss,1 Embalagem 250ml,"1,99 €","4,98 €/L"
Polpa tomate biológico,Guloso,Embalagem de 500g,"3,65 €","7,30 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
Frutose,Cemporcent,Embalagem de 250g,"1,94 €","3,88 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
"Alimento para peixe, tetra gammarus",Tetra,Embalagem de 250 ml,"10,59 €","42,36 €/L"
Gin dry,Gordons,Garrafa de 700 ml,"19,79 €","19,79 €/L"
Pensos Higiénicos Cottonlike Normal Abas,Evax,embalagem de 16 unidades,"2,59 €","2,59 €/Unidade"
Bife da Alcatra,Novilho,1 un = 250 gr (aprox.),"10,78 €","13,48 €/Kg"
Arroz extra longo branco,Oriente,Embalagem de 1kg,"1,26 €","1,26 €/Kg"
