Nome,Marca,Unidade,Preço Primário,Preço Secundário
Tablete de chocolate amêndoa e caramelo,Milka,Embalagem de 300g,"6,50 €/Kg","6,50 €/Kg"
Gin Beefeater Light,Beefeater,"Garrafa de 0,70 l","19,79 €","19,79 €/L"
Gomas de amoras,Fini,Embalagem 100G,"0,99 €","9,90 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Gengibre desidratado,Salutem,Embalagem de 100g,"3,99 €","10,23 €/Kg"
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Meloa Cantalupe Bio | Categoria: II,PorSi Bio,Vendido ao peso,"1,20 €","3,99 €/Kg"
Queijo Barra Inteiro,Alavão,"Vendido Inteiro, un=1k(aprox)","2,42 €","9,69 €/Kg"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
Toucinho Fumado,PorSi,fatiado a partir de 100 gr,"2,79 €","9,30 €/Kg"
Gomas tijolos ácidos,PorSi,Embalagem de 300 g,"0,99 €","9,90 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Whiskey bourbon,J.daniels,Garrafa de 700 ml,"32,99 €","47,13 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Aguardente velha,Fim de Século,Garrafa de 700 ml,"11,49 €","16,41 €/L"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Batata branca para assar,*,Vendido ao peso,"1,29 €/Kg","1,29 €/Kg"
Crescido,Bacalhau da Islândia,1 un = 1.5 kg (aprox.),"8,73 €/Kg","8,73 €/Kg"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,39 €","5,39 €/L"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Cerveja Silver,Heineken,lata de 330 ml,"2,79 €","5,58 €/L"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Cem porcento-lentilhas vermelhas,Cemporcent,Embalagem de 500g,"1,34 €","2,68 €/Kg"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Pica-Cebola,Imf,1 unidade,"11,99 €","11,99 €/Unidade"
Limpa Motores,PorSi,Embalagem de 1 l,"3,49 €","13,96 €/L"
