Nome,Marca,Unidade,Preço Primário,Preço Secundário
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Chocolate lion,Lion,Embalagem de 40g,"11,92 €/Kg","11,92 €/Kg"
Queijo Barra Inteiro,Alavão,"Vendido Inteiro, un=1k(aprox)","2,42 €","9,69 €/Kg"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Iogurte Pedaços Amoras/Mirtilo,PorSi,Embalagem 2X135 g,"4,36 €","2,18 €/Kg"
Chá de maçã e canela,Tetley,Embalagem de 20g,"58,00 €/Kg","58,00 €/Kg"
Pilha alcalina classic lr6x8,Domédia,1 unidade,"1,49 €","1,49 €/Unidade"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Batata Nova a Granel,Vitacress,1 un = 250 gr  (aprox.),"1,19 €","1,19 €/Kg"
Muesli Frutas,PorSi,500 g,"2,45 €","4,90 €/Kg"
Sobremesa banana/laranja/bolacha,Nestle,Embalagem de 4 x 100 g,"2,89 €","7,23 €/Kg"
Espetadas de Peru,Peru,1 un = 150 gr (aprox.),"1,40 €","3,99 €/Kg"
"Vela em número,  nº 0",PorSi,1 unidade,"0,80 €","0,80 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
"Luvas multiusos relevo antiderrapante, tamanho grand...",PorSi,Embalagem de 1 unidades,"0,69 €","0,69 €/Unidade"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Queijo tres igrejas cura 2 meses,Santiago,Vendido ao peso a partir de 250 gr,"3,35 €","13,39 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
Iogurte arôma de frutos vermelhos,PorSi,Embalagem de 8x125 g,"1,99 €","2,07 €/Kg"
Desodorizante Roll'On Protect 5,Narta,Embalagem de 50 ml,"2,99 €","59,80 €/L"
Feijão preto,Legumes secos,1 un = 100 gr. (aprox.),"0,22 €","2,19 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
Laranja Económica,Fruta do Dia,1 un = 250 gr  (aprox.),"0,32 €","1,29 €/Kg"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
"Rolos de cozinha compactos, branco, 2 unidades",PorSi,Uma embalagem,"1,69 €","1,69 €/Unidade"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Creme depilatório para peles normais,Labell,Embalagem de 200 ml,"10,49 €","69,93 €/L"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
Cola de Contacto Liquida,Vito,1 unidade,"2,79 €","93,00 €/Kg"
Salsichão fuet caseiro,Elpozo,Embalagem de 150g,"0,95 €","9,49 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Néctar de laranja e cenoura light,PorSi,Embalagem de 3 x 200 ml,"1,59 €","1,59 €/L"
Estendal Roupa Aço com Abas,Sonecol,Dim.: 18 m,"8,99 €","8,99 €/Unidade"
Sumo natural de cenoura bio,Cemporcent,Garrafa de 200 ml,"1,19 €","1,86 €/L"
Limpa Motores,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Caldo de galinha,PorSi,24 cubos,"0,99 €","1,98 €/Kg"
Bolo Rei c/ Castanhas,Pastelaria do Dia,1 un. = 600 g,"0,30 €/Unidade","0,30 €/Unidade"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Bebida de cereais e café mokambo intenso,Nestle,Embalagem de 180g,"2,29 €","11,45 €/Kg"
Deo Roll On Men Active Protection + Invisible,Rexona men,50 ml,"2,99 €","59,80 €/L"
Desodorizante Roll On Black & White Fresh,Nivea,50 ml,"2,99 €","59,80 €/L"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Pensos Higiénicos Cottonlike Noite Alas,Evax,embalagem de 9 unidades,"4,99 €","4,99 €/Unidade"
Remove Insectos,PorSi,Embalagem de 1 l,"3,99 €","0,80 €/L"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Linhaça castanha moída,Cemporcent,Embalagem de 200g,"2,29 €","15,27 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Pensos peles sensíveis XL,PorSi,5 unidades,"1,69 €","1,69 €/Unidade"
Creme vegetal culinário,Vaqueiro,Embalagem de 250 g,"1,59 €","6,36 €/Kg"
Areia para gatos biodegradável vegetal,PorSi,Embalagem de 8 litros,"0,42 €/Kg","0,42 €/Kg"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
Café solúvel creme,Delta,Embalagem de 80 g,"1,14 €","57,00 €/Kg"
Bacalhau à Brás,PorSi,Embalagem de 1 kg,"1,91 €","4,78 €/Kg"
20 saquetas infusão limão gengibre,Lipton,Embalagem de 40g,"58,00 €/Kg","58,00 €/Kg"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Bolacha tostada diet nature s/ açucares,Gullon,Embalagem de 400g,"1,45 €","11,15 €/Kg"
Wafers framboesa barras,Vieira,Embalagem de 150g,"0,98 €","4,67 €/Kg"
Ambientador spray pure colónia de bebé,PorSi,250 ml,"2,99 €","11,96 €/L"
Leite uht magro,Gresso,Embalagem de 1 litro,"0,94 €","0,94 €/L"
Mousse cabelo caracois,Labell,Embalagem de 200ml,"3,99 €","53,20 €/L"
Álcool canforado 85%,PorSi,Embalagem de 250 ml,"1,69 €","1,69 €/Unidade"
Cornflakes + gulosos,Cemporcent,Embalagem de 250g,"0,69 €","1,73 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Néctar light de laranja prisma,PorSi,Embalagem de 1 l,"1,59 €","1,59 €/L"
Mousse limpeza refresh,Labell,Embalagem com 150ml,"12,48 €/L","12,48 €/L"
Muesli tropical,Cemporcent,Embalagem de 500g,"0,69 €","1,73 €/Kg"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Desodorizante Roll On Black & White Invisible Silky ...,Nivea,50 ml,"2,99 €","59,80 €/L"
Iogurte pedaços frutimax frutos variados,PorSi,Embalagem de 8 x 125 g,"4,36 €","2,18 €/Kg"
Bolachas belgas manteiga,PorSi,Embalagem de 250g,"1,69 €","6,76 €/Kg"
Leite de coco,PorSi,Embalagem de 400 ml,"0,99 €","1,98 €/Kg"
Leite condensado,Nestle,Embalagem de 370g,"1,09 €","2,75 €/Kg"
Desodorizante spray de baunilha,Labell,Embalagem de 200 ml,"2,99 €","59,80 €/L"
Aperitivos de amendoim com sal e mel,Matutano,Embalagem de 150g,"1,39 €","6,95 €/Kg"
"Água com gás, sabor limão",PorSi,"Embalagem de 6x0,25 l","2,85 €","2,85 €/L"
Recarga inseticida eléctrico líquido anti melgas e m...,Raid,60 noites,"9,89 €","274,72 €/L"
Vinagre de vinho branco,Cristal,Garrafa de 750 ml,"0,35 €","0,70 €/L"
Patê figado de porco,La piara,Embalagem de 80g,"1,19 €","13,52 €/Kg"
"Lava tudo, vinagre",Cif,"Garrafa de 1,4 l","0,99 €","0,50 €/L"
"Agrafos nº24/6, 2000 unidades",Maped,Uma embalagem,"1,35 €","1,35 €/Unidade"
Adoçante comprimidos,PorSi,Embalagem de 250 saquetas,"5,99 €","23,96 €/Kg"
Creme Depilatório Peles Sensíveis,Veet,Embalagem de 200 ml,"3,29 €","3,29 €/Unidade"
Limpa fornos,PorSi,500 ml,"1,29 €","1,72 €/L"
Batata frita palha,Pala-pala,Embalagem de 250g,"0,87 €","5,44 €/Kg"
