Nome,Marca,Unidade,Preço Primário,Preço Secundário
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Cestos com tampa e juta,*,3 unidades,"17,99 €","17,99 €/Unidade"
Receita caseira de jardineira,Nobre,Embalagem de 420g,"2,69 €","14,01 €/Kg"
Recarga rolo tira pelos,PorSi,1 unidade,"1,09 €","1,09 €/Unidade"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Leite uht sem lactose magro,PorSi Viva Bem,1 litro,"1,09 €","1,09 €/L"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Snack gato salmao,PorSi,Embalagem de 60g,"0,95 €","15,83 €/Kg"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Semente pevide abóbora,Salutem,Embalagem de 200g,"2,29 €","11,45 €/Kg"
Whiskey bourbon,J.daniels,Garrafa de 700 ml,"32,99 €","47,13 €/L"
Detergente Multiusos Spray,Ajax,Garrafa de 500 ml,"3,99 €","7,98 €/L"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Iogurte magro morango,Longa vida,Embalagem de 6 x 120 g,"1,44 €","2,88 €/Kg"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Iogurte líquido morango,PorSi,Embalagem de 8x160 ml,"1,31 €","2,05 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Tablete de chocolate negro,PorSi Select,200 g,"0,65 €","6,50 €/Kg"
Fiambre da Pá,Probar,1 un = 150 gr (aprox.),"0,90 €","5,99 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Secretos,Porco,1 un = 200 gr (aprox.),"4,89 €","4,89 €/Kg"
Nestum zero espelta/aveia,Nestum,Embalagem de 250 g,"1,99 €","7,96 €/Kg"
