Nome,Marca,Unidade,Preço Primário,Preço Secundário
Gomas de amoras,Fini,Embalagem 100G,"0,99 €","9,90 €/Kg"
Gelatina pronta a comer light 10 kcal mirtilo,Royal,Embalagem de 4 x 100 g,"2,29 €","5,73 €/Kg"
Anel dentição com pega,Neo Baby,1 unidade,"4,99 €","4,99 €/Unidade"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Pão de forma sem côdea 9 cereais,Panrico,Embalagem de 480g,"2,99 €","8,08 €/Kg"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Alimento húmido de vaca para cão,Purina Beyond,Embalagem de 400 g,"4,85 €/Kg","4,85 €/Kg"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Caramelos de fruta,Penha,Embalagem de 250 g,"2,75 €","11,00 €/Kg"
Crescido,Bacalhau da Islândia,1 un = 1.5 kg (aprox.),"8,73 €/Kg","8,73 €/Kg"
Chocolate kit kat,Kit kat,Embalagem de 130g,"11,93 €/Kg","11,93 €/Kg"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Iogurte Líquido Yoggi Frutos Tropicais s/ Lactose,Nestle,4x160g,"5,03 €/Kg","5,03 €/Kg"
Spray casa de banho,Neoblanc,Embalagem de 500 ml,"2,59 €","1,30 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Chá de maçã e canela,Tetley,Embalagem de 20g,"58,00 €/Kg","58,00 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
"Vela em número,  nº 0",PorSi,1 unidade,"0,80 €","0,80 €/Unidade"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Iogurte arôma de frutos vermelhos,PorSi,Embalagem de 8x125 g,"1,99 €","2,07 €/Kg"
Pescada panada em forma de filete,Pescanova,Embalagem de 1 Kg,"7,89 €/Kg","7,89 €/Kg"
Carne p/ Estufar,Novilho,Vendido ao peso a partir de 800 g,"3,00 €","5,99 €/Kg"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
Cubos de tamboril,Mar Ibérica,Embalagem de 250 g,"7,89 €/Kg","7,89 €/Kg"
Guardanapos 2 folhas brancos e dourado,PorSi Select,50 unidades,"1,39 €","1,39 €/Unidade"
Esferográfica Cor Sortida Média,Mab,Embalagem com 4 un.,"2,69 €","2,69 €/Unidade"
Tomate pelado,Guloso,Embalagem de 800g,"4,54 €/Kg","4,54 €/Kg"
Orégãos vaso aromáticas vivas,Aroma viva,Embalagem de 1 unidades,"1,09 €","36,33 €/Kg"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
Marmelo,Fruta do Dia,1 un = 250 gr  (aprox.),"2,29 €/Kg","2,29 €/Kg"
Amaciador para roupa concentrado madressilva e sânda...,Comfort,50 doses,"6,58 €","5,02 €/L"
"Alimento para peixe, tetra gammarus",Tetra,Embalagem de 250 ml,"10,59 €","42,36 €/L"
Bolachas marinheiras espelta,Cemporcent,Embalagem de 200 g,"2,69 €","13,45 €/Kg"
Feijao catarino,Caçarola,Embalagem de 500 g,"2,78 €/Kg","2,78 €/Kg"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"1,64 €","6,56 €/Kg"
Knorr sopa gourmet b.doce e abobora 49gr,Knorr,Embalagem de 70g,"2,61 €","37,29 €/Kg"
Fita Adesiva Brico Facil Especial Dupla Face,Ceys,1 unidade,"3,19 €","3,19 €/Unidade"
Sangria,Casal Garcia,Garrafa de 750 ml,"2,19 €","1,46 €/L"
Chá de gengibre,PLANTANATU,Embalagem de 20g,"1,19 €","1,19 €/Unidade"
Massa de cotovelinhos,Nacional,Embalagem de 500g,"1,99 €","3,98 €/Kg"
Bolachas cobertas com chocolate sem glúten,Schar,Embalagem de 150g,"2,35 €","9,40 €/Kg"
Salada de Marisco,*,Embalagem de 700 g,"8,39 €","11,99 €/Kg"
Queijinho petit nesquik,Nestle,Embalagem de 6 x 60 g,"8,58 €/Kg","8,58 €/Kg"
Refresco em pó de morango,Tang,Embalagem de 30g,"0,83 €","27,67 €/Kg"
Wafers com creme de cacau sem glúten,Schar,Embalagem de 120 g,"2,64 €","22,00 €/Kg"
Café solúvel creme,Delta,Embalagem de 80 g,"1,14 €","57,00 €/Kg"
20 saquetas infusão limão gengibre,Lipton,Embalagem de 40g,"58,00 €/Kg","58,00 €/Kg"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
"Alimento húmido para gato júnior, carne",Whiskas,Embalagem de 400g,"2,89 €","7,23 €/Kg"
Bolacha dibus sharkies s/ glúten,Gullon,Embalagem de 250g,"1,89 €","15,75 €/Kg"
Seitan,Salutem,Embalagem de 300g,"0,69 €","0,69 €/Kg"
Linhaça dourada e moída,Cemporcent,Embalagem de 200g,"2,29 €","15,27 €/Kg"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Bolachas,Oreo,Embalagem de 220g,"1,49 €","9,68 €/Kg"
Água mineral sem gás,Fastio,"Garrafa de 2,5 l","1,79 €","1,19 €/L"
Mousse limpeza refresh,Labell,Embalagem com 150ml,"12,48 €/L","12,48 €/L"
Lombo de Espadarte Descongelado,Peixe do Dia,"Vendido ao peso, 1 un  = 200g (aprox.)","6,49 €/Kg","6,49 €/Kg"
Cereais all bran,Kellogg's,Embalagem de 380g,"5,59 €","8,87 €/Kg"
Lasanha bolonhesa,Iglo,Embalagem de 300g,"2,99 €","8,54 €/Kg"
Chá de frutos vermelhos,Tetley,Embalagem de 30g,"58,00 €/Kg","58,00 €/Kg"
Bolos cake e chococolate,Milka,Embalagem de 180g,"2,78 €/Kg","2,78 €/Kg"
"Fitness granola chocolate, amêndoas e quinoa com 51%...",Nestle,Embalagem de 300 g,"5,59 €","8,87 €/Kg"
Leite creme,Royal,Embalagem de 90g,"2,99 €","6,64 €/Kg"
Couve Branca,Programa Origens,1 un = 1.5 kg (aprox.),"1,49 €","0,99 €/Kg"
"Agrafos nº24/6, 2000 unidades",Maped,Uma embalagem,"1,35 €","1,35 €/Unidade"
Coxa,Peru,1 un = 1 kg (aprox.),"0,94 €","2,69 €/Kg"
Edredão + almofada,Analar,Dim.: 160 x 220 cm,"29,99 €","29,99 €/Unidade"
Batata Branca Nova Granel,Legumes do Dia,1 un = 250 gr  (aprox.),"0,25 €","0,99 €/Kg"
Água com gás sabor a tangerina,Frize,"Pack 4x 0,25l","1,99 €/L","1,99 €/L"
Papel Higiénico Puríssimo 3 Folhas,Renova,Embalagem c/ 12 rolos,"3,95 €","3,95 €/Unidade"
Preparado em pó para pudim flan,El mandari,Embalagem de 19.2 g,"0,59 €","29,50 €/Kg"
Amaciador roupa concentrado rubi,Quanto,76 doses,"6,58 €","5,02 €/L"
Patê atum em escabeche,La piara,Embalagem de 80g,"1,99 €","22,11 €/Kg"
Anti-traça Maçã Verde,Dum Dum,2 unidades,"5,99 €","176,18 €/Kg"
Pasta de Moldar Branca,DAS,Embalagem com 1 kg,"2,19 €","109,50 €/L"
Chocolate culinário 70% cacau,Pantagruel,Embalagem de 200g,"1,64 €","13,12 €/Kg"
Bolachas soft bakes recheio chocolate,Belvita,Embalagem de 250g,"2,78 €/Kg","2,78 €/Kg"
Infusão nº 6 sem barriga,Cemporcent,Embalagem de 10 unidades,"0,99 €","76,15 €/Kg"
Refrigerante s/ gás califórnia,Sunny d,"Garrafa de 1,25 l","1,90 €","1,27 €/L"
Senses Watermelon,Trident,1 un.,"0,89 €","59,33 €/Kg"
Bolachas brownie tubo,Oreo,Embalagem de 150g,"1,49 €","9,68 €/Kg"
Babete Maleavel,Tigex,1 unidade,"5,99 €","5,99 €/Unidade"
Vinho tinto regional alentejano,Galitos,Garrafa de 750 ml,"2,29 €","3,05 €/L"
Pedras limão,P.salgadas,Garrafa de 1 l,"1,99 €/L","1,99 €/L"
Twins,Gullon,pack 2 x 154 g,"2,69 €","13,45 €/Kg"
Secretos,Porco,1 un = 200 gr (aprox.),"2,39 €","2,99 €/Kg"
Pastilhas 60 minutos Spearmint Botlle,Trident,Embalagem com 80g,"0,89 €","59,33 €/Kg"
Água mineral natural alcalina,MONCHIQUE,1.5 l,"1,79 €","1,19 €/L"
Farinha de fubá de milho,Nacional,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Tomate frito,Heinz,Embalagem de 350g,"4,54 €/Kg","4,54 €/Kg"
Café em grão 5 estrelas,Sical,Embalagem de 250g,"9,16 €/Kg","9,16 €/Kg"
Refrigerante c/ gás zero s/ cafeína,Coca-Cola,pack 6 x 0.33 l,"0,40 €/L","0,40 €/L"
Pudim de caramelo,Boca Doce,Embalagem de 20g,"0,59 €","29,50 €/Kg"
Bebida de amêndoa - 0% açúcar,Shoyce,Embalagem de 1 litro,"2,19 €","2,19 €/L"
Água de rosas,Hidro,Embalagem de 200 ml,"23,70 €/L","23,70 €/L"
"Guardanapos brancos, 33x33cm, 2 folhas, 90 unidades",Renova,Uma embalagem,"1,39 €","1,39 €/Unidade"
"Chave de Fenda Cabo Bimat, 6.0x150mm",Itools,1 unidade,"1,99 €","1,99 €/Unidade"
Escova para limpar camurça,Sonaf,1 unidade,"3,65 €","3,65 €/Unidade"
Esfregona super completa,Vileda,1 unidade,"8,00 €","8,00 €/Unidade"
Kiwi Amarelo,Fruta do Dia,Embalagem de 400 g,"0,22 €","1,09 €/Kg"
Wafers sem glúten de chocolate preto,Schar,Embalagem de 40 g,"2,69 €","10,76 €/Kg"
Atum posta em óleo,Noro,Lata com 110 g,"9,08 €/Kg","9,08 €/Kg"
Água c/ gás: limão/pepino/gengibre,Frize,pack 4 x 0.25 l,"1,99 €/L","1,99 €/L"
Ração para gato adulto de interior,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Anéis Empilháveis,Baby Clementoni,1 unidade,"9,99 €","9,99 €/Unidade"
Iogurte líquido tutti-frutti,Danone,Embalagem de 4 x 155 g,"5,97 €/Kg","5,97 €/Kg"
Desodorizante roll-on Invisible,Rexona,Embalagem de 50ml,"1,39 €","6,95 €/L"
Spray desinfetante multiusos,Lysol,Embalagem de 500 ml,"4,48 €/L","4,48 €/L"
Água mineral natural alcalina,MONCHIQUE,Garrafão de 5 l,"1,79 €","1,19 €/L"
Cereais corn flakes s/ glúten chocolate,Nestle,Embalagem de 380g,"2,99 €","7,97 €/Kg"
"Coloração permanente, castanho dourado, nº43",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Fruta Compal Essencial Laranja,Compal,pack de 3 x 110 ml,"2,29 €","6,94 €/L"
"Salsichas em frasco bockwurst, 5 un",Izidoro,Embalagem de 250g,"1,49 €","7,45 €/Kg"
Máquina depilatória Miss Soleil,Bic,3 + 1 unidades,"4,29 €","4,29 €/Unidade"
Creme barrar nutela 350g,Nutella,Embalagem de 350G,"8,54 €/Kg","8,54 €/Kg"
Gomas favoritos pica,Haribo,Embalagem de 90g,"0,99 €","9,90 €/Kg"
Lentilhas vermelhas,Salutem,Embalagem de 500g,"0,93 €/Kg","0,93 €/Kg"
Gengibre,Legumes do Dia,1 un = 100 gr (aprox.),"0,62 €","2,49 €/Kg"
"Jogo ""Gira a Garrafa""",Concentra,1 unidade,"9,99 €/Unidade","9,99 €/Unidade"
"Rebuçados sem açucar vita c, sabor citrinos",Halls,Embalagem de 32G,"1,69 €","16,90 €/Kg"
Sobremesa paturette baunilha,Páturages,Embalagem de 4 x 115 g,"1,19 €","2,59 €/Kg"
Cachaço s/ Osso,Porco,Vendido ao peso a partir de 1 kg,"2,39 €","2,99 €/Kg"
Moscatel do Douro,Selecção de Enófilos,"Garrafa de 0,75 l","6,79 €/L","6,79 €/L"
Creme Depilatório Duche Men Peles Normais,Veet,Embalagem com 150 ml,"10,99 €","73,27 €/L"
Nata uht para culinária,Parmalat,Embalagem de 200 ml,"1,12 €","5,60 €/L"
Sardinhas em azeite,PorSi,Embalagem de 120g,"9,08 €/Kg","9,08 €/Kg"
Bicarbonato de sódio,Globo,Embalagem de 230g,"0,75 €","15,00 €/Kg"
Iogurte liquido proteína yopro baunilha/cookies,Yopro,300 g,"5,97 €/Kg","5,97 €/Kg"
Pai Natal de Chocolate,PorSi,Embalagem de 60 g,"1,19 €","26,44 €/Kg"
"Ambientador spray, aerosol, exotic",Glade,Embalagem de 300 ml,"2,99 €","12,46 €/L"
Anéis Empilháveis,Baby Clementoni,1 unidade,"12,99 €/Unidade","12,99 €/Unidade"
Gel WC Desincustrante,Neoblanc,Embalagem de 700 ml,"2,79 €","3,99 €/L"
Pensos Higiénicos Fina e Segura Maxi Super,Evax,Embalagem c/ 13 Unidades,"2,69 €","2,69 €/Unidade"
Bebida aveia-amêndoa,Alpro,Embalagem de 1 litro,"2,19 €","2,19 €/L"
Nata para culinária ligeira,Mimosa,Embalagem de 200 ml,"1,12 €","5,60 €/L"
Caldo de galinha 24 cubos,Knorr,Embalagem de 240g,"4,54 €/Kg","4,54 €/Kg"
Buondi café em grão,Buondi,Embalagem de 220g,"9,16 €/Kg","9,16 €/Kg"
Smint tin eucalipto,Smint,Embalagem de 35 g,"2,30 €","65,71 €/Kg"
Dettol sabonete líquido Lavanda,Dettol,Garrafa de 250 ml,"2,18 €/L","2,18 €/L"
Iogurte sabor pêssego morango e manga,Danone,Embalagem de 8 x 120 g com 1 grátis,"1,99 €","2,07 €/Kg"
Puzzle Avengers,Clementoni,2 x 60 peças,"9,99 €/Unidade","9,99 €/Unidade"
Liégeois Sobremesa de chocolate,Páturages,Embalagem de 4x100 g,"1,19 €","2,59 €/Kg"
Amaciador P/ Roupa Elixir Rosas,Quanto,52 doses + 10 grátis,"6,58 €","5,02 €/L"
Plantanatur super cartilagem de tubarão,PLANTANATU,Embalagem de 1 unidades,"6,59 €","6,59 €/Unidade"
Bacalhau Postas,Riberalves,1 Embalagem 800G,"8,49 €","10,61 €/Kg"
Couve Flor,Programa Origens,1 un = 1 kg (aprox.),"1,49 €","0,99 €/Kg"
Maria diet nature,Gullón,Embalagem de 400 g,"2,69 €","13,45 €/Kg"
"Pasta dentífrica, dentes/gensivas sensitive",Labell,Embalagem de 75 ml,"2,29 €","38,17 €/L"
Achocolatado all natural,Nesquik,Embalagem de 168 g,"5,59 €","6,99 €/Kg"
Batata frita light,Lay's,Embalagem de 140g,"1,89 €","13,50 €/Kg"
Bolachas marinheiras chia,Cemporcent,Embalagem de 200g,"2,69 €","13,45 €/Kg"
"Abs odores lavanda, pack 2x150g",Glade,Embalagem de 2x150 g,"9,98 €/Unidade","9,98 €/Unidade"
"Ambientador spray, aerosol, lavanda",Glade,Embalagem de 300 ml,"2,99 €","12,46 €/L"
Esfregão Esponja Antibacteriano,Fino,1 unidade,"2,54 €","2,54 €/Unidade"
Leite de coco,Koala,250 ml,"4,00 €/Kg","4,00 €/Kg"
