Nome,Marca,Unidade,Preço Primário,Preço Secundário
Gelatina pronta a comer light 10 kcal mirtilo,Royal,Embalagem de 4 x 100 g,"2,29 €","5,73 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Bolacha de aveia e laranja sem glúten,Gullon,Embalagem de 180 g,"3,74 €","9,35 €/Kg"
"M&m's drageias de chocolate de leite,",M&m's,Embalagem de 200g,"2,99 €","15,99 €/Kg"
Leite uht sem lactose magro,PorSi Viva Bem,1 litro,"1,09 €","1,09 €/L"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Iogurte pedaços ananás,PorSi,Embalagem de 4 x 125 g,"1,44 €","2,88 €/Kg"
O cacau puro,Cemporcent,Embalagem de 200g,"2,49 €","12,45 €/Kg"
Queijo fresco magro,Matinal,Embalagem de 216 g,"1,09 €","5,45 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Tablete de chocolate negro,PorSi Select,200 g,"0,65 €","6,50 €/Kg"
Cortador de Castanhas,Snips,1 unidade,"4,99 €","4,99 €/Unidade"
Gressinos com azeitonas pretas,PorSi,Embalagem de 250g,"0,69 €","3,07 €/Kg"
"Vela em número,  nº 0",PorSi,1 unidade,"0,80 €","0,80 €/Unidade"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Tablete de chocolate choco jelly,Milka,Embalagem de 250g,"2,29 €","17,62 €/Kg"
Pensos clássicos,PorSi,20 unidades,"2,86 €","2,86 €/Unidade"
8 hamburguers s/ glúten frango,Capitão Iglo,Embalagem de 480g,"2,79 €","8,72 €/Kg"
Requeijao natural,Saloio,Embalagem de 170g,"1,09 €","5,45 €/Kg"
Tofu biológico,PorSi Bio,Embalagem de 300g,"2,99 €","5,98 €/Kg"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Alimento seco p/ cão croquetes vaca,Pedigree,Embalagem de 3 kg,"5,99 €","2,00 €/Kg"
Esfregona Microfibras Eco,Vileda,1 un.,"0,89 €","0,89 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
Rum Spiced,Captain Morgan,"Garrafa de 0,70L","17,49 €","24,99 €/L"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Queijo de nisa dop,PorSi Select,1 unidade = 280g (aprox.),"2,87 €","15,94 €/Kg"
Balde Espremedor c/ Mopa 360º,Anitex,,"0,89 €","0,89 €/Unidade"
Cerveja c/ álcool radler,Sagres,pack 6 x 0.33 l,"15,79 €","1,99 €/L"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Croissant Brioche com chocolate,Pastelaria do Dia,1 un = 100 g (aprox.),"0,75 €","0,75 €/Unidade"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
"Máquina depiladora descartável, Blue II Feminina",Gillette,Embalagem de 5+1 unidades,"3,29 €","3,29 €/Unidade"
Vinho do porto malvasia branco,Rcv,Garrafa de 750 ml,"5,99 €","7,99 €/L"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Cerveja com álcool,Sagres,Lata de 500ml,"15,79 €","1,99 €/L"
Pensos Higiénicos Cottonlike Normal Abas,Evax,embalagem de 16 unidades,"2,59 €","2,59 €/Unidade"
Anti-Traça Alimentos,Dum Dum,2 unidades,"4,69 €","4,69 €/Unidade"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
"Refrigerante com gás, ananás",Sumol,"Garrafa de 1,25 l","0,79 €","0,40 €/L"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Café em cápsulas  qonvictus,Delta Q,Embalagem de 55 g,"2,79 €","19,93 €/Kg"
Mel multifloral doseador,PorSi,Embalagem de 250g,"2,25 €","9,00 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Açorda de camarão,PorSi Select,Embalagem de 300g,"2,19 €","7,30 €/Kg"
Panquecas de aveia c/ proteína pepitas chocolate,Prozis,Embalagem de 400g,"11,99 €","29,98 €/Kg"
Creme vegetal culinário,Vaqueiro,Embalagem de 250 g,"1,59 €","6,36 €/Kg"
Café moagem grossa bio,PorSi Bio,Embalagem de 250g,"3,29 €","13,16 €/Kg"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Veggie bowls bulgur & courgette 350g,Iglo green,Embalagem de 350g,"2,29 €","7,63 €/Kg"
Cerveja com álcool,Super Bock,Garrafa de 1 l,"15,79 €","1,99 €/L"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
Refrigerante c/ gás laranja,Fanta,"Garrafa de 1,5 l","0,79 €","0,40 €/L"
Iogurte líquido yoggi cremoso pêssego/manga,Nestle,Embalagem de 4 x 160 g,"1,20 €","1,88 €/Kg"
Cereais de cacau sem glúten,Schar,Embalagem de 250g,"5,24 €","5,24 €/Kg"
Bebida de Soja Natural,PorSi Viva Bem,Pack: 3 x 200 ml,"2,49 €","2,49 €/L"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Óleo de girassol,PorSi,garrafa de 1 litro,"3,99 €","3,99 €/L"
Café Solúvel Espresso Intenso,Nescafe,Embalagem de 100g,"1,45 €","14,50 €/Kg"
Cogumelo branco,*,Embalagem de 300g,"1,99 €","6,63 €/Kg"
"Frigideira anti-aderente, 28cm",PorSi,1 unidade,"9,00 €","9,00 €/Unidade"
Chouriço Extra do Ribatejo,PorSi,200 g,"1,22 €","6,78 €/Kg"
Sobremesa gelatina de morango,PorSi,Embalagem 4X100G,"2,29 €","5,73 €/Kg"
Mel de montanha,PorSi Select,Frasco de 250 g,"2,25 €","9,00 €/Kg"
Lenços Bolso 15X10 3f,PorSi,1 Unidade,"0,89 €","0,89 €/Unidade"
Batata frita presunto,Ruffles,Embalagem de 150 g,"1,19 €","6,43 €/Kg"
Queijo brie cunhas 60%,President,Embalagem de 200 g,"1,49 €","7,45 €/Kg"
Chouriço fatiado,Campofrio,Embalagem de 80g,"3,19 €","21,27 €/Kg"
80 filtros nº4 com saquetas antitártaro,Planteur,Uma embalagem com 80 unidades,"0,89 €","0,89 €/Unidade"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Café lote bocage moagem única,Nicola,Embalagem de 250g,"3,29 €","13,16 €/Kg"
Bolachas recheadas com morango e cheesecake,Oreo,Embalagem de 150g,"0,79 €","4,49 €/Kg"
Natas pasteurizadas para bater,Nestle,Embalagem de 200 ml,"0,75 €","3,75 €/L"
Bolachas belgas manteiga,PorSi,Embalagem de 250g,"1,69 €","6,76 €/Kg"
Leite de coco,PorSi,Embalagem de 400 ml,"0,99 €","1,98 €/Kg"
Leite condensado,Nestle,Embalagem de 370g,"1,09 €","2,75 €/Kg"
Leite e cereais bolacha maria +6 meses,Cerelac,Garrafa de 400 ml,"1,99 €","7,96 €/Kg"
Removedor de bolores e fungos,Uhu,Embalagem de 500 ml,"1,79 €","2,39 €/L"
"Queijo médio, metades",Casteloes,Embalagem de 580g,"6,49 €","25,45 €/Kg"
Cereais de cacau sem glúten,Schar,Embalagem de 250g,"4,65 €","18,60 €/Kg"
Vinho verde branco alvarinho,Qm,Garrafa de 0.75 l,"1,99 €","2,65 €/L"
