Nome,Marca,Unidade,Preço Primário,Preço Secundário
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Cabo de metal com rosca,PorSi,1.20 m,"2,20 €","2,20 €/Unidade"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Queijo vaca sem lactose,PorSi Viva Bem,250 g,"0,99 €","1,98 €/Kg"
Salsicha Picante,Porco,1 un = 100 gr (aprox.),"0,65 €","6,49 €/Kg"
Cem porcento-lentilhas vermelhas,Cemporcent,Embalagem de 500g,"1,34 €","2,68 €/Kg"
Limpa móveis cera abelhas,PorSi,Frasco de 300ml,"5,49 €","54,90 €/L"
Penso diário normal,PorSi,Embalagem de 64 unidades,"1,79 €/Unidade","1,79 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Ovos Frescos de Galinhas Criadas ao Ar Livre Classe:...,PorSi Bio,Embalagem com 6 unidades,"2,19 €","2,19 €/Unidade"
Bebida Energética Red Grape,Hell,250 ml,"5,49 €","5,49 €/L"
O cacau puro,Cemporcent,Embalagem de 200g,"2,49 €","12,45 €/Kg"
Sidra maçã,Somersby,pack 4 x 0.33 l,"1,65 €","3,30 €/L"
Gomas amora,Haribo,Embalagem de 100g,"1,19 €","3,97 €/Kg"
Vinho maduro tinto doc alentejo reserva,Albarrada,Garrafa de 75 cl,"5,99 €","7,99 €/L"
Abafado Branco,Vice Rei,Garrafa de 1L,"8,49 €","11,32 €/L"
Fatias vegetarianas c/ legumes,Nobre,Embalagem de 100g,"7,99 €","39,95 €/Kg"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
"Luvas multiusos relevo antiderrapante, tamanho grand...",PorSi,Embalagem de 1 unidades,"0,69 €","0,69 €/Unidade"
Empadão de carne produto pré-cozinhado ultracongelad...,PorSi,Embalagem de 350g,"7,99 €","7,99 €/Kg"
Elimina odores para calçado,Kiwi,Embalagem de 100 ml,"1,49 €","1,49 €/Unidade"
Nestum 5 cereais,Nestum,Embalagem de 250g,"2,19 €","8,76 €/Kg"
Queijo cura especial barrado pimentão,Casteloes,500 g,"6,49 €","25,45 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
10 nuggets de frango,Capitão Iglo,Embalagem de 210g,"2,79 €","8,72 €/Kg"
Ambientador sense e spray lavanda e jasmim,Glade,18 ml,"3,74 €","3,74 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Rum Spiced,Captain Morgan,"Garrafa de 0,70L","17,49 €","24,99 €/L"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Spray tira gorduras eco,PorSi,Garrafa de 750 ml,"0,79 €","0,79 €/L"
"Spray Bronzeado, Pele Molhada F20",Cabana Sun,Embalagem de 200 ml,"12,99 €","64,95 €/L"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Salsichão fuet caseiro peru,Elpozo,Embalagem de 150g,"3,29 €","21,93 €/Kg"
"Máquina depiladora descartável, Blue II Feminina",Gillette,Embalagem de 5+1 unidades,"7,99 €","7,99 €/Unidade"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Queijo creme de ervas finas,Philadelph,Embalagem de 150g,"3,68 €","13,14 €/Kg"
Sumo natural de cenoura bio,Cemporcent,Garrafa de 200 ml,"1,19 €","1,86 €/L"
Iogurtes Corpos Danone Pedaços de Coco,Danone,Embalagem de 4 x 115 g,"4,36 €","2,18 €/Kg"
Queijo Creme Piri-Piri,Eru,Embalagem de 100 g,"3,68 €","13,14 €/Kg"
Alimento seco p/ cão croquetes vaca,Pedigree,Embalagem de 3 kg,"15,69 €","3,92 €/Kg"
Queijo de cabra,Palhais,Embalagem de 200g,"1,89 €","10,50 €/Kg"
Goela,Porco,Vendido ao peso,"1,12 €","4,49 €/Kg"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Creme autobrilhante preto,Splendor,40 ml,"0,99 €","330,00 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Limpa vidros cristal recarga,Ajax,Embalagem de 500 ml,"0,89 €","0,89 €/L"
Espargos Verdes,Legumes do Dia,embalagem com 250g,"2,49 €/Kg","2,49 €/Kg"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Gin dry,Gordons,Garrafa de 700 ml,"19,79 €","19,79 €/L"
Máquina Depilatória Descartável Venus 3 Plus Pink,Gillette,6 unidades,"7,99 €","7,99 €/Unidade"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Iogurte Líquido Frutos Tropicais,PorSi,1 Embalagem 4X160G,"1,17 €","1,83 €/Kg"
Queijo crema angulo aperitivos provenzales,B.de arias,Embalagem de 100g,"3,79 €","37,90 €/Kg"
"Refrigerante com gás, ananás",Sumol,"Garrafa de 1,25 l","0,79 €","0,40 €/L"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Cera de depilação profissional,Veet,Garrafa de 300 ml,"7,99 €","7,99 €/Unidade"
Comida húmida para gato duplo prazer com peixe do oc...,Gourmet Gold,Embalagem de 90g,"3,59 €","2,99 €/Kg"
Café em cápsulas  qonvictus,Delta Q,Embalagem de 55 g,"2,79 €","19,93 €/Kg"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Comida húmida para gato seleção de carnes,Gourmet mp,Embalagem de 300g,"3,59 €","2,99 €/Kg"
Farinha de trigo sem fermento t65,PorSi,Embalagem de 1 kg,"1,99 €","1,99 €/Kg"
Bacalhau a bras,PorSi,Embalagem de 300g,"1,79 €","7,16 €/Kg"
Vela em número nº5,PorSi,1 unidade,"0,59 €","0,59 €/Unidade"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
Refrigerante c/ gás laranja,Fanta,"Garrafa de 1,5 l","0,79 €","0,40 €/L"
Gelatina zero % pêssego,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Cola stick,Uhu,Conjunto de 2 x 8.2 g,"2,89 €","180,63 €/Kg"
"Iogurte, sabor a morango",PorSi,Embalagem de 4 x 125 g,"1,87 €","1,25 €/Kg"
"Piscina Prateada, Cap.512L",Bestway,Dim.:152X43cm,"3,99 €","3,99 €/Unidade"
Chouriço Extra do Ribatejo,PorSi,200 g,"1,22 €","6,78 €/Kg"
Mistura solúvel tofina despertar,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Desodorizante roll-on invisible,Rexona,Embalagem de 50 ml,"4,99 €","99,80 €/L"
Chourico vinho das beiras,PorSi,Embalagem de 280g,"1,22 €","6,78 €/Kg"
Spray recarga limpeza da cozinha,Cif,embalagem de 70 ml,"0,79 €","0,79 €/L"
Açúcar de coco bio,Origensbio,Embalagem de 250g,"1,57 €","15,70 €/Kg"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Lenços Bolso 15X10 3f,PorSi,1 Unidade,"0,89 €","0,89 €/Unidade"
Patés,Pate Chef,Pack com 8 unidades,"0,80 €","10,67 €/Kg"
Batata frita presunto,Ruffles,Embalagem de 150 g,"1,19 €","6,43 €/Kg"
Bala spray,Redex,Embalagem de 400 ml,"3,99 €","0,80 €/L"
Mousse limpeza refresh,Labell,Embalagem com 150ml,"12,48 €/L","12,48 €/L"
Lombo assado fatiado,PorSi,150 g,"3,29 €","36,56 €/Kg"
Difusor elétrico sem fio para pastilhas,Ezalo,Embalagem de 1 unidades,"6,39 €","6,39 €/Unidade"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Limpa Móveis,PorSi,Embalagem de 300 ml,"5,49 €","54,90 €/L"
Lic.amendoa amarga zimbro,Zimbro,Garrafa de 0.70L,"7,99 €","11,41 €/L"
Autobrilhante Preto,Búfalo,Embalagem de 50 ml,"0,99 €","330,00 €/Kg"
Bolachas recheadas com morango e cheesecake,Oreo,Embalagem de 150g,"0,79 €","4,49 €/Kg"
