Nome,Marca,Unidade,Preço Primário,Preço Secundário
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Leite de pastagem uht meio gordo,Milhafre,1 litro,"0,81 €","0,81 €/L"
Peito de frango,PorSi,Embalagem de 400 g,"1,05 €","2,99 €/Kg"
Leite uht sem lactose meio gordo,PorSi Viva Bem,1 litro,"0,81 €","0,81 €/L"
"Fita apanha moscas, com 4 unidades",Neokill,4 unidades,"5,09 €","8,48 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
"Borracha Technic, 600",Maped,embalagem com 2 unidades,"4,99 €","4,99 €/Unidade"
Vinho Verde Loureiro Branco,Aveleda,Garrafa de 0.75 l,"2,99 €","2,99 €/L"
"Borracha Technic, 600",Maped,embalagem com 2 unidades,"1,69 €","1,69 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Banda cera fria peles sensíveis p/corpo,Veet,Embalagem de 20 unidades,"3,11 €","3,11 €/Unidade"
Ultra magnésio +b6,PLANTANATU,Embalagem de 1 unidades,"4,49 €","179,60 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"0,99 €","3,96 €/Kg"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Amendoim com casca,Frutos secos,1 un = 100 gr (aprox.),"5,25 €","20,99 €/Kg"
Bolacha de aveia e laranja sem glúten,Gullon,Embalagem de 180 g,"4,29 €","20,43 €/Kg"
