NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
"DIA AS Alimentação Seca de Peixe Para Gato Menu Mix 1,5 kg",DIA AS,,"3,69 €","2,46 €/Kg",,,
"ULTIMA Alimento Seco Cão Mini Adulto 1,5 kg",ULTIMA,,"9,98 €","6,65 €/Kg",,,
FRISKIES Ração para Gato Adulto com Atum e Legumes Purina 2 kg,FRISKIES,,"7,99 €","4,00 €/Kg",,,
DIA Almôndegas em Molho com Vaca e Frango 800 g,DIA,,"1,29 €","1,61 €/Kg",,,
DIA Paté com Pedaços Rico em Vaca 800 g,DIA,,"1,29 €","1,61 €/Kg",,,
DIA Almôndegas de Vaca com Legumes em Molho 800 g,DIA,,"1,29 €","1,61 €/Kg",,,
DIA AS Alimentação Seca de Carne Para Gato Menu Mix 4 kg,DIA AS,,"8,99 €","2,25 €/Kg",,,
GOURMET Alimento Húmido Gold Peixe para Gato 85 g,GOURMET,,"0,75 €","8,82 €/Kg",,,
PURINA GOURMET Alimento Para Gato Salmão/Frango 85 g,PURINA GOURMET,,"0,75 €","8,82 €/Kg",,,
"DIA AS Alimentação Seca de Carne Para Gato Menu Mix  1,5 kg",DIA AS,,"3,69 €","2,46 €/Kg",,,
DIA Paté Atum para Gato 85 g,DIA,,"0,59 €","6,94 €/Kg",,,
DIA Paté Coelho para Gato 85 g,DIA,,"0,59 €","6,94 €/Kg",,,
DIA AS Arroz Trinca 2 kg,DIA AS,,"1,75 €","0,88 €/Kg",,,
DIA AS Alimento para Gato Mix Gourmet Peixe 4x85 g,DIA AS,,"2,74 €","8,06 €/Kg",,,
DIA AS Alimentação Seca Para Cão Menu Senior 3 kg,DIA AS,,"6,39 €","2,13 €/Kg",,,
DIA AS Salsicha para Cão 1 kg,DIA AS,,"2,65 €","2,65 €/Kg",,,
DIA AS Alimentação Seca de Pescado Para Gato Menu Mix 4 kg,DIA AS,,"7,39 €","1,85 €/Kg",,,
DIA Paté Salmão para Gato 400 g,DIA,,"1,15 €","2,88 €/Kg",,,
DIA Paté Frango para Gato 400 g,DIA,,"1,15 €","2,88 €/Kg",,,
DIA Alimento para Gato com Pedaços Vaca e Cenoura 400 g,DIA,,"1,15 €","2,88 €/Kg",,,
DIA Alimento para Gato com Pedaços Frango e Cenoura 400 g,DIA,,"1,15 €","2,88 €/Kg",,,
ULTIMA Alimento Seco Para Cão Adulto Frango 3 kg,ULTIMA,,"18,99 €","6,33 €/Kg",,,
"FRISKIES Ração para Gato Adulto Esterilizado com Peru Purina 1,5 kg",FRISKIES,,"6,99 €","4,66 €/Kg",,,
"DIA AS Alimentação Seca Para Gato Menu Indoor 1,5 kg",DIA AS,,"3,55 €","2,37 €/Kg",,,
VEJA Pá Para Areia,VEJA,,"1,19 €","1,19 €/ud",,,
HYDRA Tabuleiro Absorvente Para Gatos,HYDRA,,"3,49 €","3,49 €/ud",,,
DIA AS Snack de Borrego Para Cão 200 g,DIA AS,,"1,55 €","7,75 €/Kg",,,
DIA AS Paté Gato Júnior Peru e Frango 100 g,DIA AS,,"0,59 €","5,90 €/Kg",,,
FELIX PARTY MIX Snack para Gato Delícias do Oceano Purina 60 g,FELIX PARTY MIX,,"1,89 €","31,50 €/Kg",,,
"PURINA ONE Alimento Seco Frango para Gato Adulto 1,5 kg",PURINA ONE,,"8,99 €","5,99 €/Kg","11,99 €","7,99 €/Kg",
GOURMET Alimento Húmido Gold Frango para Gato 85 g,GOURMET,,"0,75 €","8,82 €/Kg",,,
FRISKIES Alimento Seco Coelho e Frango para Gato 4 kg,FRISKIES,,"15,99 €","4,00 €/Kg",,,
DIA AS Alimentação Seca Para Cão Menu Top Fit 4 kg,DIA AS,,"7,49 €","1,87 €/Kg",,,
DIA AS Snack com Sabor Bacon Para Cão 120 g,DIA AS,,"2,05 €","17,08 €/Kg",,,
DIA AS Snack Ossinhos Para Cão Júnior 100 g,DIA AS,,"1,29 €","12,90 €/Kg",,,
DIA AS Snack de Tiras Vaca Para Cão 120 g,DIA AS,,"1,05 €","8,75 €/Kg",,,
DIA AS Snack Para Cão Energy 150 g,DIA AS,,"1,55 €","10,33 €/Kg",,,
DIA AS Alimento Para Cão Mini Adulto Salmão Fresco 2 kg,DIA AS,,"6,39 €","3,20 €/Kg",,,
DIA AS Alimento Para Cão Adulto Frango 4 kg,DIA AS,,"10,59 €","2,65 €/Kg",,,
DIA AS Alimentação Seca Cão de Frango Fresco Mini Junior 800 g,DIA AS,,"2,59 €","3,24 €/Kg",,,
PEDIGREE Alimento Húmido Para Cão com Galinha e Legumes 4x100 g,PEDIGREE,,"2,69 €","6,73 €/Kg",,,
WHISKAS Alimento Húmido Para Gatos de Aves 4x100 g,WHISKAS,,"2,75 €","6,88 €/Kg",,,
FRISKIES Alimento Cão Júnior Frango e Vegetais 3 kg,FRISKIES,,"11,69 €","3,90 €/Kg",,,
"PURINA ONE Alimento Cão Mini Active 1,5 kg",PURINA ONE,,"8,65 €","5,77 €/Kg",,,
PURINA ONE Alimento Seco Frango e Cereais Integrais para Gato Júnior 800 g,PURINA ONE,,"5,24 €","6,55 €/Kg",,,
"DIA AS Alimentação Seca Para Gato Controlo Bolas de Pêlo 1,5 kg",DIA AS,,"4,19 €","2,79 €/Kg",,,
DIA AS Alimento Para Cães Mix 15 kg,DIA AS,,"21,95 €","1,46 €/Kg",,,
DIA AS Alimento Húmido para Gato Saqueta Molho Peixe/Carne 12x100 g,DIA AS,,"3,69 €","3,08 €/Kg",,,
PURINA Snack Cão Dental Life 115 g,PURINA,,"2,39 €","20,78 €/Kg",,,
"PURINA ONE Ração para Cão Frango Arroz 2,5 kg",PURINA ONE,,"13,99 €","5,60 €/Kg",,,
WHISKAS Alimento Húmido Para Gato Júnior Casserole Aves 4x85 g,WHISKAS,,"2,89 €","8,50 €/Kg",,,
