NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA TONI TÓNICO Água Tónica 6x200 ml,DIA TONI NICO,,"2,65 €","2,21 €/l",,,
TERRAS D'EL REI Vinho Tinto Regional Alentejo 750 ml,TERRAS EL REI,,"2,84 €","3,79 €/l",,,
"JOI Refrigerante Sem Gás de Laranja e Maracujá 1,5 L",JOI,,"1,90 €","1,27 €/l",,,
"FESTA DO DIA Sangria 1,5 L",FESTA DO DIA,,"1,99 €","1,33 €/l",,,
PORCA DE MURÇA Vinho Tinto 750 ml,PORCA DE MUR,,"4,85 €","6,47 €/l",,,
BAILEYS Licor 700 ml,BAILEYS,,"18,99 €","27,13 €/l",,,
JOHNNIE WALKER Whisky Red Label 700 ml,JOHNNIE WALKER,,"18,99 €","27,13 €/l",,,
GAZELA Vinho Verde Branco 750 ml,GAZELA,,"3,79 €","5,05 €/l",,,
MARTINI Vermouth Bianco 750 ml,MARTINI,,"10,09 €","13,45 €/l",,,
DIA RIO NOVO Vinho Tinto Doc Bairrada 750 ml,DIA RIO NOVO,,"2,56 €","3,41 €/l",,,
UM BONGO Néctar Laranja 3x200 ml,UM BONGO,,"1,39 €","2,32 €/l",,,
DIA ALVINI Vermouth Tinto 1 L,DIA ALVINI,,"5,35 €","5,35 €/l",,,
SCOTTISH GROCER Whisky 700 ml,SCOTTISH GROCER,,"7,92 €","11,31 €/l",,,
COCA-COLA Sabor Original 500 ml,COCA COLA,,"1,00 €","2,00 €/l",,,
PORTA DA RAVESSA Vinho Branco Doc Alentejo 750 ml,PORTA DA RAVESSA,,"2,99 €","3,99 €/l",,,
COMPAL Sumo 100% Maçã 1 L,COMPAL,,"1,69 €","1,69 €/l",,,
LIPTON Ice Tea Pêssego Prisma 1 L,LIPTON,,"1,49 €","1,49 €/l",,,
NAVEGANTE Vinho Tinto Regional Alentejo 750 ml,NAVEGANTE,,"2,39 €","3,19 €/l",,,
CASALEIRO Vinho Tinto Regional Tejo 750 ml,CASALEIRO,,"3,19 €","4,25 €/l",,,
LIPTON Ice Tea Manga Prisma 1 L,LIPTON,,"1,49 €","1,49 €/l",,,
DIA MONÁSTICO Vinho Tinto Doc Dão Reserva  750 ml,DIA MON STICO,,"3,08 €","4,11 €/l",,,
