NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA LÁCTEA Petit Líquido Morango 6x100 g,DIA CTEA,,"1,35 €","2,25 €/Kg",,,
DIA LÁCTEA Petit Líquido Morango e Banana 6x100 g,DIA CTEA,,"1,35 €","2,25 €/Kg",,,
BLÉDINA Frutapura Frutos Variados 4x95 g,BL DINA,,"2,79 €","7,34 €/Kg",,,
MIMOSA Cuida Bem +3 Anos 1 L,MIMOSA,,"1,79 €","1,79 €/l",,,
DODOT Toalhitas Recarga Sensite 4x54 un,DODOT,,"7,99 €","7,99 €/ud",,,
BLÉDINA Puré Fruta Maçã e Pera 4x95 g,BL DINA,,"2,79 €","7,34 €/Kg",,,
BABYSMILE Esponja Natural Bebé 1 Un,BABYSMILE,,"3,22 €","3,22 €/ud",,,
YOGOLINO Morango Alimento Lácteo +6 Meses 4x100 g,YOGOLINO,,"2,89 €","7,23 €/Kg",,,
CORINE DE FARME Toalhitas Rosto e Mãos Bebé 25 un,CORINE DE FARME,,"2,29 €","0,09 €/ud",,,
ULTRA SUAVE Champô Crianças Cereja 250 ml,ULTRA SUAVE,,"2,15 €","8,60 €/l",,,
YOGOLINO Baunilha Alimento Lácteo +6 Meses 4x100 g,YOGOLINO,,"2,89 €","7,23 €/Kg",,,
NAN 4 Leite de Crescimento +12 800 g,NAN,,"13,49 €","16,86 €/Kg",,,
CERELAC Farinha Láctea 500 g,CERELAC,,"2,99 €","5,98 €/Kg",,,
YOGOLINO Natural Lácteo +6 Meses 4x100 g,YOGOLINO,,"2,89 €","7,23 €/Kg",,,
YOGOLINO Bolacha Alimento Lácteo +6 Meses 4x100 g,YOGOLINO,,"2,89 €","7,23 €/Kg",,,
NESTUM 5 Cereais com Cereais Integrais Nestlé 250 g,NESTUM,,"2,49 €","9,96 €/Kg",,,
DIA Farinha Não Lactea 750 g,DIA,,"3,59 €","4,79 €/Kg",,,
DIA BONTÉ Toalhitas Bebé Peles Atópicas 64 Un,DIA BONT,,"2,36 €","2,36 €/ud",,,
CERELAC Papa Infantil Láctea Banana Laranja +6 Meses 250 g,CERELAC,,"2,54 €","10,16 €/Kg",,,
"NESTLÉ Pacotinho de Maçã, Cenoura e Manga 90 g",NESTL,,"0,79 €","8,78 €/Kg",,,
DIA BOA PAPA Farinha Láctea Multifrutos 250 g,DIA BOA PAPA,,"2,36 €","9,44 €/Kg",,,
HERO Farinha Não Láctea Bio Multicereais 300 g,HERO,,"2,99 €","9,97 €/Kg",,,
"HERO Saqueta Bio Maçã, Banana e Cenoura 100 g",HERO,,"1,29 €","12,90 €/Kg",,,
