NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
Romã (1 un = 245 g aprox),,,"0,54 €","2,19 €/Kg",,,
Tomate Rama (1 un = 180 g aprox),,,"0,41 €","2,29 €/Kg",,,
Chuchu (1 un = 370 g aprox),,,"0,92 €","2,49 €/Kg",,,
DIA SABOR CHARCUTEIRO Fiambre Da Perna Extra 180 g,,,"1,75 €","9,72 €/Kg",,,
Cebola (1 un = 200 g aprox),,,"0,19 €","0,95 €/Kg",,,
Fisális Embalado 100 g,,,"1,69 €","16,90 €/Kg",,,
Manga (1 un = 585 g aprox),,,"1,52 €","2,59 €/Kg",,,
DIA SABOR CHARCUTEIRO Chouriço Carne Extra 250 g,,,"1,99 €","7,96 €/Kg",,,
DIA SABOR CHARCUTEIRO Farinheira do Fundão 250 g,,,"2,35 €","9,40 €/Kg",,,
DIA SABOR CHARCUTEIRO Cubos de Presunto Curado 2x75 g,,,"1,99 €","13,27 €/Kg",,,
CORTE DO DIA Bifinhos do Lombo de Porco Embalados (1 un = 400 g aprox),,,"3,20 €","7,99 €/Kg",,,
Beterraba Cozida Embalada 500 g,,,"1,19 €","2,38 €/Kg",,,
HUERCASA Maçaroca de Milho Doce Embalada 400 g,,,"1,69 €","4,23 €/Kg",,,
Cebolinha Embalada 500 g,,,"0,89 €","1,78 €/Kg",,,
Tomate Chucha (1 un = 155 g aprox),,,"0,42 €","2,69 €/Kg",,,
Pêra Rocha Embalada 1 kg,,,"1,27 €","1,27 €/Kg",,,
Maçã Granny (1 un = 190 g aprox),,,"0,49 €","2,59 €/Kg",,,
Ameixa Vermelha (1 un = 105 g aprox),,,"0,26 €","2,49 €/Kg",,,
Alho Francês com Rama (1 un = 270 g aprox),,,"0,67 €","2,49 €/Kg",,,
HORTA DO DIA Batata Para Fritar Embalada 3 kg,,,"3,38 €","1,13 €/Kg",,,
HORTA DO DIA Batatas Para Assar 1 kg,,,"1,28 €","1,28 €/Kg",,,
Limas (1 un = 105 g aprox),,,"0,42 €","3,99 €/Kg",,,
Mamão (1 un = 1195 g aprox),,,"5,49 €","4,59 €/Kg",,,
Mandioca (1 un = 420 g aprox),,,"1,68 €","3,99 €/Kg",,,
Uva Branca (1 un = 690 g aprox),,,"2,75 €","3,99 €/Kg",,,
Abacate  (1 un = 335 g aprox),,,"1,67 €","4,99 €/Kg",,,
Endivias Embaladas 400 g,,,"2,29 €","5,73 €/Kg",,,
Gengibre (1 un = 200 g aprox),,,"0,94 €","4,69 €/Kg",,,
Couve Coração Boi (1 un = 1090 g aprox),,,"1,52 €","1,39 €/Kg",,,
DIA (A) MAR À VISTA Migas de Paloco 400 g,,,"3,69 €","9,23 €/Kg",,,
CORTE DO DIA Pernas de Frango Embaladas (1 un = 555 g aprox),,,"2,66 €","4,79 €/Kg",,,
HORTA DO DIA Salada Gourmet Embalada 175 g,,,"1,19 €","6,80 €/Kg",,,
HORTA DO DIA Cenoura Ralada Embalada 150 g,,,"0,48 €","3,20 €/Kg",,,
HORTA DO DIA Sopa de Juliana Embalada 350 g,,,"0,78 €","2,23 €/Kg",,,
HORTA DO DIA Coentros Embalados 40 g,,,"1,09 €","27,25 €/Kg",,,
Canjinha de Galinha Embalada (1 un = 660 g aprox),,,"2,17 €","3,29 €/Kg",,,
CORTE DO DIA Entremeadas de Porco Fatiadas Embaladas (1 un = 590 g aprox),,,"4,42 €","7,49 €/Kg",,,
Beringela (1 un = 255 g aprox),,,"0,63 €","2,49 €/Kg",,,
HORTA DO DIA Sopa de Legumes Embalada 350 g,,,"0,78 €","2,23 €/Kg",,,
Abóbora (1 un = 485 g aprox),,,"0,67 €","1,39 €/Kg",,,
CORTE DO DIA Rojões de Porco Embalados (1 un = 670 g aprox),,,"4,62 €","6,89 €/Kg",,,
CORTE DO DIA Perninhas de Frango Embaladas (1 un = 570 g aprox),,,"3,30 €","5,79 €/Kg",,,
HORTA DO DIA Salada Aromática Embalada 150 g,,,"1,29 €","8,60 €/Kg",,,
DIA SABOR CHARCUTEIRO Chrouriço Carne Picante 250 g,,,"1,99 €","7,96 €/Kg",,,
DIA SABOR CHARCUTEIRO Mortadela com Azeitonas 200 g,,,"1,20 €","6,00 €/Kg",,,
DIA SABOR CHARCUTEIRO Chouriço Preto de Seia 250 g,,,"2,49 €","9,96 €/Kg",,,
DIA SABOR CHARCUTEIRO Paio Tradicional de Seia 350 g,,,"3,99 €","11,40 €/Kg",,,
DIA SABOR CHARCUTEIRO Peito de Frango Fatiado 200 g,,,"2,69 €","13,45 €/Kg",,,
Cenoura (1 un = 175 g aprox),,,"0,17 €","0,95 €/Kg",,,
Batata Vermelha (1 un = 240 g aprox),,,"0,31 €","1,29 €/Kg",,,
RIBERALVES Caldeirada de Bacalhau 400 g,,,"2,99 €","7,48 €/Kg",,,
Alho (1 un = 55 g aprox),,,"0,30 €","5,49 €/Kg",,,
DIA SABOR CHARCUTEIRO Mortadela 900 g,,,"3,09 €","3,43 €/Kg",,,
DIA NA GRELHA Salsichas Churrasco Finas Ervas Embaladas 200 g,,,"1,99 €","9,95 €/Kg",,,
FRUTOS SECOS DO DIA Pevides com Casca 200 g,,,"2,74 €","13,70 €/Kg",,,
CAMPOFRIO Fiambre de Peru Fatias Clássicas 90 g,,,"1,30 €","14,44 €/Kg",,,
NOBRE Fiambre da Perna Extra Fatias Finíssimas 120 g,,,"2,69 €","22,42 €/Kg",,,
NOBRE Fiambre da Perna Extra Fatias Clássicas 120 g,,,"2,69 €","22,42 €/Kg",,,
CAMPOFRIO Forno de Lenha Peito de Frango Fatias Clássicas 120 g,,,"2,69 €","22,42 €/Kg",,,
Bifes de Frango Panados Embalados 400 g,,,"4,99 €","12,48 €/Kg",,,
HORTA DO DIA Alface Frisada Embalada 125 g,,,"1,08 €","8,64 €/Kg",,,
HORTA DO DIA Salada Alface Iceberg Embalada 200 g,,,"0,79 €","3,95 €/Kg",,,
DIA NATULEV Pevides de Abóbora 150 g,,,"1,98 €","13,20 €/Kg",,,
CEM PORCENTO Sementes de Chia 150 g,,,"2,29 €","15,27 €/Kg",,,
FRUUT Maçã Vermelha 20 g,,,"0,85 €","42,50 €/Kg",,,
FRUUT Maçã Verde 20 g,,,"0,85 €","42,50 €/Kg",,,
FLORETTE Salada César Embalada 205 g,,,"3,25 €","15,85 €/Kg",,,
DAMATTA Nacos de Toucinho 200 g,,,"4,15 €","20,75 €/Kg",,,
DIA SABOR CHARCUTEIRO Salame 120 g,,,"1,25 €","10,42 €/Kg",,,
DIA SABOR CHARCUTEIRO Presunto Fatiado 150 g,,,"2,99 €","19,93 €/Kg",,,
FRUTORRA Amendoins com Casca 1 kg,,,"4,99 €","4,99 €/Kg",,,
IZIDORO Bifinhos do Lombo de Porco Finíssimos 200 g,,,"2,50 €","12,50 €/Kg",,,
SNOCK Cenouras Baby 125 g,,,"1,09 €","8,72 €/Kg",,,
FRUTORRA Cocktail de Frutos Secos 250 g,,,"2,19 €","8,76 €/Kg",,,
CAMPOFRIO Salsichas Frankfurt Original Vácuo 140 g,,,"0,99 €","7,07 €/Kg",,,
DAMATTA Morcela 200 g,,,"3,89 €","19,45 €/Kg",,,
CAMPOFRIO Tapas Salsichão Fatias 80 g,,,"1,51 €","18,88 €/Kg","1,89 €","23,63 €/Kg",
CAMPOFRIO Tapas Chouriço Gran Doblón Fatias 80 g,,,"1,51 €","18,88 €/Kg","1,89 €","23,63 €/Kg",
CAMPOFRIO Tapas Salame Palaciego Fatias 80 g,,,"1,51 €","18,88 €/Kg","1,89 €","23,63 €/Kg",
AVIBOM Strogonoff de Frango 400 g,,,"3,69 €","9,23 €/Kg",,,
FRUUT Maçã com Canela 20 g,,,"0,99 €","49,50 €/Kg",,,
FRUUT Pêra Rocha 20 g,,,"0,85 €","42,50 €/Kg",,,
RIBERALVES Filete do Paloco do Pacífico 400 g,,,"4,19 €","10,48 €/Kg",,,
Kiwi Amarelo Embalado 400 g,,,"2,99 €","7,48 €/Kg",,,
Maracujá (1 un = 30 g aprox),,,"0,24 €","7,99 €/Kg",,,
CAMPOFRIO Fiambre de Frango Fatias Clássicas 90 g,,,"1,30 €","14,44 €/Kg",,,
CORTE DO DIA Bifinhos Do Cachaço de Porco Embalados 400 g,,,"3,45 €","8,63 €/Kg",,,
FRUUT Chipz Maçã 20 g,,,"0,85 €","42,50 €/Kg",,,
PRISCA Barriga Fumada 150 g,,,"2,59 €","17,27 €/Kg",,,
Dióspiro (1 un = 255 g aprox),,,"0,61 €","2,39 €/Kg",,,
Anona (1 un = 225 g aprox),,,"0,67 €","2,99 €/Kg",,,
Marmelo (1 un = 245 g aprox),,,"0,73 €","2,99 €/Kg",,,
RANA Folhas Para Lasanha 250 g,,,"2,69 €","10,76 €/Kg",,,
RANA Tortellini Fiambre e Queijo 250 g,,,"2,47 €","9,88 €/Kg","3,29 €","13,16 €/Kg",
DAMATTA Chourição Castelhano Fatias Finas 120 g,,,"2,35 €","19,58 €/Kg",,,
Castanha,,,"4,99 €","4,99 €/Kg",,,
DOROTEA Tremoço Embalado 300 g,,,"1,20 €","4,00 €/Kg",,,
DOROTEA Azeitona Do Alentejo Moura 300 g,,,"1,69 €","5,63 €/Kg",,,
NOBRE Cuita-t+ Fiambre da Perna Extra Fatias Finas 110 g,,,"2,69 €","24,45 €/Kg",,,
NOBRE Paio Lombo Fatias 100 g,,,"2,69 €","26,90 €/Kg",,,
Noz do Alentejo Com Casca Embalada 500 g,,,"4,49 €","8,98 €/Kg",,,
Espargo Verde Embalado 250 g,,,"2,99 €","11,96 €/Kg",,,
