NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
NIVEA Creme Hidratante  250 ml,NIVEA,,"5,59 €","22,36 €/l",,,
TAMPAX Tampões Compak Super 20 Un,TAMPAX,,"3,99 €","0,20 €/ud",,,
TAMPAX Tampões Compak Normal 22 Un,TAMPAX,,"3,99 €","0,18 €/ud",,,
SUNSILK Laca Cabelos Normais 300 ml,SUNSILK,,"5,99 €","19,97 €/l",,,
DIA BONTÉ Pensos Higiénicos Ultra Noite Com Abas 10 Un,DIA BONT,,"1,41 €","0,14 €/ud",,,
DIA LA LLAMA Lenços de Papel Faciais Extra Suave 2 Folhas 150 Un,DIA LA LLAMA,,"1,15 €","1,15 €/ud",,,
DIA BONTÉ Pensos Incontinência Normal 24 Un,DIA BONT,,"3,54 €","0,15 €/ud",,,
BIC Lâminas Descartáveis 3 4 Un,BIC,,"3,29 €","0,82 €/ud",,,
DIA BONTÉ Tampão Digital Super 32 un,DIA BONT,,"2,15 €","0,07 €/ud",,,
ULTRA SUAVE Champô Camomila 250 ml,ULTRA SUAVE,,"2,15 €","8,60 €/l",,,
EVAX Penso Higiénico Fina E Segura Normal 16 Un,EVAX,,"1,69 €","0,11 €/ud",,,
COLGATE Pasta de Dentes Dentagard 75 ml,COLGATE,,"2,49 €","33,20 €/l",,,
COLGATE Dentífrico Sensation Branqueador 75 ml,COLGATE,,"3,09 €","41,20 €/l",,,
DOVE Sabonete Líquido Original 250 ml,DOVE,,"2,39 €","9,56 €/l","3,99 €","15,96 €/l",
NUTRISSE Coloração Permanente Creme Castanho Dourado  4.3 1 Un,NUTRISSE,,"6,16 €","6,16 €/ud",,,
NUTRISSE Coloração Preto N1 1 un,NUTRISSE,,"6,16 €","6,16 €/ud",,,
DIA BONTÉ Óleo Corpo Aloé Vera 500 ml,DIA BONT,,"3,19 €","6,38 €/l",,,
DEMAK'UP Discos Desmaquilhantes Redondos Expert 70 un,DEMAK UP,,"1,79 €","1,79 €/ud",,,
NIVEA Desodorizante Roll-On Dry Comfort 50 ml,NIVEA,,"2,99 €","59,80 €/l",,,
PALMOLIVE Sabonete Líquido Leite & Mel 300 ml,PALMOLIVE,,"3,79 €","12,63 €/l",,,
NUTRISSE Coloração Permanente Creme Louro Escuro 6.0 1 Un,NUTRISSE,,"6,16 €","6,16 €/ud",,,
LINIC Champô Controlo de Oleosidade 225 ml,LINIC,,"4,49 €","19,96 €/l",,,
EVAX Penso Higiénico Odorfresh 12 un,EVAX,,"2,59 €","0,22 €/ud",,,
REXONA Desodorizante Spray Cobalt Homem 150 ml,REXONA,,"2,69 €","13,45 €/l",,,
DETTOL Sabonete Líquido Hidratante Aloé Vera 250 ml,DETTOL,,"3,99 €","15,96 €/l",,,
EXCELLENCE Coloração Castanho Claro N5 1 un,EXCELLENCE,,"11,99 €","11,99 €/ud",,,
EXCELLENCE Coloração Permanente Excellence Creme Louro 7.0 1 Un,EXCELLENCE,,"11,99 €","11,99 €/ud",,,
EXCELLENCE Coloração Louro Claro Cendré N8.1 1 un,EXCELLENCE,,"11,99 €","11,99 €/ud",,,
DIA BONTÉ Penso Incontinência Extra 20 Un,DIA BONT,,"3,54 €","0,18 €/ud",,,
NIVEA MEN Deo Spray Impact 200 ml,NIVEA MEN,,"2,99 €","14,95 €/l",,,
REXONA Desodorizante Roll-On Cobalt Homem 50 ml,REXONA,,"2,69 €","53,80 €/l",,,
DIA LA LLAMA Lenços de Papel Caixa 3 Folhas 60 Un,DIA LA LLAMA,,"1,35 €","1,35 €/ud",,,
TENA Pants Cuecas Incontinência Unisexo Plus (Tamanho L) 14 Un,TENA,,"16,79 €","1,20 €/ud",,,
TENA Pants Cuecas Incontinência Unisexo Plus (Tamanho M) 14 Un,TENA,,"14,99 €","1,07 €/ud",,,
DIA BONTÉ Tónico Facial Peles Sensíveis 250 ml,DIA BONT,,"1,79 €","7,16 €/l",,,
DIA BONTÉ Body Milk Nutritivo 500 ml,DIA BONT,,"2,69 €","5,38 €/l",,,
DIA BONTÉ Body Milk Hidratante 500 ml,DIA BONT,,"2,69 €","5,38 €/l",,,
DIA BONTÉ Escova de Dentes Massagem Média 1 Un,DIA BONT,,"1,29 €","1,29 €/ud",,,
DIA BONTÉ Escova De Dentes Suave Everyday  4 un,DIA BONT,,"1,95 €","0,49 €/ud",,,
NATURAL HONEY Gel de Banho Skin Care Extra Hidratante 750 ml,NATURAL HONEY,,"5,69 €","8,43 €/l",,,
DOVE Creme Corpo Intensivo 150 ml,DOVE,,"3,99 €","26,60 €/l",,,
L'ORÉAL Creme de Rosto Men Expert Hydra Energetic 50 ml,OR AL,,"11,99 €","239,80 €/l",,,
DOVE Recarga Sabonete Líquido Original 500 ml,DOVE,,"2,99 €","5,98 €/l","4,99 €","9,98 €/l",
DIA BONTÉ Pants Incontinência Pants Médio 14 Un,DIA BONT,,"10,89 €","0,78 €/ud",,,
DIA BONTÉ Pants Incontinência Pants Grande 14 Un,DIA BONT,,"10,99 €","0,79 €/ud",,,
DIADERMINE Creme de Dia Hidratante Peles Normais 50 ml,DIADERMINE,,"4,99 €","99,80 €/l",,,
DIADERMINE Creme de Rosto Hidratante Peles Secas 50 ml,DIADERMINE,,"4,99 €","99,80 €/l",,,
FENO DE PORTUGAL Sabonete Sólido Regular 4x90 g,FENO DE PORTUGAL,,"3,89 €","10,81 €/Kg",,,
DIA BONTÉ Escova Dentes X-Action Média 2 Un,DIA BONT,,"1,19 €","0,60 €/ud",,,
ULTRA SUAVE Champô Abacate/Karité 250 ml,ULTRA SUAVE,,"2,15 €","8,60 €/l",,,
ULTRA SUAVE Condicionador Camomila Cabelos Louros 200 ml,ULTRA SUAVE,,"2,15 €","10,75 €/l",,,
NIVEA MEN Deo Roll-On Dry Impact 50 ml,NIVEA MEN,,"2,99 €","59,80 €/l",,,
TENA Discreet Pensos Incontinência Mulher Ultra Mini 28 un,TENA,,"3,19 €","0,11 €/ud",,,
BIC Lâminas Descartáveis Flex 3 Classic  4 Un,BIC,,"5,54 €","1,39 €/ud",,,
NIVEA Gel de Banho Care E Orange 500 ml,NIVEA,,"6,49 €","12,98 €/l",,,
ELVIVE Máscara Color Vive 300 ml,ELVIVE,,"6,99 €","23,30 €/l",,,
EVAX Pensos Higiénicos Super Plus 10 un,EVAX,,"2,59 €","0,22 €/ud",,,
NIVEA Bodymilk Smooth  250 ml,NIVEA,,"5,49 €","21,96 €/l",,,
L'ORÉAL PARIS Creme de Noite Revitalift Clássico 50 ml,OR AL PARIS,,"14,99 €","299,80 €/l",,,
EVAX Penso Higiénico Fina E Segura Normal 12 Un,EVAX,,"1,69 €","0,14 €/ud",,,
NIVEA Desodorizante Roll-On Pure & Natural 50 ml,NIVEA,,"4,62 €","92,40 €/l",,,
NIVEA MEN Gel Aqua Styling 150 ml,NIVEA MEN,,"5,59 €","37,27 €/l",,,
DIA BONTÉ Tampão Compacto com Aplicador Normal 32 Un,DIA BONT,,"4,37 €","0,14 €/ud",,,
DIA BONTÉ Tampão Compacto Super  32 un,DIA BONT,,"4,39 €","0,14 €/ud",,,
COLGATE Pasta de Dentes Max White One 75 ml,COLGATE,,"4,49 €","59,87 €/l",,,
DOVE Loção de Corpo Body Milk 250 ml,DOVE,,"5,99 €","23,96 €/l",,,
SCOTTEX Papel Higiénico Acolchoado 9 un,SCOTTEX,,"5,99 €","0,67 €/ud",,,
EVAX Pensos Higiénicos Salva Slip Normal 62 Un,EVAX,,"3,09 €","0,06 €/ud",,,
PALETTE Coloração Para Cabrlo N.8 Louro Claro 1 Un,PALETTE,,"5,99 €","5,99 €/ud",,,
VEET Creme Depilatório Pele Sensível 200 ml,VEET,,"6,99 €","34,95 €/l",,,
TENA Discreet Pensos Incontinência Mulher Maxi Night 12 un,TENA,,"6,37 €","0,53 €/ud",,,
PANTENE Máscara Liso E Sedoso 300 ml,PANTENE,,"6,59 €","21,97 €/l",,,
LINDOR Fralda Para Incontinência com Elásticos Tamanho Grande e Absorção Máxima 20 Un,LINDOR,,"13,74 €","0,69 €/ud",,,
LINDOR Fralda Para Incontinência com Elásticos Tamanho Médio e Absorção Super 20 Un,LINDOR,,"12,49 €","0,62 €/ud",,,
NUTRISSE Coloração Castanho Violino N4.26 1 un,NUTRISSE,,"9,49 €","9,49 €/ud",,,
PALETTE Coloração Para Cabelo Nº1.1 Preto Azulado 1 Un,PALETTE,,"5,99 €","5,99 €/ud",,,
ORAL-B Dentífrico Complete Elixir Limpeza Refrescante 75 ml,ORAL,,"2,99 €","39,87 €/l",,,
NIVEA MEN Creme Hidratante Skin Energy Q10 50 ml,NIVEA MEN,,"10,99 €","219,80 €/l",,,
L'OREAL PARIS Creme Roto Dia Age Perfect 50 ml,OREAL PARIS,,"15,99 €","319,80 €/l",,,
GLISS Champô Ultimate Repair 250 ml,GLISS,,"2,49 €","9,96 €/l","5,14 €","20,56 €/l",
VEET Creme Depilatório For Men Peles Sensíveis 200 ml,VEET,,"6,99 €","34,95 €/l",,,
NIVEA MEN Mini Desodorizante Invisible Black & White 35 ml,NIVEA MEN,,"2,19 €","62,57 €/l",,,
GARNIER Pure Gel 3 em 1 150 ml,GARNIER,,"7,99 €","53,27 €/l",,,
COLGATE Elixir Plax Menta 500 ml,COLGATE,,"4,86 €","9,72 €/l",,,
LACTOVIT Loção Corporal Lactourea 400 ml,LACTOVIT,,"7,39 €","18,47 €/l",,,
COLHOGAR Papel Higiénico Compacto Ultra Suave XXL (12R=24R) 12 un,COLHOGAR XXL,,"6,27 €","0,52 €/ud",,,
