NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
BECEL Creme Vegetal para Barrar 225 g,BECEL,,"2,99 €","13,29 €/Kg",,,
VAQUEIRO Margarina 250 g,VAQUEIRO,,"1,59 €","6,36 €/Kg",,,
PLANTA Margarina 225 g,PLANTA,,"1,79 €","7,96 €/Kg",,,
DIA LÁCTEA Iogurte Pedaços Morango 4x125 g,DIA CTEA,,"1,25 €","2,50 €/Kg",,,
DIA LÁCTEA Iogurte Aroma Morango 4x125 g,DIA CTEA,,"0,85 €","1,70 €/Kg",,,
DIA LÁCTEA Iogurte Pedaços Frutos Silvestres 4x125 g,DIA CTEA,,"1,25 €","2,50 €/Kg",,,
PRÉSIDENT Queijo Camembert 250 g,PR SIDENT,,"3,79 €","15,16 €/Kg",,,
SANTIAGO Queijo Serra Da Vila 190 g,SANTIAGO,,"3,79 €","19,95 €/Kg",,,
SANTIAGO Queijo Regional Saloio 190 g,SANTIAGO,,"3,79 €","19,95 €/Kg",,,
MOLICO Leite Em Pó Magro 380 g,MOLICO,,"5,75 €","15,13 €/Kg",,,
DIA Iogurte Pêssego e Maracujá 500 g,DIA,,"1,29 €","2,58 €/Kg",,,
DIA Iogurte Frutos Silvestres 500 g,DIA,,"1,29 €","2,58 €/Kg",,,
LIMIANO Queijo Flamengo Fatias 200 g,LIMIANO,,"2,69 €","13,45 €/Kg",,,
DIA LÁCTEA Iogurte Pedaços Cereais 4x125 g,DIA CTEA,,"1,25 €","2,50 €/Kg",,,
DIA LÁCTEA Iogurte Aroma Coco 4x125 g,DIA CTEA,,"0,85 €","1,70 €/Kg",,,
ACTIMEL Iogurte Líquido Natural 6x100 g,ACTIMEL,,"3,29 €","5,48 €/Kg",,,
DIA LÁCTEA Iogurte Líquido Aroma Banana 160 g,DIA CTEA,,"0,36 €","0,36 €/ud",,,
DIA LÁCTEA Iogurte Líquido Pêssego e Manga 4x160 g,DIA CTEA,,"1,55 €","2,42 €/Kg",,,
DIA LÁCTEA Iogurte Líquido Magro Polpa Manga 4x160 g,DIA CTEA,,"1,75 €","0,44 €/ud",,,
DIA Ovos Classe M 12 Un,DIA,,"2,59 €","2,59 €/ud",,,
ACTIMEL Tutti Frutti 6x100 g,ACTIMEL,,"3,29 €","5,48 €/Kg",,,
DIA LÁCTEA Iogurte Aroma Tutti Frutti 4x125 g,DIA CTEA,,"0,85 €","1,70 €/Kg",,,
DIA LÁCTEA Iogurte Líquido Magro Polpa Morango 4x160 g,DIA CTEA,,"1,75 €","0,44 €/ud",,,
DIA LÁCTEA Natas UHT Para Cozinhar 500 ml,DIA CTEA UHT,,"1,95 €","3,90 €/l",,,
ROYAL Gelatina de Morango 4x100 g,ROYAL,,"1,99 €","4,98 €/Kg",,,
DIA LÁCTEA Iogurte Líquido Polpa Morango 4x160 g,DIA CTEA,,"1,55 €","0,39 €/ud",,,
DIA LÁCTEA Manteiga Magra 250 g,DIA CTEA,,"1,99 €","7,96 €/Kg",,,
DIA Iogurte com Pedaços Ananás 200 g,DIA,,"0,69 €","3,45 €/Kg",,,
DIA Iogurte com Pedaços Avelã 200 g,DIA,,"0,69 €","3,45 €/Kg",,,
DIA Iogurte com Pedaços Morango 200 g,DIA,,"0,69 €","3,45 €/Kg",,,
A VACA QUE RI Queijo Fundido Porções Light (8 unidades) 140 g,VACA QUE RI,,"2,23 €","15,93 €/Kg",,,
"DIA LÁCTEA Queijo Fresco 0% 4x62,5 g",DIA CTEA,,"2,45 €","9,80 €/Kg",,,
BABYBEL Queijo Mini Light Rede 6 unidades 120 g,BABYBEL,,"2,04 €","17,00 €/Kg",,,
DIA Iogurte Stracciatella 500 g,DIA,,"1,29 €","2,58 €/Kg",,,
ROYAL Gelatina de Morango Light 10 Kcal 4x100 g,ROYAL,,"2,19 €","5,48 €/Kg",,,
ACTIVIA Iogurte Líquido Magro Morango e Kiwi 4x155 g,ACTIVIA,,"3,39 €","5,47 €/Kg",,,
DIA Iogurte Líquido Magro Ananás 4x160 g,DIA,,"1,75 €","0,44 €/ud",,,
DIA LÁCTEA Iogurte Líquido 0% de Morango E Kiwi 160 g,DIA CTEA,,"0,40 €","2,50 €/Kg",,,
DIA LÁCTEA Iogurte Líquido Polpa Morango e Banana 4x160 g,DIA CTEA,,"1,55 €","0,39 €/ud",,,
AGROS Queijo Flamengo 350 g,AGROS,,"3,99 €","11,40 €/Kg",,,
DIA LÁCTEA Queijo Mozzarella Fresca 125 g,DIA CTEA,,"1,19 €","9,52 €/Kg",,,
DIA FIDIAS Iogurte Grego Natural Compota de Morango 4x125 g,DIA FIDIAS,,"1,49 €","2,98 €/Kg",,,
QUINTA DA AÇAFA Queijo de Ovelha Curado 1 un,QUINTA DA AFA,,"4,15 €","4,15 €/ud",,,
CAMPAINHA Queijo Fresco Magro 200 g,CAMPAINHA,,"1,19 €","5,95 €/Kg",,,
CAMPAINHA Queijo Fresco Meio Gordo 200 g,CAMPAINHA,,"1,19 €","5,95 €/Kg",,,
YOCO Iogurte Líquido com Palhinhas Morango 6x90 g,YOCO,,"3,18 €","5,89 €/Kg",,,
GALBANI Queijo Mozzarella Fresca 125 g,GALBANI,,"1,85 €","14,80 €/Kg",,,
PLANTA Creme Para Barrar com Sabor a Manteiga  225 g,PLANTA,,"1,79 €","7,96 €/Kg",,,
CHOCAPIC Iogurte Bicompartimentado Nestlé 2x118 g,CHOCAPIC,,"2,54 €","10,76 €/Kg",,,
NESQUIK Iogurte Bicompartimentado Nestlé 2x116 g,NESQUIK,,"2,54 €","10,95 €/Kg",,,
