NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA Ambientador Lavanda 300 ml,,,"1,05 €","3,50 €/l",,,
DIA Espanador Caça Pó + 3 Recargas 1 Un,,,"2,89 €","2,89 €/ud",,,
VANISH Pistola Pré-Lavagem Oxi Gold 500 ml,,,"5,99 €","11,98 €/l",,,
DIA Lixívia Perfumada 2 L,,,"1,25 €","0,63 €/l",,,
DIA Esponja de Limpeza Para Casa de Banho 2 Un,,,"1,15 €","0,58 €/ud",,,
ENERGIZER Pilhas Alcalinas AA 4 Un,,,"2,99 €","0,75 €/ud",,,
ENERGIZER Pilhas Alcalinas AAA 4 Un,,,"2,99 €","0,75 €/ud",,,
GLADE Ambientador Exótico de Baunilha 300 ml,,,"1,55 €","5,17 €/l","2,59 €","8,63 €/l",
DIA Pano Esponja 5 Un,,,"1,15 €","0,23 €/ud",,,
"DIA Cabo Vassoura 1,40 M",,,"1,19 €","1,19 €/ud",,,
DIA Vassoura Multiusos,,,"2,39 €","2,39 €/ud",,,
SCOTCH-BRITE Esfregão Fibra Verde Normal 2 un,,,"2,39 €","1,20 €/ud",,,
DIA CLEAN & SHINE Creme de Limpeza Limão 750 ml,,,"1,29 €","1,72 €/l",,,
DIA CLEAN & SHINE Creme de Limpeza Lixivia 750 ml,,,"1,29 €","1,72 €/l",,,
RAID Inseticida Spray Para Moscas E Mosquitos 400 ml,,,"5,09 €","12,73 €/l",,,
FINISH Ambientador Máquina da Loiça Limão & Lima 1 Un,,,"4,99 €","4,99 €/ud",,,
FAPIL Mopa Seca 30 cm com Cabo Metálico,,,"6,49 €","6,49 €/ud",,,
LOCTITE Super Cola 3 2 g,,,"2,49 €","1.245,00 €/Kg",,,
DIA QEFICAZ Amaciador Da Roupa Rosas 40 Lv,,,"2,79 €","0,07 €/Lavage",,,
HARPIC Gel WC Anticalcário 750 ml,,,"2,99 €","3,99 €/l",,,
FAPIL Recarga Para Escova Adesiva 12 Folhas 1 Un,,,"0,79 €","0,79 €/ud",,,
SCOTCH-BRITE Salva Unhas Fibra Verde 2 Un,,,"1,99 €","1,00 €/ud",,,
FAPIL Balde Eliptico,,,"2,99 €","2,99 €/ud",,,
FAPIL Espremedor Eliptico,,,"1,19 €","1,19 €/ud",,,
DIA Recargas Espanador 5 Un,,,"2,55 €","0,51 €/ud",,,
CIF Lava Tudo Gel com Lixívia 750 ml,,,"1,39 €","1,85 €/l",,,
DIA WC Bloco Líquido Limão 55 ml,,,"1,40 €","25,45 €/l",,,
DIA WC Bloco Líquido Oceano 55 ml,,,"1,40 €","25,45 €/l",,,
FINISH Sal Para Máquina da Loiça 1 kg,,,"2,49 €","2,49 €/Kg",,,
NEOBLANC Lixívia Densa 2 L,,,"2,59 €","1,30 €/l",,,
DIA Esfregona Estampada,,,"1,55 €","1,55 €/ud",,,
DIA Lixívia Denso Perfumada 2 L,,,"1,49 €","0,75 €/l",,,
VILEDA Luvas Extra Sensation Tamanho M/L 1 un,,,"1,99 €","1,99 €/ud",,,
DIA Pá de Lixo com Cabo,,,"1,99 €","1,99 €/ud",,,
DIA Lixívia Tradicional 5 L,,,"2,20 €","0,44 €/l",,,
