NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA GALLETECA Bolachas Maria 800 g,DIA GALLETECA,,"2,04 €","2,55 €/Kg",,,
OREO Bolachas Cobertas com Chocolate Branco 246 g,OREO,,"2,99 €","12,15 €/Kg",,,
ROYAL Caramelo Líquido 400 g,ROYAL,,"2,69 €","6,73 €/Kg",,,
DELTA Café Torrado Lote Chavena Grão 250 g,DELTA,,"2,54 €","10,16 €/Kg",,,
PENSAL Bebida de Cereais 200 g,PENSAL,,"2,09 €","10,45 €/Kg",,,
BOCA DOCE Pudim de Chocolate 22 g,BOCA DOCE,,"0,44 €","20,00 €/Kg","0,59 €","26,82 €/Kg",
BRASA Bebida de Cererais Cevada Chicória e Centeio 200 g,BRASA,,"2,29 €","11,45 €/Kg",,,
DELTA Mistura Peninsular 250 g,DELTA,,"1,64 €","6,56 €/Kg",,,
AFTER EIGHT Chocolate Nestlé 200 g,AFTER EIGHT,,"3,15 €","15,75 €/Kg",,,
DELTA Café Torrado Moagem Máquina 250 g,DELTA,,"2,54 €","10,16 €/Kg",,,
BOCA DOCE Pudim Baunilha 22 g,BOCA DOCE,,"0,44 €","20,00 €/Kg","0,59 €","26,82 €/Kg",
DIA Cevada Solúvel 200 g,DIA,,"2,39 €","11,95 €/Kg",,,
DIA GALLETECA Jaffa Cake Laranja 300 g,DIA GALLETECA,,"1,53 €","5,10 €/Kg",,,
DIA Rebuçados Mel 300 g,DIA,,"1,19 €","3,97 €/Kg",,,
DIA Rebuçados Limão 300 g,DIA,,"1,19 €","3,97 €/Kg",,,
"CHICLETS Pastilhas Elásticas Fire Canela 16,5 g",CHICLETS,,"0,99 €","0,99 €/ud",,,
SICAL Café Torrado 5 estrelas Lote Clássico em Grão 250 g,SICAL,,"3,59 €","14,36 €/Kg",,,
GULLÓN Zero Sem Açúcares Wafer Baunilha 180 g,GULL,,"2,19 €","12,17 €/Kg",,,
CHOCO KRISPIES Cereais de Chocolate Kellogg´s 375 g,CHOCO KRISPIES,,"3,89 €","10,37 €/Kg",,,
FITNESS Cereais de Trigo Integral Nestlé 375 g,FITNESS,,"3,59 €","9,57 €/Kg",,,
SPECIAL K Cereais Clássico 750 g,SPECIAL,,"6,35 €","8,47 €/Kg",,,
SMINT Rebuçados Menta 8 g,SMINT,,"1,50 €","187,50 €/Kg",,,
SIDUL Açúcar Em Pó 500 g,SIDUL,,"1,67 €","3,34 €/Kg",,,
KELLOGG'S Corn Flakes 500 g,KELLOGG,,"3,99 €","7,98 €/Kg",,,
DIA SONHOS Cocktail de Frutas 840 g,DIA SONHOS,,"2,20 €","2,62 €/Kg",,,
DIA GRANJOY Corn Flakes Sem Adição de Açúcares 375 g,DIA GRANJOY,,"1,84 €","4,91 €/Kg",,,
DIA CAFETARIA Café Torrado Moagem Máquina Expresso 250 g,DIA CAFETARIA,,"1,84 €","7,36 €/Kg",,,
DIA CAFETARIA Café Torrado Grão 250 g,DIA CAFETARIA,,"1,75 €","7,00 €/Kg",,,
DIA CAFETARIA Café Descafeinado 250 g,DIA CAFETARIA,,"1,74 €","6,96 €/Kg",,,
MENTOS Caramelos de Frutas 38 g,MENTOS,,"0,90 €","23,68 €/Kg",,,
"TRIDENT Pastilhas Elásticas Fruit Morango 14,5 g",TRIDENT,,"0,89 €","63,57 €/Kg",,,
CASA DE MATEUS Doce de Morango 345 g,CASA DE MATEUS,,"2,24 €","6,49 €/Kg",,,
SNICKERS Chocolate 50 g,SNICKERS,,"1,05 €","21,00 €/Kg",,,
DIA Doce de Framboesa Extra 390 g,DIA,,"2,14 €","5,49 €/Kg",,,
CHIPS AHOY! Bolachas Mini 160 g,CHIPS AHOY,,"1,99 €","12,44 €/Kg",,,
QUAKER Cereais Cruesli Amêndoas E Avelãs 375 g,QUAKER,,"4,09 €","10,91 €/Kg",,,
SMINT Caramelos Frutos Silvestres 8 g,SMINT,,"1,50 €","187,50 €/Kg",,,
MARS Mini Snacks Chocolate e Caramelo 170 g,MARS,,"2,89 €","17,00 €/Kg",,,
DIA Bolacha Crackers 3x100 g,DIA,,"1,75 €","5,83 €/Kg",,,
DIA Barrita de Nougat Chocolate E Caramelo 5x40 g,DIA,,"1,79 €","8,95 €/Kg",,,
DIA Café Soluvel Natural 200 g,DIA,,"3,89 €","19,45 €/Kg",,,
TUC Bolachas Crackers Bacon 100 g,TUC,,"1,19 €","11,90 €/Kg",,,
OREO Bolacha Mini 4x40 g,OREO,,"1,99 €","12,44 €/Kg",,,
KINDER BUENO Chocolate 43 g,KINDER BUENO,,"1,09 €","25,35 €/Kg",,,
